[msd = ".*V.*Neg.*Sg3.*"][msd = ".*V.*Sg3.*"]

	Administrative texts –
Dát 	ii guoska 	sámegiel doahpagii « meahcci » .
Dát 	ii guoska 	dušše ekonomalaš gaskaomiide , muhto maiddái biras- ja resursapolitihka ektui , biebmopolitihkalaš doaibmabijuid deattuhettiin , ealáhusovdánahttima ja opmodat- ja ássanpolitihka vuoruhettiin .
Dát 	ii guoska 	sámegiel doahpagii « meahcci » .
Dát 	ii guoska 	dušše ekonomalaš gaskaomiide , muhto maiddái biras- ja resursapolitihka ektui , biebmopolitihkalaš doaibmabijuid deattuhettiin , ealáhusovdánahttima ja opmodat- ja ássanpolitihka vuoruhettiin .
Dát 	ii guoska 	sámegiel doahpagii « meahcci » .
Nu leat šaddan dahkat vai vuosttašgiela ja nubbigiela oahpahus nannejuvvošii , ja vai eará fágaid oahpahus 	ii fuoniduvvošii 	.
Nu leat šaddan dahkat vai vuosttašgiela ja nubbigiela oahpahus nannejuvvošii , ja vai eará fágaid oahpahus 	ii fuoniduvvošii 	.
Ekonomalaš lávdegoddi lea raporttas Reindriften – skatter og avgifter , meroštallan ahte jahkásaččat seasttášii boazodoallu oktiibuot 31,5 miljon ruvnno jos ealáhus 	ii dárbbašivččii 	máksit geardedivada go investere bargoreaidduid ja jos dat luvvejuvvošii bensindivadis .
Ekonomalaš lávdegoddi lea raporttas Reindriften – skatter og avgifter , meroštallan ahte jahkásaččat seasttášii boazodoallu oktiibuot 31,5 miljon ruvnno jos ealáhus 	ii dárbbašivččii 	máksit geardedivada go investere bargoreaidduid ja jos dat luvvejuvvošii bensindivadis .
Nu leat šaddan dahkat vai vuosttašgiela ja nubbigiela oahpahus nannejuvvošii , ja vai eará fágaid oahpahus 	ii fuoniduvvošii 	.
Sámedikkis lea beroštupmi ahte boazodoallu oažžu daid seamma eavttuid njeallje- ja guovttejuvl Reindriften – skatter og avgifter , meroštallan ahte jahkásaččat seasttášii boazodoallu oktiibuot 31,5 miljon ruvnno jos ealáhus 	ii dárbbašivččii 	máksit geardedivada go investere bargoreaidduid ja jos dat luvvejuvvošii bensindivadis .
Go ILO 169 lea viehka viidát árvvoštallojuvvon dan rájes go Norga dohkkehii konvenšuvnna 1990:s , ja dat movt konvenšuvdna riikkaidgaskasaččat lea geavahuvvon , de 	ii berrešii 	leat váttis heivehit dán konvenšuvnna olmmošvuoigatvuođalágas nugo earret eará ON konvenšuvdna siviila ja politihkalaš vuoigatvuođaid hárrái ja ON ekonomalaš , sosiálalaš ja kultuvrralaš vuoigatvuođaid konvenšuvdna leat heivehuvvon .
Go ILO 169 lea viehka viidát árvvoštallojuvvon dan rájes go Norga dohkkehii konvenšuvnna 1990:s , ja dat movt konvenšuvdna riikkaidgaskasaččat lea geavahuvvon , de 	ii berrešii 	leat váttis heivehit dán konvenšuvnna olmmošvuoigatvuođalágas nugo earret eará ON konvenšuvdna siviila ja politihkalaš vuoigatvuođaid hárrái ja ON ekonomalaš , sosiálalaš ja kultuvrralaš vuoigatvuođaid konvenšuvdna leat heivehuvvon .
Go ILO 169 lea viehka viidát árvvoštallojuvvon dan rájes go Norga dohkkehii konvenšuvnna 1990:s , ja dat movt konvenšuvdna riikkaidgaskasaččat lea geavahuvvon , de 	ii berrešii 	leat váttis heivehit dán konvenšuvnna olmmošvuoigatvuođalágas nugo earret eará ON konvenšuvdna siviila ja politihkalaš vuoigatvuođaid hárrái ja ON ekonomalaš , sosiálalaš ja kultuvrralaš vuoigatvuođaid konvenšuvdna leat heivehuvvon .
Dovdomearkan daid doaluide mat heaittihuvvojit , lea dat go dáid doaluid divodeapmi livččii hui divrras ja doaibmaekonomiija liikká 	ii buorránivččii 	dan geažil .
Dát ii mearkkaš dattetge dan ahte bargu 	ii livččii 	dehálaš Sámediggái .
Dovdomearkan daid doaluide mat heaittihuvvojit , lea dat go dáid doaluid divodeapmi livččii hui divrras ja doaibmaekonomiija liikká 	ii buorránivččii 	dan geažil .
Go ILO 169 lea viehka viidát árvvoštallojuvvon dan rájes go Norga dohkkehii konvenšuvnna 1990:s , ja dat movt konvenšuvdna riikkaidgaskasaččat lea geavahuvvon , de 	ii berrešii 	leat váttis heivehit dán konvenšuvnna olmmošvuoigatvuođalágas nugo earret eará ON konvenšuvdna siviila ja politihkalaš vuoigatvuođaid hárrái ja ON ekonomalaš , sosiálalaš ja kultuvrralaš vuoigatvuođaid konvenšuvdna leat heivehuvvon .
Dattege leat dál ollu buorit guollejávrrit gos 	ii lea 	guhkes áigái guolástuvvon , ja guollemáddodaga kvalitehtta lea hedjonan .
Lávdegoddi lea árvvoštallan iešguđet čovdosiid otná vuogádaga siskkobealde , muhto lea gávnnahan ahte sámediggeválgga boađus dattege 	ii sáhttá 	leat gárvvis ovdal áramusat bearjadaga , válgavahku loahpas , jus buot doaibmá plána mielde .
Go ILO 169 lea viehka viidát árvvoštallojuvvon dan rájes go Norga dohkkehii konvenšuvnna 1990:s , ja dat movt konvenšuvdna riikkaidgaskasaččat lea geavahuvvon , de 	ii berrešii 	leat váttis heivehit dán konvenšuvnna olmmošvuoigatvuođalágas nugo earret eará ON konvenšuvdna siviila ja politihkalaš vuoigatvuođaid hárrái ja ON ekonomalaš , sosiálalaš ja kultuvrralaš vuoigatvuođaid konvenšuvdna leat heivehuvvon .
Dát 	ii guoska 	dušše ekonomalaš gaskaomiide , muhto maiddái biras- ja resursapolitihka ektui , biebmopolitihkalaš doaibmabijuid deattuhettiin , ealáhusovdánahttima ja opmodat- ja ássanpolitihka vuoruhettiin .
Dát 	ii guoska 	sámegiel doahpagii « meahcci » .
Sámedikkis lea beroštupmi ahte boazodoallu oažžu daid seamma eavttuid njeallje- ja guovttejuvl Reindriften – skatter og avgifter , meroštallan ahte jahkásaččat seasttášii boazodoallu oktiibuot 31,5 miljon ruvnno jos ealáhus 	ii dárbbašivččii 	máksit geardedivada go investere bargoreaidduid ja jos dat luvvejuvvošii bensindivadis .
Vaikke vel mearrádus Sámedikki njuolggadusaid birra min mielas 	ii berrešii 	sisttisdoallat departemeantta bearráigeahču , de mii atnit dán Sámedikki rolla dohkkeheapmin sámi beroštusaid ja árvvuid hálddašeaddjin .
ILO-konvenšuvnna nr. 169 viiddes árvvoštallan mii lea dahkkojuvvon dan rájes go Norga dohkkehii konvenšuvnna jagi 1990 , ja dán konvenšuvnna riikkaidgaskasaš geavat , 	ii berrešii 	Sámedikki oainnu mielde buktit váttisvuođaid dán konvenšuvnna siskkáldahttimii olmmošvuoigatvuođaláhkii .
Nu leat šaddan dahkat vai vuosttašgiela ja nubbigiela oahpahus nannejuvvošii , ja vai eará fágaid oahpahus 	ii fuoniduvvošii 	.
Suohkanat , fylkkagielddat ja dearvvašvuođafitnodagat galget fuolahit dárbbašlaš dulkaveahki jus bargiin 	ii lea 	doarvái giella- ja kulturgelbbolašvuohta .
Suohkanat , fylkkagielddat ja dearvvašvuođafitnodagat galget fuolahit dárbbašlaš dulkaveahki jus bargiin 	ii lea 	doarvái giella- ja kulturgelbbolašvuohta .
Sámedikkis lea beroštupmi ahte boazodoallu oažžu daid seamma eavttuid njeallje- ja guovttejuvl Reindriften – skatter og avgifter , meroštallan ahte jahkásaččat seasttášii boazodoallu oktiibuot 31,5 miljon ruvnno jos ealáhus 	ii dárbbašivččii 	máksit geardedivada go investere bargoreaidduid ja jos dat luvvejuvvošii bensindivadis .
Suohkanat , fylkkagielddat ja dearvvašvuođafitnodagat galget fuolahit dárbbašlaš dulkaveahki jus bargiin 	ii lea 	doarvái giella- ja kulturgelbbolašvuohta .
Jo 	Ii Leago 	gaska gieldda hálddahusguovddážii badjel 15 km ?
Jo 	Ii Leago 	dáluealátšiehtadus nuppástuhtton ?
Jus ođđa doallobierggas 	ii lea 	háhkkon ovdal áigemea ri , de čállo 80 % várrejuvvon vuoittus vuoito- ja massinkontui dan boahtojahkái go áigemearri nohká .
Jus 	ii lea 	olggosláigon , de lea fitnodat de facto reastaluvvan .
Dát mearkkaša ahte suohkan 	ii nagodivččii 	hálddašit dađistaga goluid , jus mis eai livčče foanddat ja geavakeahtes loatnaruđat .
Dát mearkkaša ahte suohkan 	ii nagodivččii 	hálddašit dađistaga goluid , jus mis eai livčče foanddat ja geavakeahtes loatnaruđat .
Ášši 	ii lea 	almmolaš §6
poasta 25599500 mas lea kr. 455.000 golákeahttá ( dearvvašvuođaguovddáš loatnaruhta mii 	ii lea 	goláhuvvon )
	Ii lea 	vižžon fálaldat // fála asfalteremii .
Dáin 	ii lea 	namuhuvvon ortnet mielde .
Barentsábi oppalaš hálddašanplána 	ii berrešii 	bissehit ohcamiid , muhto dasto leat buorre vuođđun ođđa juohkimiidda ja stuorit doaimmaide davvin .
	ii ii 	Diehtojuohkinguovddáš Informasjonssenteret ii
Dásseárvodoaibmaplána 	ii galggašii 	atnit sierahuvvon buvttagin , muhto proseassaoassin Sámedikki čielga dásseárvo- ja nissonperspektiiva áigumusain ieøas barggus .
Dásseárvodoaibmaplána 	ii galggašii 	atnit sierahuvvon buvttagin , muhto proseassaoassin Sámedikki čielga dásseárvo- ja nissonperspektiiva áigumusain ieøas barggus .
Mii oaidnit ahte Eanadoallodepartemeantta evttohus dagaha dan ahte smávva doalut main leat ovdamearkka dihtii 400 - 500 bohcco sáhttet gártat njuovvat 50 % ealus , mii ollásit goarida sin ekonomálaččat , dát váttisvuohta 	ii dovdošii 	nu garrasit dain doaluin main leat ovdamearkka dihtii 3000 bohcco .
Sámediggi 	ii jáhkášii 	beare álkin garvit Sámi vuoigatvuođalávdegotti árvalusa jierpmálaš ja dássálas evttohusaid — evttohusat maid fágalaččat ja politihkalaččat hui govdadit čohkkejuvvon lávdegoddi 17 jagi čađa lea hábmen ja válddahallan .
Min álbmot 	ii lea 	goassege luobahan ie ¸as guovlluid vuođđo vuoigatvuođaidis .
Danne 	ii galggašiige 	leat váttis ásahit bistevaš suodjaleami meassamiid vuostá mat billistit luonddu .
Jos veardida sápmelaččaid vuoigatvuođaid vuoigatvuođaiguin maid ollu eará riikkaid eamiálbmogat leat o ¸¸on šiehtadallamiiguin ie ¸aset riikkaid ráđđehusaiguin , de ii leat sámi beroštumiid dássen eará beroštumiiguin , mihkkege lávkkiid ovddos guvlui , 	iige sihkkarasttášii 	doarvái bures sámi kultuvrra boahtteáiggis .
Sámedikki dálá dieđuid vuođul dáloniid ja boazodoallosápmelaččaid eana- ja resursageavaheami birra , de orušii viehka čielggas ahte dákkár sámi eaiggáduššan- ja háldoguovlun 	ii šattašii 	dušše Sis-Finnmárku , muhto ahte maiddái ollu vuotnaguovllut gulašedje dán guvlui .
Sámedikki mielas 	ii galggašii 	eavttukeahttá gáibiduvvot ahte árbevirolaš meahccegeavaheapmi lea gillefidnoguovlluid ásaheami vuođđun .
Sivvan dasa go Sámi vuoigatvuođalávdegoddi ii oro diehtimin ahte dan ie ¸as evttohus § 2-4 hárrái 	ii soabašii 	boazodoalu bággolonistanrievttálaš suodjaleapmái , sáhttá leat ahte lea gáddán boazodoalus ollu buoret heivehanvejolašvuođa ja - geatnegasvuođa go mii duohtavuođas lea .
Min álbmoga eallinvuođu 	ii sáhtášii 	sihkkarastit earáláhkai .
Sámedikki mielas 	ii galggašii 	rievdadit nuohttunvuoigatvuođa Njávdámis .
Sámediggi 	ii jáhkášii 	beare álkin garvit Sámi vuoigatvuođalávdegotti árvalusa jierpmálaš ja dássálas evttohusaid — evttohusat maid fágalaččat ja politihkalaččat hui govdadit čohkkejuvvon lávdegoddi 17 jagi čađa lea hábmen ja válddahallan .
Min álbmot 	ii lea 	goassege luobahan ie ¸as guovlluid vuođđo vuoigatvuođaidis .
Danne 	ii galggašiige 	leat váttis ásahit bistevaš suodjaleami meassamiid vuostá mat billistit luonddu .
Jos veardida sápmelaččaid vuoigatvuođaid vuoigatvuođaiguin maid ollu eará riikkaid eamiálbmogat leat o ¸¸on šiehtadallamiiguin ie ¸aset riikkaid ráđđehusaiguin , de ii leat sámi beroštumiid dássen eará beroštumiiguin , mihkkege lávkkiid ovddos guvlui , 	iige sihkkarasttášii 	doarvái bures sámi kultuvrra boahtteáiggis .
Sámedikki dálá dieđuid vuođul dáloniid ja boazodoallosápmelaččaid eana- ja resursageavaheami birra , de orušii viehka čielggas ahte dákkár sámi eaiggáduššan- ja háldoguovlun 	ii šattašii 	dušše Sis-Finnmárku , muhto ahte maiddái ollu vuotnaguovllut gulašedje dán guvlui .
Sámedikki mielas 	ii galggašii 	eavttukeahttá gáibiduvvot ahte árbevirolaš meahccegeavaheapmi lea gillefidnoguovlluid ásaheami vuođđun .
Sivvan dasa go Sámi vuoigatvuođalávdegoddi ii oro diehtimin ahte dan ie ¸as evttohus § 2-4 hárrái 	ii soabašii 	boazodoalu bággolonistanrievttálaš suodjaleapmái , sáhttá leat ahte lea gáddán boazodoalus ollu buoret heivehanvejolašvuođa ja - geatnegasvuođa go mii duohtavuođas lea .
Min álbmoga eallinvuođu 	ii sáhtášii 	sihkkarastit earáláhkai .
Sámedikki mielas 	ii galggašii 	loktet konsešuvdnaráji .
Sámedikki mielas 	ii galggašii 	loktet konsešuvdnaráji .
Dán virggi ásaheamis 	ii livččii 	dušše lean positiivvalaš váikkuhus sámegillii , muhto dainna maiddái oainnusin dahkkošii Sámediggi dáin guovlluin ja oččošii dohkkejumi .
Jus vuođđuda dasa man galles leat ealáhusas ja mii lea gálvojohtu , de 	ii lea 	olu mii čujuha dan guvlui ahte lea vuođđu cegget meahcástanealáhusaid várás gealboguovddáža .
	Ii lea 	lunddolaš ahte gealboguovddáš galgá ovddasvástidit visot osiid .
šattašii hui guovdilastin gelbui 	iige oaččošii 	dan searvválaš ja sámi profiilla maid sávašii .
Ođđa doarjjaortnet fertešii gilvalit ortnegiiguin mat juo gávdnojit juolludusaid ja hálddahuslaš kapasitehta dáfus , ja Sámediggeráđi mielas 	ii berrešii 	vuoruhit ortnega go dat čuozašii dáidda .
Sámi duoji haga 	ii sáhtášii 	jurddašit .
Dattetge 	ii lea 	dárbu ráhkadit sámi statistihka ollašuhttojuvvon dakkár registtardieđuiguin .
Sámediggeráđđi lea ovdan cealkán ahte ráppiid duođaštangáibádus 	ii berrešii 	leat guovdileamos eaktu buhtadusa oažžumii , ja ahte boraspiriid bearráigeahččanlogut berrejit leat hui riekta danne go dat logut mearridit boraspiriid hálddašeami .
Mearraluossabivddu bivdoáiggiid reguleren berre leat nu ahte guollebivddu vuođđu árbevirolaš bivdun ja kulturvuđot guolástussan 	ii nogašii 	áibbas .
Sámediggi 	ii lea 	bastán áššái go sáidesoaikonuohttun ain dáhpáhuvvá siskkimus osiin Várjjatvuonas máŋga vahku juohke maŋŋitgeasi .
Boazodoalu doaibmaminsttar birra jagi lea gitta luonddu eavttuin ja dan ferte vuhtii váldit šiehtadusas ja sihkkarastit ahte 400 000 ruvdnosaš rádji 	ii gustošii 	dalle go guovtti doaibmajagi buvttadus gártá seamma kaleanddarjahkái .
Boazodoalu doaibmaminsttar birra jagi lea gitta luonddu eavttuin ja dan ferte vuhtii váldit šiehtadusas ja sihkkarastit ahte 400 000 ruvdnosaš rádji 	ii gustošii 	dalle go guovtti doaibmajagi buvttadus gártá seamma kaleanddarjahkái .
Sámediggi lea movtta go girku lea dovddastan ahte dat lea searvan sámiid dáruiduhttimii , ja ahte dat dovddaha dáhtu váikkuhit dan ahte dát eahperiekti 	ii joatkašuvašii 	.
Sámediggi lea movtta go girku lea dovddastan ahte dat lea searvan sámiid dáruiduhttimii , ja ahte dat dovddaha dáhtu váikkuhit dan ahte dát eahperiekti 	ii joatkašuvašii 	.
Eanaš prošeavttaid maidda ohccojuvvo doarjja , 	ii livččii 	sáhttán čađahit Sámedikki váikkuhangaskaomiid haga .
Dás lea sáhka dakkár guovlluin maid sámečearru 	ii liigudivččii 	.
Nuorta Namdala sámesearvi fuomášuhtii dán birra Sámedikki , go das lei beroštupmi das ahte diŋga 	ii váldojuvvošii 	gávdnanbáikkis ovdal go lei mearriduvvon maid dainna galggai dahkat .
	Ii lea 	Sámediggi gii mudde sáibmabivddu – dan muddejit gielddat , fylkkamánni ja FEFO .
Ollu guovlluin 	ii lea 	dohkálaš interneahtta- ja mobiilageavahanvejolašvuohta .
Fitnodagat eai ásahuvvo boaittobeliide go 	ii lea 	govdabáddegeavahanvejolašvuohta , ja dat mearkkaša ahte eai ásahuvvo nu ollu gealbobargosajit boaittobeliide .
Dađibahábut dat 	ii lea 	vejolaš ollu sámi giliin .
Danne lea váttis čuoččuhit ahte Sámediggeráđđi 	ii livččii 	vuoruhan sámi kultuvrra , nugo mat Beaivváš Sámi Našunálateáhtera .
Danne lea váttis čuoččuhit ahte Sámediggeráđđi 	ii livččii 	vuoruhan sámi kultuvrra , nugo mat Beaivváš Sámi Našunálateáhtera .
Dán lágan ortnegis 	ii livččii 	nu ollu gielddaide ja fylkkagielddaide maid administreret , sihke bivdosearvvi ásaheami , ja dasto buhtadusa rehkenastima ja máksima ektui .
Ollu dán boasttuáddejumis 	ii livččii 	dárbbašan gávdnot jus servodagas livččii buoret
Eanaš prošeavttaid maidda ohccojuvvo doarjja 	ii livččii 	lean vejolaš čađahit Sámedikki váikkuhangaskaomiid haga .
Eanaš prošeavttaid maidda ohccojuvvo doarjja 	ii livččii 	lean vejolaš čađahit Sámedikki váikkuhangaskaomiid haga .
Meahccebiila vuodjá hárve olggobealde luotta go biila 	ii lea 	ráhkaduvvon dan gierdat , muhto ATV:in sáhttá álkit vuodjit juohke saji .
Danne 	ii lea 	kommišuvdna bargagoahtán dainna leavttuin mii lei finnmárkkulága áigumuš .
Šiehtadallamat daid ollu berošteddjiid gaskkas mearridit loahpas dakkár plána , 	ii čatná 	buot areálageavaheami mearriduvvon áigodahkii .
	Ii lea 	doarvái gulahallat dušše Stuorradikkiin dán áššis , ferte hui viidát bargat maiddái gielddaid ja fágabirrasiid ektui mat duođai fállet dearvvašvuođabálvalusaid geavaheddjiide .
Sámedikki váilevaš áŋgiruššan sáhttá earret eará leat dagahan ahte deaŧalaš prošeavttat nu go máŋggakultuvrralaš dearvvašvuođaguovddáš Divttasvuonas 	ii lea 	ožžon ruhtadeami Dearvvašvuođa- ja fuolahusdepartemeanttas .
Jus dat livččii lean dieđihuvvon álggu rájes juo , de 	ii livččii 	várra Sámediggi goassege dieđihan báikediđoštallama dán návsttu huksema oktavuođas Uhca Liidnavuonažis .
dieđáhusas čállojuvvo sámegiella , de dat guoská buot sámegielaide , jus 	ii čujuhuvva 	guđege gillii earenoamážit .
Dat leat nu stuora hástalusat maid Sámediggi nugo institušuvdna 	ii lea 	nagodan gieđahallagoahtit ja čoavdit .
Fylkasuohkan 	ii lea 	oppalohkái geatnegahttejuvvon fállat sámegiel oahpahusa dahje oahpahusa sámi oahppoplánabuktosiid mielde , maid vuođđun lea sámegiella , kultuvra ja serrvodateallin .
Dakkár bargovugiin lea leamaš hástalussan searvvahit giellastivrra og giellastivra 	ii lea 	mielde beaivválaš doaimmas .
Sámegiella 	ii lea 	stáhtadorjojuvvon giella , ja dasa lea stuorra deaddu stáhtdorjojuvvon gielas , mii dán dilis lea dárogiella .
Raporttas 	ii lea 	njuolgga kártejuvvon leat go vuođđoskuvlaoahppit sámegiela hálddašanguovllu olggobealde ožžon dieđuid sámegieloahpusa birra ja sámegieloahpahusfálaldaga .
Boazodoalu doaibmaminsttar birra jagi lea gitta luonddu eavttuin ja dan ferte vuhtii váldit šiehtadusas ja sihkkarastit ahte 400 000 ruvdnosaš rádji 	ii gustošii 	dalle go guovtti doaibmajagi buvttadus gártá seamma kaleanddarjahkái .
Boazodoalu doaibmaminsttar birra jagi lea gitta luonddu eavttuin ja dan ferte vuhtii váldit šiehtadusas ja sihkkarastit ahte 400 000 ruvdnosaš rádji 	ii gustošii 	dalle go guovtti doaibmajagi buvttadus gártá seamma kaleanddarjahkái .
Eavttut : Stipeandaohcamis oahpaheaddjiohppui galgá leat mielde duođaštus ahte sus lea áigumuš bargat sámegieloahpaheaddjin , oahpaheaddjin sámi skuvllas , ahte son áigu leat mielde ráhkadeamen sámi oahpponeavvuid dahje eará láhkai leat mielde ovddideamen oahpahusa sámi mánáid ja nuoraid várás Stipeandaohcamis oahpaheaddjiohppui mas 	ii lea 	sámegiella mielde fágasuorggis galgá leat mielde duođaštus ahte ohcci lea čađahan ja ceavzán oahpu sámegielas vuosttašgiellan joatkkaskuvllas dahje sullasaš oahpus Stipeanda addojuvvo oahpuide main leat uhcimusat 10 oahppočuoggá Dakkár sámegieloahpus mas leat uhcit go 15 oahppočuoggá , gáibiduvvo lassin ahte biddjojuvvo ovdan duođaštus mii čájeha ahte lea čađahan eksámena sámegielas dakkár oahpus mas leat uhcimusat 10 oahppočuoggá Galgá buktit duođaštusa das ahte lea čađahan eksámena .
Eavttut : Stipeandaohcamis oahpaheaddjiohppui galgá leat mielde duođaštus ahte sus lea áigumuš bargat sámegieloahpaheaddjin , oahpaheaddjin sámi skuvllas , ahte son áigu leat mielde ráhkadeamen sámi oahpponeavvuid dahje eará láhkai leat mielde ovddideamen oahpahusa sámi mánáid ja nuoraid várás Stipeandaohcamis oahpaheaddjiohppui mas 	ii lea 	sámegiella mielde fágasuorggis galgá leat mielde duođaštus ahte ohcci lea čađahan ja ceavzán oahpu sámegielas vuosttašgiellan joatkkaskuvllas dahje sullasaš oahpus Stipeanda addojuvvo oahpuide main leat uhcimusat 10 oahppočuoggá Dakkár sámegieloahpus mas leat uhcit go 15 oahppočuoggá , gáibiduvvo lassin ahte biddjojuvvo ovdan duođaštus mii čájeha ahte lea čađahan eksámena sámegielas dakkár oahpus mas leat uhcimusat 10 oahppočuoggá Galgá buktit duođaštusa das ahte lea čađahan eksámena .
Jahkecehkiid várás L97S mielde , 	ii mávssii 	lagabui 10 miljon ruvnnu ( Raporta man namma lea , geassemánnu 2010 , L. Mikkelsen joavkku ovddas mii lea doaibman Sámedikki , Máhttodepartemeantta ja Oahpahusdirektoráhta gaskka .
Go dieđáhusas čállojuvvo sámegiella , de dat guoská buot sámegielaide , jus 	ii čujuhuvva 	guđege gillii earenoamážit .
