## CLUES: VFIN.pl, A.Ess

De soaitá olmmoš veaháš balus dahje speantta, muhto dieđusge eanemus movttet.  ¶ ##CORR X A #no VFIN
Miehtá Finnmárkku lea dat goalmmat jagi oahppu mas leat eanemus guoros sajit.  ¶ ##CORR VFIN.pl X A N.pl
34 jahkásaš Mikkel Gaup lea eanemus dovddus váldorolla dihte Ofelaš-filmmas.  ¶ ##ERR VFIN.sg X A N
Riddu Riđđu lea eanemus dovddus musihkalávddi dihte.  ¶  ##ERR VFIN.sg X A N
Eanemus mearkkašahtti čuokkis doaibmaplánas lea gos EU garrasit ávžžuha mellahturiikkaid ja ovttasbargoguimmiid váldit vuhtii ja gáhttet álgoálbmogiid árbejuvvon eanan- ja kultuvrralašvuoigatvuođaid, jus makkárge industrialaš doaimmaid galgá čađahit álgoálbmot guovlluin.  ¶ ##ERR X A N.sg VFIN.sg
Dás lea sáhka eanemus guovddáš árvvuid birra, lagamužžii ráhkisvuohta.  ¶ ##CORR-amb SPRED VFIN.sg X A N --- guovddáš
Dássážii almmuhuvvon rollanamma, lea maiddái beakkán Ruoŧa neavttár Mikael Persbrandt, gii lea eanemus dovddus Beck tv-ráiddus, ja norgalačča Maria Bonnevie beallelažžan.  ¶ ##
Eanemus miellagiddevaš Davvi-Norggas.  ¶
Riddu Riđđu festivála lea earálágan ja dat eanemus miellagiddevaš festivála olles Davvi-Norggas ja dan dihte mii leat váldán sin mielde ovttasbargoguoibmin, čilge Mogård Larsen.  ¶
Lene váikkuhii dasa ahte Finnmárkkus leat eanemus nuorra eatnit olles Norggas.  ¶
Su eadni lea 18-jahkásaš ja Finnmárkkus leat eanemus nuorra eatnit olles Norggas.  ¶
Dát dáidá leat Finnmárkku eanemus dovddus mearkagálvofitnodat.  ¶
Lulli- ja Nuorta-Asia lea dat máilmmiguovlu gos leat eanemus geafes olbmot, go rehkenastá olbmuid.  ¶
Esther Aikio ja Anne Haugmann gullaba guktot Unjárgga Searvegotteráđđái, ja sudno mielas lei buot eanemus riekta dán prošeavtta doarjut.  ¶
Eai dus šatta dán vahku nu ollu sosiála doaimmat ja danne beasat áibbas ráfis čiekŋudahttit iežat eanemus siskkáldas áššiide.  ¶
Guovdageainnu dikšo- ja fuollaossodagas leat eanemus oahppameahttun olbmot olles Norggas.  ¶
Das galgá dahkidit iešguđet joavkkuid oassálastima, eandalitge boarrásut buolvva olbmuid, geain leat buot eanemus báikkálaš diehtu iešguđet báikkiid ja guovlluid mearkkašumis ja anus.  ¶
Muhto ovdal go álggii akto čuojahit, de dáidá leat eanemus dovddus dan áigodagas go lei mielde metallrock-joavkkus «The 3rd and the Mortal».  ¶
Suoma joavkku Rilka duohken lea guovdageaidnulaš Olav Johan Eira, gii várra lea eanemus dovddus Áigi-joavkku oktavuođas.  ¶
Inger Haldis Halvari lea várra eanemus dovddus girječállin, muhto lohká ahte son maiddái liiko duddjot.  ¶
Vuosttaš maid jurddašan lea ahte sii leat várra diehtán mirkko birra ovdal, go leat geavahan eanemus vilges fosfora dáppe davvin, gos eai leat nu ollu olbmot, lohká Isak Tore Oskal, Meavkki orohaga ovdaolmmoš.  ¶
Son lea vuođđoskuvlla oahpaheaddji ja musihkkár, eanemus dovddus Veijo Länsman rohki lávlagiiguin.  ¶
Eanemus bargguheamit leat Láhpis ja Guovdageainnus.  ¶
Ná sámegiel čovdosat iskkaduvvojit eanemus vejolaš bargooktavuođain ja prográmmain.  ¶
Dán barggus galgá dieđusge dinet, dat lea ortnegis, muhto go fitnodat šaddá nu stuoris ahte registrerejuvvo børsas, de lea rasttildan rájá, go dálle lea geatnegahtton háhpohaddat eanemus vejolaš dietnasa iežas eaiggádiidda.  ¶
Eanemus vejolaš ovttagaslaš giellapolitihkka davviriikkain nannešii sámi giela ollislaččat ja váikkuhivččii giela statusa loktemii.  ¶
Čielggadeami nuppi oasis áiggun álggos čuovvut njuolggadusráiddu dehálaš lađđasiid čohkkejuvvon ja eanemus vejolaš kronologalaš perspektiivvas.  ¶
Dán in oainne jierpmálažžan danin go eanemus ravdamearálaš bealit digaštallamis huksejit oainnuideaset myhtaid ja balddihanpropaganda ala.  ¶
Bård Michalsen, gii lea čállán girjji, muitala ahte Norggas leat eanemus báikkálaš aviissat oppa máilmmis, ja ahte mii leat dat álbmot máilmmis geat lohkat eanemus aviissaid.  ¶
Duhtavaččabut lei Ráđđi P2 kanalain, guđes sin mielas ledje eanemus etnalaš sáddagat, ja maiddái bieđgut iešguđetge prográmmagenriin.  ¶
Nepálas leat badjel 60 etnalaš joavkku, ja doppe hubmojuvvojit unnimusat 69 giela, ja nappo lea ge okta dain eanemus máŋggakultuvrralaš, máŋggagielat ja máŋggaoskkot servodagain máilmmis.  ¶
Seammá sajis čujuhuvvo ahte dan guovllus gos eanemus arkeologalaš dieđut leat, Nuorta-Finnmárkkus, ja earenoamážit Várjjatguovllus Báhčaveai-leagis, lea vejolaš dálá sámi kultuvrras vuohttit joatkevašvuođa gitta sámi ruovdeáiggi álggogeahčái.  ¶
Dalle ii lean dušše dárbbašlaš eanemus vejolaš buvttadeami oažžut, muhto maiddái go gusat dábálaččat gudde maŋŋidálvvi, lei measta dušše geassebuvttadeapmi vejolaš.  ¶
Báhčaveajis maid ledje dálvet eanemus sosiála oktavuođat obanassiige jagis.  ¶
Eanemus sámegielat 0-9 jahkásaččat ledje Álaheajus ja Mátta-Várjjagis gos 17 ja gávcci máná dán ahkejoavkkus ohppe sámegiela vuosttašgiellan.  ¶
Jurddá lei oažžut eanemus ovttalágan njuolggadusaid buot suohkaniin.  ¶
Lea jáhkehahtti ahte ohppiidlogu ovdáneapmi fágain sámegiella nubbingiellan ja sámi giella ja kultuvra stuorru eanemus boahttevaš jagiin.  ¶
Logut maid geavahit kápihttalis, leat goitge dat maid atnit eanemus rievttes lohkun mat leat oažžumis dássážii.  ¶
Vaikko Finnmárku lea eanemus dovddus guolástemiin ja boazodoaluin , de ii leat eahpádus ge eanandoalu áigahašvuođas.  ¶
Forbrukersamvirke, dahje eanemus dovddus, Samvirkelága, áigu dál gilvališgoahtit stuora Ameriikka Cola juhkosiiguin Coca Cola ja Pepsi Cola.  ¶
Eanemus gelddolaš semináraš lei gullat sámi kulturpolitihkalašplána barganjoavkku jurdagiid boahtteáiggi kulturpolitihka bargomodeallaid.  ¶
Gii diehtá, soaitá humadit beassat eanemus beakkán čikčiiguin dego Miniin, Rushfeldtain ja Heggemiin.  ¶
Okta máilmme eanemus beakkán dokumentárain.  ¶
Dál lea datneárpoherven eanemus dábálaš julev- ja lullisápmelaččaid gaskkas.  ¶
Dat lea eanemus realisttalaš ja maid eanemus solidáralaš sámi álbmogiin, ja maid olles Davvi álbmogiin, jus nu dahkat.  ¶
Go juo Ronald lea Sámis eanemus beakkán humorgonagassan, de lohpida doallat suohttasiid.  ¶
Nils Einar Samuelsen gullá dan eanemus konservatiiva suorgái dain máŋgga lestadiánalaš surggiin.  ¶
Nuortalaččat Njávdámis leat leamáš eanemus radikála sámi joavkkut.  ¶
Son aŋkke lea eanemus dovddus sámeservodagas go lei NBR jođiheaddji Álttá stuimmiid áiggiid.  ¶
Matthew Ngau Jau, okta daid eanemus dovddus čuojaheddjiin oaivvilda ahte nu olgoriikkas váldet vuostá dán čuojanasa mearrida liikostišgohtet go otná Sarawak nuorat dasa dahje eai.  ¶
Dat lea maiddái dat váddáseamos ja eanemus eahperealisttalaš lohpádus.  ¶
Eanemus radikála áirasat oaivvildit, ahte bellodat čielgasit galggašii cealkit, makkár juohkášupmi galgá Finnmárkku eanahálddahusas leat.  ¶
Ja vel eanemus optimisttalaš rehkenastimat nai čájehit ahte dušše bealli otná hupmangielain leat nana gielat jagis 2100.  ¶
Sámiid juohkin dan mielde, guhte hámis dáfus muittuha eanemus originála sápmelačča.  ¶
Dutkiid mielas bajimus ovdamearka lei originála, vaikke duohtavuođas eanemus originála sápmelačča hámi ovddastit goalmmát ráiddu olbmot.  ¶
Iežan mielas lea Guoládat ja Murmánska buot eanemus miellagiddevaš guovlu go dáppe álo dáhpáhuvvá juoidá.  ¶
Danne leat mis dat eanemus duhtavaš dáhkáduskundarat Norggas.  ¶
Mii orrut riikka eanemus gelddolaš fylkkas.  ¶
Mii áigut dás čilget manne NSRs lea buoremus ja eanemus ollislaš nuoraidpolitihkka.  ¶
Muhto soaitá eretfárren Máhkarávjolaš leat eanemus dovddus revybargguin, nugo fylkkarevyafestiválain ja BLØGGas.  ¶
Juohke bearjadaga dii 16.15 borgemánu 26. b rájes galgá leat válgadigaštallan, Sámiradio einnosta válgabohtosa juohke áidna válgabiires, ja muitala dan guovllu sierranas kandidáhtaid ja eanemus miellagiddevaš fáttaid birra.  ¶
Hammerfest Energi lea innovatiiva fitnodat, ja lea eanemus dovddus máilmmi vuosttaš ahcinfápmodoaimmahagain fierpmádagas.  ¶
Ásodagain ja ráidoviesuin jávká eanemus liekkas robi ja lovtta bokte.  ¶
Dalle šattai kubána sigára eanemus beakkán «lassibierggas» politihkkáriin, gávpealbmáin ja India badjeseađu nuorain.  ¶
Beaivváš Sámi Teáhtera julggaštuvvon ulbmil lea lágidit johtinplánaideamet dan láhkai, ahte mii joksat nu govda publikuma eanemus effektiiva vuogi mielde.  ¶
Steenstrup lea várra mánáide eanemus dovddus NRK1 «Kykelikokos» -prográmmas.  ¶
Gáivuonas boahtá koarra mii galgá lávlut daid eanemus dovddus lestadiánalaš sálmmaid.  ¶
Koarra lávlu sámegillii eanemus dovddus lestadiánalaš sálmmaid Davvi-Tromssas.  ¶
Áigi lea ge šaddan okta dain eanemus miellagiddevaš sámi joavku.  ¶
Olbmuide olggobeal eanandoalloealáhusa lea son eanemus dovddus gilvvagárdečeahppin ja gilvvagárdedoalu idealistan.  ¶
Eanemus dovddus artista mii boahtá, lea Morten Abel.  ¶ ##ERR X A N VFIN.sg
Ronni Le Tekrø lea Norgga eanemus dovddus čuojaheaddji.  ¶ ##ERR VFIN.sg X A
Vaikko Finnmárku lea eanemus dovddus guolástemiin ja boazodoaluin, de ii leat eahpádus ge eanandoalu áigahašvuođas.  ¶ ##ERR VFIN.sg X A
