Boađus: 1 058
						
Ovddit123Čuovvovaš
Cealkkačájeheapmi
	Administrative texts –
Lávdegoddi oaidná hui dehálažžan doalahit digaštallama 	áššin 	mat gusket dálkkaslaš teknologijii , dearvvašvuođabálvalusa vuoruhemiide , olmmošárvui ja ovttaárvosašvuhtii .
Jus 	áššin 	lea luobahit vuoigatvuođaid namuhuvvon 3. kapihttalis , de sáhttá ášši vuolggaheaddji beassat buhtadeamis vástideaddji áššegoluid jus vástideaddji šiehtadallamiid maŋŋel lea hilgon dahje ii leat vástidan fálaldaga , ja vástideaddji riekteárvvošteami mearrádusa olis ii oaččo eambbo go fálaldaga .
Stuoradiggi beassá de sierra 	áššin 	mearridit oainnus sámi ulbmiliid ja Sámedikki doaimma bušeahta váldoekonomalaš rámmaid hárrái boahttevaš jagi ovddas .
Dábálaš njuolggadus norgga rievttis lea leamaš nu ahte jus galggaš sáhttit vejolaš álbmotrievtti rihkkuma vuolggahit 	áššin 	, de ferte ovttastahttojuvvon konvenšuvdna leat rihkkojuvvon .
Go lea sápmelaččaid ovddasteaddji orgána de ii sáhte Sámediggi ihcalis olgguštuvvot dakkár áššiin main álbmotriekterihkkun vuolggahuvvo 	áššin 	duopmostuoluide , ja dat orru čájeheame bealálašnávcca dákkár áššiin .
Sámedikki iešmearrideami láhkanannema evttohus šaddá danne maŋitvurrosaš 	áššin 	go ii leat vuoiga dárbu dan mearrádussii dannego Sámedikki iešmearrideapmi juo doarvái bures áittarduvvo go diggi ásahuvvo sierra riektesubjeaktan .
Vejolaš spiehkasteamit njuolggadusain ovddiduvvojit sierra 	áššin 	.
Dát mielddisbuktá ahte sámi áššiid bušeahtta meannuduvvo sierra 	áššin 	bušeahttaoktavuođas .
Dan bokte go bušeahttašiehtadallamat // - ráđđádallamat šaddet sierra 	áššin 	, šattašii álkit gieđahallat dan čuolmma mii lea bušeahttačiegus dieđuid dáfus .
Ráđđehus atná giellagažaldaga hui deaŧalaš sámepolitihkalaš 	áššin 	.
Vaikko vel fáttát sáhttet ja galggašedje molsašuvvat ságastallamis ságastallamii , de lea deaŧalaš ahte oahppi ja váhnemat dovdet ahte dat mii sin mielas lea deaŧaleamos , lea maiddái 	áššin 	ságastallamis .
Ráđđehus atná giellagažaldaga hui deaŧalaš sámepolitihkalaš 	áššin 	.
Sakka dettolažžan adnojuvvo ahte Sámediggi , mađe mielde lea vejolaš , galgá ovddastuvvot riikkaidgaskasaš oktavuođain gos eamiálbmotgažaldagat loktejuvvojit 	áššin 	.
Resursavuođu ja eará servodatberoštumiid vuhtii váldin sáhttá eaktudit eiseválddiid čađahit doaimmaid dan dihte go dilálašvuohta oppalohkái adno leat almmolaš 	áššin 	.
Girkočoahkkin bivdá plána galgat biddjojuvvot 	áššin 	2008 Girkočoahkkimis .
Máŋgii lea boahtán ovdan 	áššin 	ahte galggašii go hálddašanovddasvástádusa sirdit Sámediggai , ee. Sd. dieđ. nr. 33 ( 2001 – 2002 ) .
Máŋgii lea boahtán ovdan 	áššin 	ahte galggašii go hálddašanovddasvástádusa sirdit Sámediggai , ee. Sd. dieđ. nr. 33 ( 2001 – 2002 ) .
Maiddái dás čujuhit Od.prp. nr. 28 ( 1994 – 95 ) gieđahallamii Stuoradikkis , gos boahtá ovdan ahte mearrádus lea jurddašuvvon adnot dušše erenoamáš váttis 	áššin 	ja dušše dihto mearriduvvon rájiid siskkobealde , gč. Ealáhuslávdegotti evttohusa ja čuovvu ságastallamiid .
Viidáset ferte proposišuvnnas boahtit ovdan ahte departemeanta geatnegahttá iežas bargui mas johtilit čuovvolit riddoguolástuslávdegotti konklušuvnnaid , ja mii ovddiduvvo 	áššin 	Stuorradiggái dán stuorradiggeáigodagas .
Jus 	áššin 	lea luobahit vuoigatvuođaid namuhuvvon 3. kapihttalis , de sáhttá ášši vuolggaheaddji beassat buhtadeamis vástideaddji áššegoluid jus vástideaddji šiehtadallamiid maŋŋel lea hilgon dahje ii leat vástidan fálaldaga , ja vástideaddji riekteárvvošteami mearrádusa olis ii oaččo eambbo go fálaldaga .
Sakka dettolažžan adnojuvvo ahte Sámediggi , mađe mielde lea vejolaš , galgá ovddastuvvot riikkaidgaskasaš oktavuođain gos eamiálbmotgažaldagat loktejuvvojit 	áššin 	.
Maiddái adnojuvvo sakka dettolažžan ahte Sámediggi nu guhkás go vejolaš lea ovddastuvvon rikkaidgaskasaš oktavuođain gos eamiálbmotáššit leat loktejuvvon 	áššin 	.
Eamiálbmogiid ovddasteddjiid ollislaš mieldeváldin ja oassálastin lea maiddái guovdilis 	áššin 	arktalaš ovttasbargui .
Boazolohku ja guohtungilvu Finnmárkkus lea máŋgalot jagi leamaš 	áššin 	, muhto eai leat dássožii vel gávdnon buorit ja soabatlaš čovdosat .
Girkočoahkkin bivdá plána galgat biddjojuvvot 	áššin 	2008 Girkočoahkkimis .
Girkočoahkkin bivdá plána galgat biddjojuvvot 	áššin 	2008 Girkočoahkkimis .
Girkočoahkkin bivdá plána galgat biddjojuvvot 	áššin 	2008 Girkočoahkkimis .
Máŋgii lea boahtán ovdan 	áššin 	ahte galggašii go hálddašanovddasvástádusa sirdit Sámediggai , ee. Sd. dieđ. nr. 33 ( 2001 – 2002 ) .
Máŋgii lea boahtán ovdan 	áššin 	ahte galggašii go hálddašanovddasvástádusa sirdit Sámediggai , ee. Sd. dieđ. nr. 33 ( 2001 – 2002 ) .
Máŋgii lea boahtán ovdan 	áššin 	ahte galggašii go hálddašanovddasvástádusa sirdit Sámediggai , ee. Sd. dieđ. nr. 33 ( 2001 – 2002 ) .
Ráđđehus atná giellagažaldaga hui deaŧalaš sámepolitihkalaš 	áššin 	.
Ráđđádallanšiehtadusa barggadettiin sohppui ahte dárbbaša geahčadit prosedyraid sierra 	áššin 	Sámedikki bušeahta ráhkadeami oktavuođas , go bušeahttabarggu oktavuođas bohciidahttet prosedyrat sierralágan áššiid ja čuolmmaid .
iehtadaladettiin ovdan ON-konvenšuvnna siviila ja politihkalaš vuoigatvuođaid birra 1966 ja ON-konvenšuvnna ekonomalaš , sosiála ja kultuvrralaš vuoigatvuođaid birra 1966 , loktejuvvui gažaldat fas 	áššin 	.
Maiddái adnojuvvo sakka dettolažžan ahte Sámediggi nu guhkás go vejolaš lea ovddastuvvon rikkaidgaskasaš oktavuođain gos eamiálbmotáššit leat loktejuvvon 	áššin 	.
Eamiálbmogiid ovddasteddjiid ollislaš mieldeváldin ja oassálastin lea maiddái guovdilis 	áššin 	arktalaš ovttasbargui .
Dáin čoahkkimiin oažžu Sámediggi diehtit makkár proseassaid departtemeanttat árvvoštallet guovdilin čuovvovaš mánuid konsultašuvnnaid 	áššin 	.
Sámediggi meannudii bargojoavkku raportta čakčamánus 2007 ( 	áššin 	37/07/37 ) .
Dán konferánssas ledje guovddáš 	áššin 	dat vejolaš váikkuhusat mat ođastusas sáhttet šaddat Sámediggái ja sámi guovlluid fylkkagielddaide ja gielddaide .
Deaŧalaš 	áššin 	leat leamaš Sámediggeráđi riikkaidgaskasaš áŋgiruššansuorggit , Barentsovttasbargu , Davviriikkalaš Sámekonvenšuvdna , Norgga ovdagoddi árktalaš ráđis , dálkkádatrievdamat , EU ja ONa eamiálbmotjulggaštus .
	áššin 	ledje : plána- ja huksenláhka , mearrariggodatláhka , Norgga posišuvnnat álgoálbmotjulggaštusbarggus , doaibmabijut stuorradiggedieđáhusas guolástusaid struktuvrapolitihka hárrái , doaibmabijut stuorradiggedieđáhusas gonagasreabbá hálddašeami birra , láhkaásahus Finnmárkku komišuvnna ja Meahcceduopmostuolu váste , Finnmárkku komi-šuvnna čoahkádus , Deanučázádaga guolástanlávdegotti mandáhta ja čoahkádus , sámi guovlluid suodjalanbarggu njuolggadusat , sámi lotnolasealáhusaid árvoháhkanprográmma , lastavuvddiid suodjalanplána Finmmárkkus , guovllulaš dearvvašvuo-đadoaimmaid doaibmadokumeanta ja oahppoplánat 9 iešguđet fágaide vuođđo- ja joatkkaskuvllain .
	áššin 	leat : minerálaláhka , luonddušláddjivuođaláhka , rievdadusat sámelága válganjuolggadusain , hálddašanođastus , boahtte áiggi sámi kulturmuitohálddašeapmi , čáhcefápmohuksen Forsanvatnet guovllus Norlánddas , doaibmabijut stuorradiggedieđáhusas sámepolitihka birra ja Sámedikki formalalaš sajádat ja bušeahttaprosedyrat .
Sámediggi lea jahkebeallásaš konsultašunčoahkkimiid oktavuođas Bargo- ja searvadahttindepartemeanttain lokten 	áššin 	daid hástalusaid maid máŋga suohkana vásihit oahpahussuorggis .
Boazodoallovuoigatvuođa geográfalaš duhkodat lea dakkár fáddá mii maŋimuš jagiid lea leamaš guovddáš 	áššin 	.
Boazodoallovuoigatvuođa geográfalaš duhkodat lea dakkár fáddá mii maŋimuš jagiid lea leamaš guovddáš 	áššin 	.
Boazodoallovuoigatvuođa geográfalaš duhkodat lea dakkár fáddá mii maŋimuš jagiid lea leamaš guovddáš 	áššin 	.
Dán konferánssas ledje guovddáš 	áššin 	dat vejolaš váikkuhusat mat ođastusas sáhttet šaddat Sámediggái ja sámi guovlluid fylkkagielddaide ja gielddaide .
Deaŧalaš 	áššin 	leat leamaš Sámediggeráđi riikkaidgaskasaš áŋgiruššansuorggit , Barentsovttasbargu , Davviriikkalaš Sámekonvenšuvdna , Norgga ovdagoddi árktalaš ráđis , dálkkádatrievdamat , EU ja ONa eamiálbmotjulggaštus .
Dán konferánssas ledje guovddáš 	áššin 	dat vejolaš váikkuhusat mat ođastusas sáhttet šaddat Sámediggái ja sámi guovlluid fylkkagielddaide ja gielddaide .
Deaŧalaš 	áššin 	leat leamaš Sámediggeráđi riikkaidgaskasaš áŋgiruššansuorggit , Barentsovttasbargu , Davviriikkalaš Sámekonvenšuvdna , Norgga ovdagoddi árktalaš ráđis , dálkkádatrievdamat , EU ja ONa eamiálbmotjulggaštus .
Dán konferánssas ledje guovddáš 	áššin 	dat vejolaš váikkuhusat mat ođastusas sáhttet šaddat Sámediggái ja sámi guovlluid fylkkagielddaide ja gielddaide .
Deaŧalaš 	áššin 	leat leamaš Sámediggeráđi riikkaidgaskasaš áŋgiruššansuorggit , Barentsovttasbargu , Davviriikkalaš Sámekonvenšuvdna , Norgga ovdagoddi árktalaš ráđis , dálkkádatrievdamat , EU ja ONa eamiálbmotjulggaštus .
	áššin 	ledje : plána- ja huksenláhka , mearrariggodatláhka , Norgga posišuvnnat álgoálbmotjulggaštusbarggus , doaibmabijut stuorradiggedieđáhusas guolástusaid struktuvrapolitihka hárrái , doaibmabijut stuorradiggedieđáhusas gonagasreabbá hálddašeami birra , láhkaásahus Finnmárkku komišuvnna ja Meahcceduopmostuolu váste , Finnmárkku komi-šuvnna čoahkádus , Deanučázádaga guolástanlávdegotti mandáhta ja čoahkádus , sámi guovlluid suodjalanbarggu njuolggadusat , sámi lotnolasealáhusaid árvoháhkanprográmma , lastavuvddiid suodjalanplána Finmmárkkus , guovllulaš dearvvašvuo-đadoaimmaid doaibmadokumeanta ja oahppoplánat 9 iešguđet fágaide vuođđo- ja joatkkaskuvllain .
	áššin 	leat : minerálaláhka , luonddušláddjivuođaláhka , rievdadusat sámelága válganjuolggadusain , hálddašanođastus , boahtte áiggi sámi kulturmuitohálddašeapmi , čáhcefápmohuksen Forsanvatnet guovllus Norlánddas , doaibmabijut stuorradiggedieđáhusas sámepolitihka birra ja Sámedikki formalalaš sajádat ja bušeahttaprosedyrat .
	áššin 	ledje : plána- ja huksenláhka , mearrariggodatláhka , Norgga posišuvnnat álgoálbmotjulggaštusbarggus , doaibmabijut stuorradiggedieđáhusas guolástusaid struktuvrapolitihka hárrái , doaibmabijut stuorradiggedieđáhusas gonagasreabbá hálddašeami birra , láhkaásahus Finnmárkku komišuvnna ja Meahcceduopmostuolu váste , Finnmárkku komi-šuvnna čoahkádus , Deanučázádaga guolástanlávdegotti mandáhta ja čoahkádus , sámi guovlluid suodjalanbarggu njuolggadusat , sámi lotnolasealáhusaid árvoháhkanprográmma , lastavuvddiid suodjalanplána Finmmárkkus , guovllulaš dearvvašvuo-đadoaimmaid doaibmadokumeanta ja oahppoplánat 9 iešguđet fágaide vuođđo- ja joatkkaskuvllain .
	áššin 	leat : minerálaláhka , luonddušláddjivuođaláhka , rievdadusat sámelága válganjuolggadusain , hálddašanođastus , boahtte áiggi sámi kulturmuitohálddašeapmi , čáhcefápmohuksen Forsanvatnet guovllus Norlánddas , doaibmabijut stuorradiggedieđáhusas sámepolitihka birra ja Sámedikki formalalaš sajádat ja bušeahttaprosedyrat .
Dán problematihka geažil gártá ge bievlavuodjima meannudeapmi váttis 	áššin 	.
Dán problematihka geažil gártá ge bievlavuodjima meannudeapmi váttis 	áššin 	.
Sámediggi ádde hui bures manne sámi museat leat fuolastuvvan , ja lea ovddidan museaođastusa 	áššin 	čoahkkimis Stuorradikki gielda- ja hálddašankomiteain skábmamánus .
Sámediggi ádde hui bures manne sámi museat leat fuolastuvvan , ja lea ovddidan museaođastusa 	áššin 	čoahkkimis Stuorradikki gielda- ja hálddašankomiteain skábmamánus .
Viidáset ferte proposišuvnnas boahtit ovdan ahte departemeanta geatnegahttá iežas bargui mas johtilit čuovvolit riddoguolástuslávdegotti konklušuvnnaid , ja mii ovddiduvvo 	áššin 	Stuorradiggái dán stuorradiggeáigodagas .
Viidáset ferte proposišuvnnas boahtit ovdan ahte departemeanta geatnegahttá iežas bargui mas johtilit čuovvolit riddoguolástuslávdegotti konklušuvnnaid , ja mii ovddiduvvo 	áššin 	Stuorradiggái dán stuorradiggeáigodagas .
	áššin 	ledje : plána- ja huksenláhka , mearrariggodatláhka , Norgga posišuvnnat álgoálbmotjulggaštusbarggus , doaibmabijut stuorradiggedieđáhusas guolástusaid struktuvrapolitihka hárrái , doaibmabijut stuorradiggedieđáhusas gonagasreabbá hálddašeami birra , láhkaásahus Finnmárkku komišuvnna ja Meahcceduopmostuolu váste , Finnmárkku komi-šuvnna čoahkádus , Deanučázádaga guolástanlávdegotti mandáhta ja čoahkádus , sámi guovlluid suodjalanbarggu njuolggadusat , sámi lotnolasealáhusaid árvoháhkanprográmma , lastavuvddiid suodjalanplána Finmmárkkus , guovllulaš dearvvašvuo-đadoaimmaid doaibmadokumeanta ja oahppoplánat 9 iešguđet fágaide vuođđo- ja joatkkaskuvllain .
	áššin 	leat : minerálaláhka , luonddušláddjivuođaláhka , rievdadusat sámelága válganjuolggadusain , hálddašanođastus , boahtte áiggi sámi kulturmuitohálddašeapmi , čáhcefápmohuksen Forsanvatnet guovllus Norlánddas , doaibmabijut stuorradiggedieđáhusas sámepolitihka birra ja Sámedikki formalalaš sajádat ja bušeahttaprosedyrat .
Dán problematihka geažil gártá ge bievlavuodjima meannudeapmi váttis 	áššin 	.
Sámediggi ádde hui bures manne sámi museat leat fuolastuvvan , ja lea ovddidan museaođastusa 	áššin 	čoahkkimis Stuorradikki gielda- ja hálddašankomiteain skábmamánus .
Viidáset ferte proposišuvnnas boahtit ovdan ahte departemeanta geatnegahttá iežas bargui mas johtilit čuovvolit riddoguolástuslávdegotti konklušuvnnaid , ja mii ovddiduvvo 	áššin 	Stuorradiggái dán stuorradiggeáigodagas .
Ráđđádallanšiehtadusa barggadettiin sohppui ahte dárbbaša geahčadit prosedyraid sierra 	áššin 	Sámedikki bušeahta ráhkadeami oktavuođas , go bušeahttabarggu oktavuođas bohciidahttet prosedyrat sierralágan áššiid ja čuolmmaid .
Boazodoallovuoigatvuođa geográfalaš duhkodat lea dakkár fáddá mii maŋimuš jagiid lea leamaš guovddáš 	áššin 	.
Deaŧalaš 	áššin 	leat leamaš Sámediggeráđi riikkaidgaskasaš áŋgiruššansuorggit , Barentsovttasbargu , Davviriikkalaš Sámekonvenšuvdna , Norgga ovdagoddi árktalaš ráđis , dálkkádatrievdamat , EU ja ONa eamiálbmotjulggaštus .
	áššin 	ledje : plána- ja huksenláhka , mearrariggodatláhka , Norgga posišuvnnat álgoálbmotjulggaštusbarggus , doaibmabijut stuorradiggedieđáhusas guolástusaid struktuvrapolitihka hárrái , doaibmabijut stuorradiggedieđáhusas gonagasreabbá hálddašeami birra , láhkaásahus Finnmárkku komišuvnna ja Meahcceduopmostuolu váste , Finnmárkku komi-šuvnna čoahkádus , Deanučázádaga guolástanlávdegotti mandáhta ja čoahkádus , sámi guovlluid suodjalanbarggu njuolggadusat , sámi lotnolasealáhusaid árvoháhkanprográmma , lastavuvddiid suodjalanplána Finmmárkkus , guovllulaš dearvvašvuo-đadoaimmaid doaibmadokumeanta ja oahppoplánat 9 iešguđet fágaide vuođđo- ja joatkkaskuvllain .
	áššin 	leat : minerálaláhka , luonddušláddjivuođaláhka , rievdadusat sámelága válganjuolggadusain , hálddašanođastus , boahtte áiggi sámi kulturmuitohálddašeapmi , čáhcefápmohuksen Forsanvatnet guovllus Norlánddas , doaibmabijut stuorradiggedieđáhusas sámepolitihka birra ja Sámedikki formalalaš sajádat ja bušeahttaprosedyrat .
( Stuorradiggi bivdá Ráđđehusa farggamusat čielggadit sámiid ja earáid guolástanvuoigatvuođa mearas Finnmárkku olggobealde , dás maiddái daid fatnasiid uhcimuseriid mat leat oanehat go 10 mehtera , ja čuovvolit dan 	áššin 	Stuorradiggái .
Ráđđehus atná giellagažaldaga hui deaŧalaš sámepolitihkalaš 	áššin 	.
iehtadaladettiin ovdan ON-konvenšuvnna siviila ja politihkalaš vuoigatvuođaid birra 1966 ja ON-konvenšuvnna ekonomalaš , sosiála ja kultuvrralaš vuoigatvuođaid birra 1966 , loktejuvvui gažaldat fas 	áššin 	.
Dain 	áššin 	mat gusket sámi kulturmuittuid hálddašeapmái , sáhttet mearrádusat mat leat dahkkojuvvon kulturmuitolága vuođul , váidaluvvot Riikaantikvárii , gč. kap. 7.7 .
Sámediggi meannudii raportta « Sámedikki formála sajádat ja bušeahttaprosedyrat » dievasčoahkkimisttis čakčamánus 2007 ( 	áššin 	35/07/35 ) .
Boazodoallovuoigatvuođa geográfalaš duhkodat lea dakkár fáddá mii maŋimuš jagiid lea leamaš guovddáš 	áššin 	.
Dán problematihka geažil gártá ge bievlavuodjima meannudeapmi váttis 	áššin 	.
Viidáset ferte proposišuvnnas boahtit ovdan ahte departemeanta geatnegahttá iežas bargui mas johtilit čuovvolit riddoguolástuslávdegotti konklušuvnnaid , ja mii ovddiduvvo 	áššin 	Stuorradiggái dán stuorradiggeáigodagas .
Vástesaš mátkepolisiija ja gullevaš dagaldumit ovddiduvvojit sierra 	áššin 	Sámedikki politihkkariidda guovvamánu dievasčoahkkimis 2006 .
Eamiálbmogiid ovddasteddjiid ollislaš mieldeváldin ja oassálastin lea maiddái guovdilis 	áššin 	arktalaš ovttasbargui .
Konsultašuvdnašiehtadusa barggus lei ovttamielalašvuohta das ahte lea dárbu geahčadit makkár bargovuogit leat Sámedikki bušeahta ráhkadeamis sierra 	áššin 	, dannego jahkásaš stáhtabušeahtaid ráhkadeamis čuožžilit sierra gažaldagat ja čuolbmačilgehusat .
Sámediggi ádde hui bures manne sámi museat leat fuolastuvvan , ja lea ovddidan museaođastusa 	áššin 	čoahkkimis Stuorradikki gielda- ja hálddašankomiteain skábmamánus .
Sámediggi lea jahkebeallásaš konsultašunčoahkkimiid oktavuođas Bargo- ja searvadahttindepartemeanttain lokten 	áššin 	daid hástalusaid maid máŋga suohkana vásihit oahpahussuorggis .
Sámediggi lea jahkebeallásaš konsultašunčoahkkimiid oktavuođas Bargo- ja searvadahttindepartemeanttain lokten 	áššin 	daid hástalusaid maid máŋga suohkana vásihit oahpahussuorggis .
Ráđđádallamiid oktavuođas lea ovdalaš verddevuohta leamaš 	áššin 	, ja lea jerrojuvvon sáhttá go dakkár ortnega joatkit sierralobi vejolašvuođa olis .
Sámediggi ádde hui bures manne sámi museat leat fuolastuvvan , ja lea ovddidan museaođastusa 	áššin 	čoahkkimis Stuorradikki gielda- ja hálddašankomiteain skábmamánus .
Dain 	áššin 	mat gusket sámi kulturmuittuid hálddašeapmái , sáhttet mearrádusat mat leat dahkkojuvvon kulturmuitolága vuođul , váidaluvvot Riikaantikvárii , gč. kap. 7.7 .
Sámediggi meannudii bargojoavkku raportta čakčamánus 2007 ( 	áššin 	37/07/37 ) .
Dán problematihka geažil gártá ge bievlavuodjima meannudeapmi váttis 	áššin 	.
Ráđđádallamiid oktavuođas lea ovdalaš verddevuohta leamaš 	áššin 	, ja lea jerrojuvvon sáhttá go dakkár ortnega joatkit sierralobi vejolašvuođa olis .
Boazolohku ja guohtungilvu Finnmárkkus lea máŋgalot jagi leamaš 	áššin 	, muhto eai leat dássožii vel gávdnon buorit ja soabatlaš čovdosat .
Dáin čoahkkimiin oažžu Sámediggi diehtit makkár proseassaid departtemeanttat árvvoštallet guovdilin čuovvovaš mánuid konsultašuvnnaid 	áššin 	.
Dáin čoahkkimiin oažžu Sámediggi diehtit makkár proseassaid departtemeanttat árvvoštallet guovdilin čuovvovaš mánuid konsultašuvnnaid 	áššin 	.
Dain 	áššin 	mat gusket sámi kulturmuittuid hálddašeapmái , sáhttet mearrádusat mat leat dahkkojuvvon kulturmuitolága vuođul , váidaluvvot Riikaantikvárii , gč. kap. 7.7 .
« Sámedikki formála sajádat ja bušeahttaprosedyrat » dievasčoahkkimisttis čakčamánus 2007 ( 	áššin 	35/07/35 ) .
Dain 	áššin 	mat gusket sámi kulturmuittuid hálddašeapmái , sáhttet mearrádusat mat leat dahkkojuvvon kulturmuitolága vuođul , váidaluvvot Riikaantikvárii , gč. kap. 7.7 .
« Sámedikki formála sajádat ja bušeahttaprosedyrat » dievasčoahkkimisttis čakčamánus 2007 ( 	áššin 	35/07/35 ) .
Konsultašuvdnašiehtadusa barggus lei ovttamielalašvuohta das ahte lea dárbu geahčadit makkár bargovuogit leat Sámedikki bušeahta ráhkadeamis sierra 	áššin 	, dannego jahkásaš stáhtabušeahtaid ráhkadeamis čuožžilit sierra gažaldagat ja čuolbmačilgehusat .
Konsultašuvdnašiehtadusa barggus lei ovttamielalašvuohta das ahte lea dárbu geahčadit makkár bargovuogit leat Sámedikki bušeahta ráhkadeamis sierra 	áššin 	, dannego jahkásaš stáhtabušeahtaid ráhkadeamis čuožžilit sierra gažaldagat ja čuolbmačilgehusat .
Sámediggi meannudii bargojoavkku raportta čakčamánus 2007 ( 	áššin 	37/07/37 ) .
Sámediggi meannudii bargojoavkku raportta čakčamánus 2007 ( 	áššin 	37/07/37 ) .
Dáin čoahkkimiin oažžu Sámediggi diehtit makkár proseassaid departtemeanttat árvvoštallet guovdilin čuovvovaš mánuid konsultašuvnnaid 	áššin 	.
Dain 	áššin 	mat gusket sámi kulturmuittuid hálddašeapmái , sáhttet mearrádusat mat leat dahkkojuvvon kulturmuitolága vuođul , váidaluvvot Riikaantikvárii , gč. kap. 7.7 .
Sámediggi meannudii raportta « Sámedikki formála sajádat ja bušeahttaprosedyrat » dievasčoahkkimisttis čakčamánus 2007 ( 	áššin 	35/07/35 ) .
Konsultašuvdnašiehtadusa barggus lei ovttamielalašvuohta das ahte lea dárbu geahčadit makkár bargovuogit leat Sámedikki bušeahta ráhkadeamis sierra 	áššin 	, dannego jahkásaš stáhtabušeahtaid ráhkadeamis čuožžilit sierra gažaldagat ja čuolbmačilgehusat .
Sámediggi meannudii bargojoavkku raportta čakčamánus 2007 ( 	áššin 	37/07/37 ) .
Sámediggi meannudii raportta « Sámedikki formála sajádat ja bušeahttaprosedyrat » dievasčoahkkimisttis čakčamánus 2007 ( 	áššin 	35/07/35 ) .
Go ráđđehusa davveguovlluid strategiija čilgejuvvo Romssas odne , de čalmmus 	áššin 	lea norgalaš olgoriikapolitihka ođđa viidodat .
Borasdávda ii lean politihkalaš 	áššin 	olu jagiid .
Dásseárvu jurddašuvvo dávjá dušše nissoniid ja albmáid gaskasaš 	áššin 	, muhto ovttaveardásašvuođaláhka deattuha doahpaga gokčat maiddái eará vehádagaid .
Váldo sierra 	áššin 	ovdal jagi loahpa .
Suohkanstivra meannudii bálvalusgeahpedeami sierra 	áššin 	, maŋŋil go bargojoavku lei ovddidan bajilgova das makkár doaimmaid livččii sáhttán čađahit vai geahpeda olggosgoluid .
Suohkanstivra meannudii bálvalusgeahpedeami sierra 	áššin 	, maŋŋil go bargojoavku lei ovddidan bajilgova das makkár doaimmaid livččii sáhttán čađahit vai geahpeda olggosgoluid .
Dieđáhus galgá ovdanbuktojuvvot suohkanstivrii ja meannuduvvot sierra 	áššin 	.
Ruoŧa ráđđehusas lea vuoruhuvvon 	áššin 	nannet ja ovddidit olmmošlaš vuoigatvuođaid ja daid fuolaheami sihke sisriikkalaččat ja riikkaid gaskasaččat .
Fylkkadiggi lea áššiin 49/02/49 ja 63/02/63 addán diehttevassii ahte fylkkasuohkana searvevuođabarggus šaddá guovdilis 	áššin 	máŋggalágan ovttasbargosoahpamušaiguin .
