Boađus: 15 667
» Sii vástidedje : « Mii ba das 	guoská 	midjiide ? #ILL Sem/Hum
Dát 	guoská 	sidjiide geaid suttut eai doalvvo jápmimii . #ILL Sem/Hum
4 Sii eai leat nuoskkidan iežaset nissoniiguin , dasgo sii leat dego 	guoskkakeahtes 	nieiddat . #0
» Sii vástidedje : « Mii ba das 	guoská 	midjiide ? #ILL Sem/Hum
» Jesus vástidii : « Jos mun dáhtošin ahte son eallá dassážii go mun boađán , mii das 	guoská 	dutnje ? #ILL Sem/Hum
» Muhto ii Jesus lean cealkán ahte son ii jáme , muhto son celkkii : « Jos mun dáhtošin ahte son eallá dassážii go mun boađán , mii das 	guoská 	dutnje ? #ILL Sem/Hum
Mun gávnnahin ahte váidalus 	guoskkai 	sin láhkagažaldagaide ii ge masage mii ánssášivččii jápminduomu dahje giddagasa . #ILL
Mii diehtit ahte buot dat maid láhka cealká , 	guoská 	sidjiide geat leat lága vuložat , vai juohke njálbmi buđđojuvvošii ja oppa máilbmi šattašii sivalažžan Ipmila ovddas . #ILL Sem/Hum
	Guoská 	go dát ávdugassan máidnojupmi dušše birračuhppojuvvon olbmuide vai maiddái birračuohpakeahtes olbmuide ? #ILL Sem/Hum
Dasto , mii 	guoská 	náitalkeahtes olbmuide , de dan áššis mus eai leat gohččumat Hearrás . #ILL Sem/Hum
Dasto , mii 	guoská 	eahpeipmiliidda oaffaruššojuvvon birgui , de das mis gal lea buohkain diehtu . #ILL
Dasto , oskuguoimmit , mii 	guoská 	Vuoiŋŋa attáldagaide , de mun dáhtošin din dovdat daid . #ILL
Dasto , mii 	guoská 	dan ruhtaveahkái mii čoggojuvvo searvegoddái , de dahket nugo mun lean gohččon Galatia searvegottiid . #ILL
Muhto dat 	guoská 	maiddái didjiide ge ahte juohkehaš galgá ráhkistit áhkás dego iežas , ja áhkká gis galgá atnit árvvus boatnjás . #ILL Sem/Hum
Tykikos muitala didjiide buot mii 	guoská 	munnje . #ILL Sem/Hum
Mii bivdit din , oskuguoimmit , go 	guoská 	Hearrámet Jesus Kristusa boahtimii ja mo mii čoagganit su lusa , ahte ehpet moivašuvaše ehpet ge suorganivčče , jos muhtun čujuhivččii guđege einnostussii , sátnái dahje girjái mii mahkáš boahtá mis , ja dajašii ahte Hearrá beaivi lea juo boahtán . #ILL Sem/Act
Ii go dat 	guoskan 	daidda guđet ledje eahpegulolaččat ? #ILL
Dan dihtii Ipmil nannii lohpádusas váliin go hálidii čájehit čielgasit sidjiide geaidda lohpádus 	guoská 	, ahte su árvalus ii nuppástuva . #ILL Sem/Hum
Dasgo sii eai gierdan gullat dán gohččuma : « Jos velá spire ge 	guoská 	várrái , de dat galgá geađgáduvvot . #ILL Sem/Plc
Dát 	guoská 	sidjiide geaid suttut eai doalvvo jápmimii . #ILL Sem/Hum
Sii eai leat nuoskkidan iežaset nissoniiguin , dasgo sii leat dego 	guoskkakeahtes 	nieiddat . #0
Dan dihtii mun hehttejin du suddudeames iežan vuostái inge diktán du 	guoskat 	sutnje . #ILL Sem/Hum
” De eŋgel celkkii : ” Ale 	guoskkat 	bártnát alege daga sutnje maidege , dasgo dál mun dieđán ahte don balat Ipmilis go it seasttáše mus áidna bártnátge . #ACC Sem/Hum
Nieida lei hui čáppahámat , buhtes nieida , ii oktage olmmái lean 	guoskan 	sutnje . #ILL Sem/Hum
Vuvdot su ismaellaččaide , dalle mii eat ieža dárbbaš 	guoskat 	sutnje , dasgo sonhan lea min viellja , min oažži . #ILL Sem/Hum
Dan dihtii mun hehttejin du suddudeames iežan vuostái inge diktán du 	guoskat 	sutnje . #ILL Sem/Hum
5 22:12 De eŋgel celkkii : ” Ale 	guoskkat 	bártnát alege daga sutnje maidege , dasgo dál mun dieđán ahte don balat Ipmilis go it seasttáše mus áidna bártnátge . #ACC Sem/Hum
5 24:16 Nieida lei hui čáppahámat , buhtes nieida , ii oktage olmmái lean 	guoskan 	sutnje . #ILL Sem/Hum
5 37:27 Vuvdot su ismaellaččaide , dalle mii eat ieža dárbbaš 	guoskat 	sutnje , dasgo sonhan lea min viellja , min oažži . #ILL Sem/Hum
Dát 	guoská 	erenoamážit politihkariidda , geat mearridit galgá go leat vejolaš ráhkadit sámi skuvlla . #ILL
Dát 	guoská 	erenoamážit oahpahuspolitihka rievdadeapmái 1980-logu loahpa rájes . #ILL
Dát ii unnimusat 	guoskka 	oahpahuspolitihka rievdadeapmái 1980-logu loahpa rájes . #ILL
Vuogádat mii huksejuvvui von Westena jođiheami vuolde 	guoskkai 	eanas sámiide Norggas . #ILL
Dát 	guoská 	maiddái Biibbala ja eará oskkulaš čállosiid jorgaleapmái . #ILL
Earret eará 	guoská 	dat vuosttaš sámegiel biibbaljorgaleapmái mii dahkkui Norggas . #ILL
Muhto dát han ii 	guoskan 	sámi mánáide , ja jagi maŋŋil bođii dát teaksta ođđa giellanjuolggadusas : « Selv om i en kreds flerheden af børnene ikke forstaar norsk , maa læreren dog alltid have de ovenfor givne bestemmelser for øye og således lade sig det være maktpåliggende , at det lappiske eller kvænske sprog ikke bruges i videre utstrækning end forholdene gjør uomgjængelig fornødent.»44 Eiseválddiid bealis deattuhuvvui ahte sámit fertejedje oahppat dárogiela , muhto ii oktage muitalan mo sii galge oahppat . #ILL Sem/Hum
Sámi organisašuvnnaid gáibádusat 	guske 	vuosttažettiin skuvllaid oahpahusgillii . #ILL Sem/Lang
Dát 	guoskkai 	bargiidseađu , boaittobealguovlluid , unnitlogujoavkkuid ja doaibmahettejuvvon mánáide . #ILL Sem/Hum
Álggos dát 	guoskkai 	dušše davvisámegiel girjjiide , maŋŋil maiddái julev- ja lullisámegiel girjjiide . #ILL Sem/Txt
Historjá dán mánáidgárddi birra ja eará mánáidgárdehuksemiid birra , gielddain mat maŋŋil šadde sámegiela hálddašanguovlun , sáhttá lohkat dán váldofágabarggus : Marianne Storjord : Fra nødhjelp til folkehjelp , 2000 130 « Go 	guoská 	diehtu , man vuođul sáhtášii ovdánahttit vuogás ovdaskuvlafálaldagaid sámi mánáid várás , ii báljo obage gávdno « . #0
Easka birrasit 15 jagi maŋŋil dáhpáhuvvagoahtá juoga mii 	guoská 	duođaštan ortnegiidda . #ILL
Erenoamážit 	guoská 	dat sámi oahpahussii .
Dát 	guoská 	sihke guottuide , gálggaide ja máhttui . #ILL
Guovddážis dán oktavuođas lea danin makkár oainnut vuitet oahppoplánas mii 	guoská 	oaidnui liktadusa , máhtu , oahppama ja oahpahusa hárrái ja velá olmmoš- ja servodatoainnu . #ILL
Juo 80-logu loahpas sáhtii oaidnit man guvlui lei manname , nugo Gundem čálii 1990 : « Også skolen er Dán lean čállán Gundem , 1990 , vuođul , s. 52 « máhttu buorre muddui ipmirduvvui gárvves diehtun mii galggai sirdojuvvot ohppiide » Hiim & Hippe , 1993 , s. 127 157 Tangerud , 1980 , Hiim & Hippe , 1993 , s. 123 158 Gundem , 1990 , s. 37 159 « Lagas oktavuohta skuvlla ja servodaga gaskkas govviduvvo eahpenjuolga dainna ahte vihtta kapihtala , guokteloginjeallji kapihttalis , fágaplanaoasis 	guoská 	oahpahussii čadnon čearddalaš ja gielalaš unnitloguide norgga servodagas . #ILL Sem/Edu
Vuođđoskuvllas dát 	guoská 	Gaska-Romssa sámeskuvlii ja guovtti lullisámeskuvlii ; Aarbortes ( Hattfjelldal ) ja Snåases . #ILL Sem/Org
Dát 	guoská 	vuosttažettiin vuođđoskuvlii , masa leat ráhkaduvvon sámi oahppoplánat Sámi olgobiras lea dehálaš oassi sámi mánáidgárddis ja mat gustojit buot ohppiide sámegiela háldda- skuvllas . #ILL Sem/Org
Dássi 4 	guoská 	dábálaš dáža oahpahusa sisdollui . #ILL Sem/Abstr-mass
Dát 	guoská 	buot oahpahusplánema dásiide ; fága- ja diibmojuohkimii , oahppoplánaide ja oahppogirjjiid ráhkadeapmái , skuvlavisttiid huksemiidda , oahpaheaddjivirggiid almmuheapmái ja oahpaheaddji beaivválaš deaivvadeapmái ohppiiguin . #ILL Sem/Plc-abstr
Kultuvra 	guoská 	maiddái ohppiid ja oahpaheddjiid gaskasaš ovttasdoaibmanvugiide . #ILL Sem/Prod
Sisdoallu Skuvlla sámi sisdoallu sáhttá prinsihpalaččat boahtit ovdan iešguđetge dásiin : • sámi suorggit ( omd. boazodoallo ja duodji ) • sámi fágat ( suorgefága // válljenfága muđui našuvnnalaš suorggis , omd. oahppoplána sámi kulturmáhttu joatkkaskuvllas ) • sámi oahppoplánat ( sierra oahppoplánat fágain mat juo gávdnojit našuvnnalaš dásis , omd. luonddufága , musihkka , dearvvašvuohta- ja sosialfága ) • sámi oahppogirjjit ja eará oahpponeavvut • sámi fáttát našuvnnalaš oahppoplánain ( 	guoská 	fágaide main ii leat sámi oahppoplána ja ohppide geat eai čuovo erenoamáš sámi oahppoplána fágas ) • álgga ovttaskaš skuvlahálddahusas , ossodagas // fágasekšuvnnas , oahpaheaddjijoavkkus ja oktagaslaš oahpaheaddjis , oahppoplána doarjagiin dahje doarjaga haga . #ILL Sem/Edu
1997 mearridii Stuoradiggi ahte oahpahusgirji ii galgan 	guoskat 	oppalašfágalaš suorgái . #ILL Sem/Plc-abstr
Galggai go dušše 	guoskat 	sámegielat mánáidgárddiide , dahje maiddái mánáidgárddiide main lea sámi ulbmil , muhto gos mánát leat dárogielagat ? #ILL Sem/Org Sem/Build
Digaštallan 	guoskkai 	eanemusat vuoigatvuhtii oažžut oahpahusa sámegielas ja sámegillii ja man stuora váldi Sámedikkis galggai leat oahpahusgažaldagain . #ILL Sem/Feat-soc
Sámi joatkkaskuvllaid stivra moittii guláskuddancelkámušastis ulbmilparagráfa oktasaš máhtto- , kultur- ja árvovuođu birra ja bivddii ahte celkojuvvo « Samisk språk , kultur og verdisyn skal danne grunnlag for opplæringen av samer».208 Stivra evttohii maiddái : « Elevene ved de samiske videregående skolene skal ha rett å få sin opplæring på samisk.»209 Sámediggi bivddii oažžut válddi gažaldagain mat 	gusket 	sámi oahppoplánaide ja sámi oahpahusa viiddisvuhtii . #ILL Sem/Prod-cogn
Sámediggi háliidii vuosttažettiin ahte sámi oahppoplánat galge 	guoskat 	buot sámi 10-jagáš vuođđoskuvlla sámi oahppoplána lea dehálaš ohppiide Norggas . #?
Go ipmirdedje ahte ii lean vejolaš oažžut eiseválddiid dokumeanta , muhto man dohkkehit dan , sii evttohedje ahte oahppoplánat galge 	guoskat 	buot hálddamuddui das lea sámi sisdoallu ? #ILL Sem/Time
Dát 	guoská 	maiddái ohppiide erenoamáš sámi biiriin , mat leat vuođđoduvvon vuođđoskuvlalága §3 nr. 5 goalmmát lađđasa mielde . #ILL Sem/Hum
Seammás sáhttá oaidnit vissis váikkuhusa eará didáktalaš hálttiin mii 	guoská 	bargovugiide . #ILL
Dalle go sámi joatkkaskuvllat ja Sámi oahpahusráđđi fuomášedje ahte árvvoštallan lei jođus , muhto ii 	guoskan 	sidjiide , gáibidedje sierra árvvoštallama Ođastus 94 ja sámi oahpahusa birra . #ILL Sem/Hum
1993 oppalaš oahppoplána 	guoskkai 	maiddái rávesolbmuidoahpahussii , ja 1994 joatkkaoahpahusa oahppoplánat galge maiddái geavahuvvot dán dási rávesolbmuidoahpahusa várás . #ILL Sem/Edu
Guorahallamis NOU 1997:25 , Ny kompetanse , gávdno sátni golmma geardde , buot 	gusket 	vuođđoskuvlaoahpahussii rávesolbmuid várás . #ILL Sem/Edu
GOD áigu geavahit oppalaš doaimmaid mat 	gusket 	sámiide dan muddui go sis lea vuollegis oahppu , ii ge dan dihte go sii leat sámit . #ILL Sem/Hum
Stuorámus rievdadus maid Hille-Valla-lávdegoddi evttohii 	guoskkai 	fidnofágaoahpaheaddjioahppui . #ILL Sem/Edu
Dát 	guoská 	omd. fágaide psykologiija , dárogiella ja guolástusfága . #ILL Sem/Edu
Muhto allaskuvllaide galgá dát 	guoskat 	dušše oanehat oahpuide , ja Sámi allaskuvla ii sáhte vel álggahit plánejuvvon 3-jagáš fálaldagaid departemeantta dohkkeheami haga . #ILL Sem/Edu
Dat 	guoská 	sihke oahppoorganisašuvnnaide ja fitnodagaide . #ILL Sem/Org
Go eiseválddit leat mearridan áššiid mat čielgasit ja erenoamážit 	gusket 	sámi oahpahussii , leat dat iešalddis dávjá nannen sámegiela ja sámi kultuvra . #ILL Sem/Edu
Dát 	guoskkai 	erenoamážit ođastusaide maid Gudmund Hernes jođihii . #ILL Sem/Act
Plánejuvvon instituhta doaibmama vuođđun lea máŋggagielalašvuohta ja - kultuvrralašvuohta , mas guovddáš deaddu lea sámegielas ja báikkálaš sámekultuvrras ja daidda 	guoski 	dutkamušas ja dáidagis . #ILL 
Mii 	guoská 	álbmoga ja vehádaga meroštallamii , dat guoská maid álgoálbmoga meroštallamii . #ILL Sem/Act
Mii guoská álbmoga ja vehádaga meroštallamii , dat 	guoská 	maid álgoálbmoga meroštallamii . #ILL Sem/Act
Vuosttas mandáhtta lea gulaskuddat dáhpáhusaid birra mat 	gusket 	álgoálbmogiid olmmošvuoigatvuođaide riikkadásis , guovlludásis dahje riikkaidgaskasaš dásis . #ILL Sem/Feat-soc
Nuppi oassi Young dulkomis 	guoská 	domineremii . #ILL Sem/Act
Muhto álgoálbmogat , geain leat máŋggalagan gaskavuođat eará álbmogiidda , eai maid sáhte mearridit okto áššiin mat vejolaččat 	gusket 	earáide . #ILL Sem/Hum
Jagis 1968:s dohkkehuvvojedje ođđa njuolggadusat mat 	guske 	NGO:aid konsultatiiva sajádahkii . #ILL
Erenoamážit 	guoská 	dát fáttá áddejupmái ja maiddái karakteraid jurddašeami ektui girjjálašvuođas , ja mu barggu ektui . #ILL Sem/Prod-cogn
Son oinnii dárbbu dakkár kritihkkii mii 	guoskkai 	Davvi-Amerihká #?
Persovnna dulkomis lean deattuhan gažaldagaid mat 	gusket 	makkár doaimmat persovnnas lea teavsttas , ja man láhkai dát doaimmat čájehit persovnna prošeaktaárvvu . #FS
Dan dihte in sáhte váldit mielde buot osiid mat 	gusket 	metodalanja dulkonmodellii , muhto lean ferten válljet makkár osiide čiekŋudan mu dulkoma ektui . #ILL Sem/Prod-cogn
Seammá čájehuvvo go Heaika ieš lea guossis , jus sus jerret persovnnalaš gažaldagaid mat 	gusket 	su ovddežii de eai boađe gažaldagaide vástádusat . #ovddežii?? Sem/Hum
Dego duohta máilmmis de leat álohii muhtomat geat šaddet dan dillái ahte jugešvuođa bokte vigget dikšut iežaset bákčasiid , dát ii 	guoskka 	dušše sámi álbmogii , juohke servodagas leat muhtomat geat gahččet olggobeallai servodaga buori beali ja vigget de oažžut dorvvu juhkama bokte .
Sii ledje álo eallán ná , buot dagai sidjiide loahpa loahpas ovtta , mii ii njuolgga 	guoskan 	sin beaivválaš eallimii . #ILL Sem/Hum #ILL Sem/Act
Ja lea maiddái fáddá mii lea 	guoskan 	ollu olbmuide , ja báhccán bahča muitun mánnávuođas . #ILL Sem/Hum
Fágabargit ja diibmooahpaheaddjit geain lea váldoovddasvástádus fágii árvvoštallat studeanttaid dohkálašvuođa , hárjehallan- ja eará ráporttaid mat 	gusket 	árvvoštallamiidda , ráhkadit eksámenbihtáid sihke vuosttaš ja máŋiduvvon eksámeniidda ja árvvoštallet geatnogahtton bargguid ja eksámenvástádusaid . #ILL Sem/Act
Allaskuvla čuovvu dábálaš ortenga mii muđui lea stahtas dasa mii 	guoská 	čoahkkináigái ja ráhkkaneapmái . #ILL Sem/Time #ILL Sem/Act
Dás áiggun geahččat muhtun beliid Gáivuona gielladilis mat 	gusket 	mu materiálaid analiisii . #ILL Sem/Prod-cogn
Servodatdásis lea guovddáš fáktor ahte vehádatjoavkkus lea iešmearridanváldi áššiin mat 	gusket 	jovkui , ja maid ahte joavkku kultuvrralaš iešvuođat bohtet bures ovdan . #ILL Sem/Hum
Bajábeal sojahanminsttar 	guoská 	eanaš davvisámegiela bárrastávval substantiivvaide . #ILL Sem/Cat
Dát 	guoská 	erenoamážit vearbbaide . #ILL Sem/Cat
muhto dát ii 	guoskka 	nu gallii sátnái go lea oalle hárve ahte bárrastávvalsániin ii leat dássemolsašupmi . #ILL Sem/Cat
Morfologiija lea ollislaš vuogadat , ja jus juoga rievdá ovtta sajis , de dat 	guoská 	vuogadaga eará osiide . #ILL Sem/Part
Nubbi ii leat nu dábálaš go 	guoská 	dušše bárrastávvalmádda-giidda main ii leat dássemolsašuddan , ja essiivvas ja lokatiivvas lea nu goappatlágan doaibma ahte ii nu álkit dagat gulahallanváttisvuođaid . #ILL
Nubbi homonymiija 	guoská 	dušše i-mádda-giidda , muhto dat dahket su. 40 % bárrastávvalmáddagiin , nu ahte vejolaš homonymiija dáhpáhuvvá oalle dávjá . #ILL Sem/Cat
Vaikko dát homonymiija 	guoská 	gait bárrastávvalsubstantiivvaide , de ii dattetge čuoza gulahallamii seammá olu go lokatiivva ovttaidlogu // máŋggaidlogu homonymiija , danne go akkusatiivva // genetiivvas ja lokatiivvas lea áibbas goappatlágan doaibma cealkagis , ja dan dihte go oamastangeažus geavahuvvo eanaš olbmuid oktavuođas , nugo So válddii nieiddas mielde Ivgumuotkái . #ILL Sem/Cat
Dát 	guoská 	dutnje gii oainnát TV anteanna bokte . #ILL Sem/Hum
Rievdadusat 	gusket 	dutnje gii oainnát TV:a dábálaš anteanna bokte . #ILL Sem/Hum
Dát 	guoská 	dutnje gii oainnát TV anteanna bokte . #ILL Sem/Hum
Rievdadusat 	gusket 	dutnje gii oainnát TV:a dábálaš anteanna bokte . #ILL Sem/Hum
Rievdadusat 	gusket 	dutnje gii oainnát TV:a dábálaš anteanna bokte . #ILL Sem/Hum
Dát 	guoská 	dutnje gii oainnát TV anteanna bokte . #ILL Sem/Hum
Danne ii galggašii leat dárbu oahppat eará go ovttalágan preassaetihkalaš njuolggadusaid mat 	gusket 	buot máilmmi journalisttaide . #ILL Sem/Hum
Lávdegoddi sáhttá maid árvvoštallat váidalusaid mat 	gusket 	dasa mo preassa ja preassaolbmot iežaset barggu doaimmaheames leat gieđahallan ásahusaid , organisašuvnnaid ja olbmuid . #ILL
Norgga Preassalihtu váldočálli sáhttá iežas álgagis dáhttut lávdegotti gieđahallat áššiid main lea stuorra prinsihpalaš mearkkašupmi , dahje ášši mas lea vuoiggatlaš veahkehit dan dahje daid geaidda ášši 	guoská 	. #ILL Sem/Hum
Juohkehaš sáhttá váidalit jos háliida ahte Almmussáni Ráđđi meannuda ášši mii 	guoská 	buori journalisttalaš virrui dahje cealkin- dahje almmuhanluđolaš-vuhtii . #ILL Sem/Act
Jos váidalus 	guoská 	interneahttaalmmuheapmái , de galggašii čállit www-siiddu čujuhusa . #ILL Sem/Act
Váidalus 	guoská 	unnimus ovtta fidnonjuolggadussii #ILL Sem/Conv
Leage Várrogas-plakáhta 4.14. čuokkis : ” Boasttu dieđuid galgá njulget , ja vejolaččat šállošit nu fargga go vejolaš ” 	guoská 	dieđusge maid interneahttaalmmuhemiide . #ILL Sem/Act
Artihkkala maid lea divvon dahje man šállošeapmi 	guoská 	áššiide mat eai leat nu duođalaččat , galgá merkejuvvot nu ahte boahtá ovdan makkár dieđut leat leamaš boastut ja mo daid lea divvon dahje šallošan . #ILL Sem/Hum
Dát gáibádus ii 	guoskka 	binnánaš rievdadusaide mat dahkkojit oassin interneahttaalmmuheami dábálaš ođasmahttimis . #ILL Sem/Act
Jos cealkámuš 	guoská 	áššái mas lea mieđihuvvon anonymitehtta áššemeannudeamis , de galgá sirdit buot veršuvnnaid artihkkalis giddejuvvon báikái gosa almmolašvuohta ii beasa . #ILL Sem/Abstr-count
Dát 	guoská 	sániide ja dajaldagaide mat sáhttet jáhkihit ahte ášši lea mearriduvvon ovdalgo ášši lea leamaš dikki ovdii , namma- ja govvageavaheapmái ja eará dieđuide maid dihte sáhttá dovddusindahkat olbmuid geaidda politiijat leat beroštuvvon ja man láhkai galggašii vuhtiiváldit rihkusdaguid gillájeaddjiid . #ILL Sem/Cat #ILL Sem/Prod-ling
Dat ahte dovddus olmmoš lea seaguhuvvon ráŋggáštanveara áššiide ii mearkkaš dalánaga ahte preassaetihkalaš eavttut mat 	gusket 	almmolaš olbmuide , leat fámus . #ILL Sem/Hum
Journalisttalaš rávvagat 	gusket 	buot journalisttalaš bargguide beroškeahttá gaskaoamis . #ILL Sem/Act
Buori virrui gullá maid , ahte journalista dovdá dehalamos lágaid , láhkaásahusaid , riikkaidgaskasaš soahpamušaid ja mearráduscealkámušaid , mat 	gusket 	su bargui . #ILL Sem/Act
Seammá 	guoská 	maid olbmui , gii gaskaoamis geavaha nammamearkka dahje suollemas nama . #ILL Sem/Hum
Almmut vuorddekeahttá Preassa Almmusvuođalávdegoddi cealkámuša jus dat 	guoská 	iežas áviisii . #ILL Sem/Org Sem/Txt
Leage hui várrogaš čállit iešsoardimiid ja iešsoardin-geahččalemiid birra earenomažit dan ektui geasa 	guoská 	ja ovdabealde namuhuvvon ášši priváhta eallima birra .
Dat mii dáid njuolggadusain čállojuvvo 	guoská 	maiddai govaide . #ILL Sem/Prod-vis
Dát 	guoská 	maid govaide mat galget govvavuorkái .
Ale alccat dehe earáide ávkin geavat ii almmuhuvvon ođđasiid , mat 	gusket 	ekonomalaš áššiide dehe áigumušaide stáhtas , suohkaniin , organisašuvnnain , fitnodagain dehe ovttaskas olbmuin . #ILL Sem/Abstr-count
Doahttal dahkkivuoigatvuođa go 	guoská 	tekstii , govaide ja jitnii . #ILL Sem/Txt
Almmut vuorddekeahttá Preassa Almmusvuođalávdegoddi cealkámuša jus dat 	guoská 	iežas áviisi . #ILL Sem/Org Sem/Txt
Leage hui várrogaš čállit iešsoardimiid ja iešsoardin-geahččalemiid birra earenomažit dan ektui geasa 	guoská 	ja ovdabealde namuhuvvon ášši priváhta eallima birra . #ILL Sem/Hum
Dat mii dáid njuolggadusain čállojuvvo 	guoská 	maiddai govaide . #ILL Sem/Prod-vis
Dát 	guoská 	maid govaide mat galget govvavuorkái . #ILL Sem/Prod-vis
Journalista čuovvu iežas riikka lágaid , muhto dás mii 	guoská 	fitnolaš geatnegasvuođa ollašuhttimii , son dohkkeha duššefal iežas bargoguimmiid juridikšuvnna , hilgodettiin juohkelágan deaddima ja sisabáhkkema geahččaleamiid ráđđehusa dahje vaikko geange bealde . #ILL Sem/Act
Vaikke 1970- ja 1980-logus federála ráđđehusa ruhtajuolludeapmi álgoálbmogiidda 	guoski 	áššiide lassánii sakka , de liikká álgoálbmogiin lea ainge fuonimus sosio-ekonomalaš dilli mii guoská skuvlejumi , boađuid , barggu ja dearvvašvuođa . #ILL Sem/Hum
Vaikke 1970- ja 1980-logus federála ráđđehusa ruhtajuolludeapmi álgoálbmogiidda guoski áššiide lassánii sakka , de liikká álgoálbmogiin lea ainge fuonimus sosio-ekonomalaš dilli mii 	guoská 	skuvlejumi , boađuid , barggu ja dearvvašvuođa . #ILL Sem/Act #ILL Sem/Prod #ILL Sem/Act #ILL Sem/State
Dán oktavuođas lea maid miellagiddevaš ahte vaikke Locke deattuhii olbmuid vejolašvuođa háhkat opmodaga , de su mielas dát ii 	guoskán 	álgoálbmogiidda Amerihkás . #ILL Sem/Hum Sem/Group
Dat gullá maid dutkamii mii 	guoská 	sápmelaččaide . #ILL Sem/Hum
Dát 	guoská 	maiddái sámi dutkamii . #ILL Sem/Act
Mii 	guoská 	Davviriikkalaš dutkanovttasbargui , de lea Dutkanráđđi ovttasráđiid Sámedikkiin vuolggaheamen guorahallama geahčadit mo sáhtašii Norgga , Ruoŧa ja Suoma gaskkas álggahit oktasaš sámi dutkanlávdegotti . #ILL Sem/Act
Dán oktavuođas leat olu sámegielhástalusat : gávdnat dutkiid geain lea máhttu sámi diliin , bisuhit nana fága- ja dutkanbirrasiid , atnit ja čalmmustahttit sámegiela originálagiellan dutkamis , kártet ja duođaštit árbevirolaš máhtuid , vuohkkasit gaskkustit dutkanbohtosiid sidjiide geaid birra dutkamuš lea , dahje daidda joavkkuide geaidda dutkamuš 	guoská 	. #ILL Sem/Hum
Mii áigut riikkaidgaskasaččat leat gitta njunnošis das mii 	guoská 	dieđuid buorideapmái davviguovlluin , ja daid birra ja várás . #ILL Sem/Process
Norgga ja Ruošša suodjalussii 	guoski 	ovttasbargu lea maid dakkár ášši mii nanne oasálaččaid gaskasaš luohttámuša ja dáhttu gávdnat oktasaš čovdosiid váttisvuođaide . #ILL Sem/Act
Mii áigut bargat árjjálaččat buoridan dihte suodjalussii 	guoski 	gulahallama Ruoššain .
Norgga dutkanráđđi áigu jagi 2006 juolludit sullii 350 miljon ruvnno dutkamii mii njuolga 	guoská 	davviguovlluide . #ILL Sem/Act
Ruđat measta buot departemeanttain stivrejuvvojit dutkanráđi čađa davviguovlluide 	guoski 	dutkamii . #ILL Sem/Act
Ráđđehus áigu láhčit dilálašvuođaid , vai nannešii davviguovlluide 	guoski 	dutkama dutkanráđi bokte . #ILL Sem/Plc
Jođus lea rápmaeavttuid ja lágaid buoridanbargu mii 	guoská 	ekonomalaš ja diehtosuorggálaš vuoigatvuođaide daidda genehtalaš resurssaide mat lea ábis ja mearrabotnis . #ILL Sem/Feat-soc
