Hegbom lei hui duhtavaš ja 	giitevaš 	su bargguin . 
Lean agibeaivve 	giitevaš 	dasa , muitala son . 
Lea hui suorggahahtti , lohká Somby gii lea hui 	giitevaš 	Gollegillii . 
– Šaddá gal veaháš vuovdna maid , lohká Marita gii lea hui 	giitevaš 	sidjiide geat áigot su jienastit otná eahkeda Idola semi-finálas , mas jáhkkimis leat máŋgačuođi duháha geahčči . 
Lean nu 	giitevaš 	iežan lágádussii dál
Dus leat olu áŋgiris jurdagat ja doaimmat , ja leat hui 	giitevaš 	eallimiin dál . 
Mun dáiddán álo leat hui 	giitevaš 	didjiide . 
– Šaddá gal veaháš vuovdna maid , lohká Marita gii lea hui 	giitevaš 	sidjiide geat áigot su jienastit otná eahkeda Idola semi-finálas , mas jáhkkimis leat máŋgačuođi duháha geahčči . 
Muhto Sámedikki presideanta ii loga dárbbašit dan dihte leat 	giitevaš 	stáhtii . 
Sydänlapset ja - aikuiset ry searvvi beaivválaš jođiheaddji Katja Laine lea 	giitevaš 	, ahte sin searvi válljejuvvui buorredagolašvuođabargui . 
– Lean 	giitevaš 	čuohpadussii , lean sáhttán dan maŋŋá eallit dearvvaslaččat . 
Earret eará lea son hirbmat 	giitevaš 	olbmuide geat oasálaste « Linjjá al máŋimus stolpui » dokumeantáras . 
Lean hui 	giitevaš 	sutnje .
Mun lean ilus ja 	giitevaš 	ahte diekkár veahkaválddalašvuođat man čađa mun lean leamaš eai leat lobálaččat otne , ja ahte erenoamášskuvllat eai gávdno šat .
Rosie lohká iežas giitevažžan buot 	daid artisttaide 	geat leat guoimmuhan , sidjiide geat leat lávddi duohkin ja kaféas bargan , fitnodagat mat lea dorjon , Kárášjoga gildii ja Kárášjoga álbmogii geat leat dorjon ja čájehan beroštumi Haiti álbmogii . 
