# Distributed under the terms of the GNU General Public License version 2 
# or any later version.
# 
# speller-regressions.txt
# This file contains example pairs of known speller bugs. It follows the
# same pattern as the src/typos.txt files, ie error and correction separated
# by a <tab> character:
# error<tab>correction
# Furthermore, this file contains correct entries that should be accepted
# as is - their format is:
# correct<tab>
# ie the correct word followed by a <tab> char, followed by new-line.
# 
# The file should be extended with examples of all known bugs we have fixed,
# and can be used to ensure that we don't brake any old fixes in new releases.
# Also problematic patterns not yet properly handled should get test pairs here.
# 
# It is possible, and encouraged, to add a comment with the relevant bug ID
# after each (group of) test case. Comments start with <tab>! or <tab>#. If
# you start a comment with a bug ID, it will ensure that all test pairs
# belonging to one bug is grouped together in the test report.
# 
# For maintenance reasons, and to easier ensure that all bugs are covered by
# both negative and positive tests, all test pairs are sorted according to bug
# number, and test pairs without a bug number in the beginning. Please add new
# test pairs at the proper location (usually at the end of the document).
# 
# Format summary:
# 
# error<tab>correction<tab># comment
# correct<tab><tab>! comment
# 
FN:ii	FN:i
EO:a	EO
váldorádji		#397 - comp with vowel shortening
váldouksa		#397 - comp with vowel shortening
giellaguolli		#397 - regular vowel comp
duottarguolli		#397 - regular cons comp
bárrastávvalsániin		#397 - 3-syll cons comp, act. 3-part comp
Guovdageainnu-láđđi	#397 - Name compounding
Guovdageaidnu-láđđi		#397 - Name compounding
Máŋgasat		#399 - missing numerals
máŋgasat		#399 - missing numerals
moaddásat		#399 - missing numerals
máŋga		#399 - missing numerals
moadde		#399 - missing numerals
miljovnna		#399 - missing numerals
golbma		#399 - missing numerals
guokte		#399 - missing numerals
okta		#399 - missing numerals
Finncomm		#400 - multiword names: Finncomm Airlines
Kohanga		#400 - multiword names: Finncomm Airlines
Reo		#400 - multiword names: Finncomm Airlines
bargo-,		#402 - word + hyph + comma
Bargo-,		#402 - word + hyph + comma
guldalan-,		#402 - word + hyph + comma
hupman-,		#402 - word + hyph + comma
julev-		#408 - NounRoot -> Rreal not in discont. comp
julevbárgodepartemeanta	julevbargodepartemeanta	#408 - NounRoot -> Rreal not in discont. comp
julevbargodepartemeanta		#408 - NounRoot -> Rreal not in discont. comp
boaittobealmuorra		#408 - NounRoot -> Rreal not in discont. comp
learretgaskaoapmi		#408 - NounRoot -> Rreal not in discont. comp
maŋŋegeašgálvu		#408 - NounRoot -> Rreal not in discont. comp
maŋŋegeaš-		#408 - NounRoot -> Rreal not in discont. comp
bahkkejeaddjit		#412 - missing derivation
garrasepmosit		#413 - adj -> adv
bargguitjuogadeapmi	bargguidjuogadeapmi	#414 - wrong compound form on -t
Máretgo		#415 - nominals with clitic not accepted
boahtágo		#415 - nominals with clitic not accepted
muorraguollenáhkki		#419 - 3-part compounds
gievrrasmuorra		#421 - adj-attr+noun
gievramuorra		#421 - adj-nom+noun
láikiriehpu		#421 - adj+noun compound
1983:s		#423 - infl. numerals not recognised
2004:s		#423 - infl. numerals not recognised
Fink		#424 - missing names
InDesign		#424 - missing names
Kaplan		#424 - missing names
Macintosh		#424 - missing names
OpenOffice.orgii		#424 - missing names
Gobby		#424 - missing names
Unicode		#424 - missing names
X:ii	X:i	#425 - other words from Divvun.no
X:i		#425 - other words from Divvun.no
BETA		#425 - other words from Divvun.no
PPC		#425 - other words from Divvun.no
Prográmmerárat	Programmerárat		#425 - other words from Divvun.no
alfaveršuvdna		#425 - other words from Divvun.no
diakritihkalaš		#425 - other words from Divvun.no
generatiivalaš		#425 - other words from Divvun.no
kompiláhtor		#425 - other words from Divvun.no
Helssetvuođđoduvvon	Helsset-vuođđuduvvon	#426 - comp words from Divvun.no
Romsaprošeavttat	Romsa-prošeavttat	#426 - comp words from Divvun.no
geavaheaddjiide	geavaheddjiide	#426 - comp words from Divvun.no
guoktedássásaš	guovttedássásaš	#426 - comp words from Divvun.no
loahpahandáhtomiin	loahpahandáhtoniin	#426 - comp words from Divvun.no
Geavaheaddjidokumentašuvdna		#426 - comp words from Divvun.no
Helsset-vuođđuduvvon		#426 - comp words from Divvun.no
Romsa-prošeavttat		#426 - comp words from Divvun.no
geavaheddjiide		#426 - comp words from Divvun.no
guovttedássásaš		#426 - comp words from Divvun.no
loahpahandáhtoniin		#426 - comp words from Divvun.no
Sátnejuohkin		#426 - comp words from Divvun.no
Unicode-doarjja		#426 - comp words from Divvun.no
Unicode-standárddas		#426 - comp words from Divvun.no
alfaveršuvdna		#426 - comp words from Divvun.no
entusiástajoavkku		#426 - comp words from Divvun.no
mašiidnakompiláhtora		#426 - comp words from Divvun.no
ođđasitčállinnjuolggadusaid		#426 - comp words from Divvun.no
sátnejuohkimis		#426 - comp words from Divvun.no
sátnejuohkin		#426 - comp words from Divvun.no
vuolleleksikonat		#426 - comp words from Divvun.no
čállindárkkistanprográmmaid		#426 - comp words from Divvun.no
čállindárkkistanprográmmat		#426 - comp words from Divvun.no
čállindárkkistanprošeavtta		#426 - comp words from Divvun.no
oidni	oinnii	#429 - missing suggestion
heajus-Oslo	heajos-Oslo	#431 - lowering in front of hyphen
álkis-Oslo	álkes-Oslo	#431 - lowering in front of hyphen
heajus-		#431 - lowering in front of hyphen
lojis-		#431 - lowering in front of hyphen
álkis-		#431 - lowering in front of hyphen
heajos-Oslo		#431 - lowering in front of hyphen
álkes-Oslo		#431 - lowering in front of hyphen
lojis-Oslo		#431 - adj attr+proper-noun, optional lowering
lojes-Oslo		#431 - adj attr+proper-noun, optional lowering
X		#435 - roman numerals missing
L		#435 - roman numerals missing
D		#435 - roman numerals missing
M		#435 - roman numerals missing
X:i		#435 - roman numerals missing
D:s		#435 - roman numerals missing
L:in		#435 - roman numerals missing
M:ide		#435 - roman numerals missing
IV		#435 - roman numerals missing
XII		#435 - roman numerals missing
XV:s		#435 - roman numerals missing
MXVII:i		#435 - roman numerals missing
Ánne		#445 - names beginning in Á
Ánná		#445 - names beginning in Á
Ánde		#445 - names beginning in Á
Áilu		#445 - names beginning in Á
Ámmon		#445 - names beginning in Á
Ávdnos		#445 - names beginning in Á
Ábo		#445 - names beginning in Á
SáMI	SÁMI	#448 - wrong sugg if mostly upper case
SÁMI		#448 - wrong sugg if mostly upper case
suopmasápmelaš	suomasápmelaš	#449 - suopmasápmelaš comps wrongly accepted
suomasápmelaš		#449 - suopmasápmelaš comps wrongly accepted
Sisasáddejuvvon		#451 - verb+noun, verb+verb
Gažadanskovvi		#451 - verb+noun, verb+verb
vástidanproseantage		#451 - verb+noun+clit
proseantage		#451 - noun+clit
goahtige		#451 - noun+clit
biilagen		#451 - noun+clit
biilagoahtigen		#451 - noun+noun+clit
feaskkerdohpige		#451 - noun+noun+clit
hárjehaddanmuorragen		#451 - verb+noun+clit
buvttadeaddjiide	buvttadeddjiide	#452 - several lexical bugs
ožžuin	oažžuin	#452 - several lexical bugs
vástideaddjiin	vástideddjiin	#452 - several lexical bugs
buvttadeddjiide		#452 - several lexical bugs
vástideddjiin		#452 - several lexical bugs
duodjeregisttarskovvi		#452 - several lexical bugs
boasttogáldu		#452 - several lexical bugs
iešdieđiheapmi		#452 - several lexical bugs
Länsmanis		#452 - several lexical bugs
agimieljuohkáseapmi		#452 - several lexical bugs
#nuvviid--	nuvviid-	#458 - double hyphens after some words - can really only be tested manually, the command line speller will ignore superfluous hyphens
#biila--	biila-	#458 - double hyphens after some words - can really only be tested manually, the command line speller will ignore superfluous hyphens
Distat	Disdat	#461 - missing suggestion
Eanadalii	Eandalii	#461 - missing suggestion
Eanadalit	Eandalii	#461 - SUBbed entry
Eandalit	Eandalii	#461 - SUBbed entry
Julis	Julius	#461 - missing suggestion
Odná	Otná	#461 - missing suggestion
bidju		#461 - missing suggestion
distat	disdat	#461 - missing suggestion
dohkkenit	dohkkehit	#461 - missing suggestion
dáguid	dáiguid	#461 - missing suggestion
dáhálaš	dehálaš	#461 - missing suggestion
guovlui	guvlui	#461 - missing suggestion
gádnat	gávdnat	#461 - missing suggestion
la	lea	#461 - missing suggestion
leal	leat	#461 - missing suggestion
leažžago	leažžágo	#461 - missing suggestion
li	lei	#461 - missing suggestion
láibbiit	láibbiid	#461 - missing suggestion
maddái	maiddái	#461 - missing suggestion
moht	mot	#461 - missing suggestion
molssašumi	molsašumi	#461 - missing suggestion
molssašupmi	molsašupmi	#461 - missing suggestion
muhtim	muhtin	#461 - missing suggestion
mutnos	munnos	#461 - missing suggestion
málmmi	máilmmi	#461 - missing suggestion
nuohtiin	nuhtiin	#461 - missing suggestion
ovda	ovdal	#461 - missing suggestion
ođđ	ođđa	#461 - missing suggestion
romáhat	románat	#461 - missing suggestion
ráði	ráđi	#461 - missing suggestion
suorggiin	surggiin	#461 - missing suggestion
viesot	visot	#461 - missing suggestion
vuhtui	vuhtii	#461 - missing suggestion
Disdat		#461 - missing suggestion
Eandalii		#461 - missing suggestion
Julius		#461 - missing suggestion
Otná		#461 - missing suggestion
biedju		#461 - missing suggestion
disdat		#461 - missing suggestion
dohkkehit		#461 - missing suggestion
dáiguid		#461 - missing suggestion
dehálaš		#461 - missing suggestion
guvlui		#461 - missing suggestion
gávdnat		#461 - missing suggestion
lea		#461 - missing suggestion
leat		#461 - missing suggestion
leažžágo		#461 - missing suggestion
lei		#461 - missing suggestion
láibbiid		#461 - missing suggestion
maiddái		#461 - missing suggestion
mot		#461 - missing suggestion
molsašumi		#461 - missing suggestion
molsašupmi		#461 - missing suggestion
muhtin		#461 - missing suggestion
munnos		#461 - missing suggestion
máilmmi		#461 - missing suggestion
nuhtiin		#461 - missing suggestion
ovdal		#461 - missing suggestion
ođđa		#461 - missing suggestion
románat		#461 - missing suggestion
ráđi		#461 - missing suggestion
surggiin		#461 - missing suggestion
sáhkkái		#461 - missing suggestion
visot		#461 - missing suggestion
vuhtii		#461 - missing suggestion
moktige		#461 - missing suggestion
moktiige		#461 - missing suggestion
olbmo		#461 - missing suggestion
olbmoš		#461 - missing suggestion
Áila		#484 - missing names
Áile		#484 - missing names
Áili		#484 - missing names
Áillohaš		#484 - missing names
Áillonieida		#484 - missing names
Áillun		#484 - missing names
juoidá		#486 - missing pronouns
juonin		#486 - missing pronouns
juosat		#486 - missing pronouns
juostá		#486 - missing pronouns
rátnubiellu	rátnobiellu	#489 - lack of stem vowel shortening
stohpuspiidni	stohpospiidni	#489 - lack of stem vowel shortening
niibispiidni	niibespiidni	#489 - lack of stem vowel shortening
ránubiellu	rátnobiellu	#489 - does not follow compound tags
niibbispiidni	niibespiidni	#489 - does not follow compound tags
balvvareaŋga	balvareaŋga	#489 - does not follow compound tags
rátnobiellu		#489 - does not follow compound tags
stohpospiidni		#489 - does not follow compound tags
niibespiidni		#489 - does not follow compound tags
balvareaŋga		#489 - does not follow compound tags
bálddis-		#489 - does not follow vowel shortening
suoluboazu	suoloboazu	#489 - does not follow vowel shortening
boazu-		#489 - does not follow vowel shortening
bálggis-		#489 - does not follow vowel shortening
deaččalakkis-		#489 - does not follow vowel shortening
ráhtis-		#489 - does not follow vowel shortening
doaris-		#489 - does not follow vowel shortening
mális-		#489 - does not follow vowel shortening
goahti-		#489 - does not follow vowel shortening
oapmi-		#489 - does not follow vowel shortening
bákti-		#489 - does not follow vowel shortening
beaivi-		#489 - does not follow vowel shortening
loddi-		#489 - does not follow vowel shortening
čuru-		#489 - does not follow vowel shortening
seamu-		#489 - does not follow vowel shortening
bálddes-		#489 - does not follow vowel shortening
boazo-		#489 - does not follow vowel shortening
bálgges-		#489 - does not follow vowel shortening
deaččalakkes-		#489 - does not follow vowel shortening
ráhtes-		#489 - does not follow vowel shortening
doares-		#489 - does not follow vowel shortening
máles-		#489 - does not follow vowel shortening
goahte-		#489 - does not follow vowel shortening
oapme-		#489 - does not follow vowel shortening
bákte-		#489 - does not follow vowel shortening
beaive-		#489 - does not follow vowel shortening
lodde-		#489 - does not follow vowel shortening
čuro-		#489 - does not follow vowel shortening
seamo-		#489 - does not follow vowel shortening
sámedikkepresideanta	sámediggepresideanta	#489 - does not follow compound tags
suoivvandikkesuola	suoivvandiggesuola	#489 - does not follow compound tags
dikkesuolohas		diggesuolohas		#489 - does not follow compound tags
válgadikkeolmmái	válgadiggeolmmái	#489 - does not follow compound tags
searvvepresideanta	searvepresideanta	#489 - does not follow compound tags
searvveprinseassa	searveprinseassa	#489 - does not follow compound tags
konfliktaráđepresideanta	konfliktaráđđepresideanta	#489 - does not follow compound tags
duollupresideanta	duollopresideanta	#489 - does not follow compound tags
duolluprinseassa	duolloprinseassa	#489 - does not follow compound tags
sámediggiprinseassa	sámediggeprinseassa	#489 - does not follow compound tags
Sámedikkeáirrasin	Sámediggeáirrasin	#489 - does not follow compound tags
Sámeálbmogiidsearvi		#489 - does not follow compound tags
Sámevuođahistorjá		#489 - does not follow compound tags
bargoolmmái		#489 - lack of stem vowel shortening
sámediggepresideanta		#489 - does not follow compound tags
sámemiššuvdnasearvepresideanta		#489 - does not follow compound tags
searvepresideanta		#489 - does not follow compound tags
searveprinseassa		#489 - does not follow compound tags
duollopresideanta		#489 - does not follow compound tags
duolloprinseassa		#489 - does not follow compound tags
sámediggeprinseassa		#489 - does not follow compound tags
konfliktaráđđepresideanta		#489 - does not follow compound tags
sámediggeáirrasin		#489 - does not follow compound tags
suoivvandiggesuola		#489 - does not follow compound tags
diggesuolohas		#489 - does not follow compound tags
válgadiggeolmmái		#489 - does not follow compound tags
bellodat		#499 - regressions
VG:aid	VG:id	#508 - accepts SUB entries
VG:at	VG:t	#508 - accepts SUB entries
VG:ii	VG:i	#508 - accepts SUB entries
1883s	1883:s	#508 - accepts SUB entries, 2007-06-26 speller test report
1883as	1883:s	#508 - accepts SUB entries
1883:as	1883:s	#508 - accepts SUB entries
2003as	2003:s	#508 - accepts SUB entries
2003:as	2003:s	#508 - 2003:as does not get marked
169:is	169:s	#508 - 169:is does not get marked
milljovnna	miljovnna	#508 - accepts SUB entries
1883:s		#508 - accepts SUB entries, 2007-06-26 speller test report
2003:s		#508 - 2003:as does not get marked
169:s		#508 - 169:is does not get marked
miljovnna		#508 - accepts SUB entries
VG:id		#508 - accepts SUB entries
VG:t		#508 - accepts SUB entries
VG:i		#508 - accepts SUB entries
stuorra-oslolaš	stuorraoslolaš	#518 - nominal + Prop/Der compound
stuorraOslolaš	stuorraoslolaš	#518 - nominal + Prop/Der compound
stuorra-Oslolaš	stuorraoslolaš	#518 - nominal + Prop/Der compound
Stuorra-oslolaš	Stuorraoslolaš	#518 - nominal + Prop/Der compound
StuorraOslolaš	Stuorraoslolaš	#518 - nominal + Prop/Der compound
Stuorra-Oslolaš	Stuorraoslolaš	#518 - nominal + Prop/Der compound
stuora-oslolaš	stuoraoslolaš	#518 - nominal + Prop/Der compound
stuoraOslolaš	stuoraoslolaš	#518 - nominal + Prop/Der compound
stuora-Oslolaš	stuoraoslolaš	#518 - nominal + Prop/Der compound
Stuora-oslolaš	Stuoraoslolaš	#518 - nominal + Prop/Der compound
StuoraOslolaš	Stuoraoslolaš	#518 - nominal + Prop/Der compound
Stuora-Oslolaš	Stuoraoslolaš	#518 - nominal + Prop/Der compound
stuor-oslolaš	stuoraoslolaš	#518 - nominal + Prop/Der compound
stuorOslolaš	stuoraoslolaš	#518 - nominal + Prop/Der compound
stuor-Oslolaš	stuoraoslolaš	#518 - nominal + Prop/Der compound
Stuor-oslolaš	Stuoraoslolaš	#518 - nominal + Prop/Der compound
StuorOslolaš	Stuoraoslolaš	#518 - nominal + Prop/Der compound
Stuor-Oslolaš	Stuoraoslolaš	#518 - nominal + Prop/Der compound
stuorraoslolaš		#518 - nominal + Prop/Der compound
Stuorraoslolaš		#518 - nominal + Prop/Der compound
stuoraoslolaš		#518 - nominal + Prop/Der compound
Stuoraoslolaš		#518 - nominal + Prop/Der compound
stuorra-guovdageainnut	stuorraguovdageainnut	#518 - nominal + Prop/Der compound
stuorraGuovdageainnut	stuorraguovdageainnut	#518 - nominal + Prop/Der compound
stuorra-Guovdageainnut	stuorraguovdageainnut	#518 - nominal + Prop/Der compound
Stuorra-guovdageainnut	Stuorraguovdageainnut	#518 - nominal + Prop/Der compound
StuorraGuovdageainnut	Stuorraguovdageainnut	#518 - nominal + Prop/Der compound
Stuorra-Guovdageainnut	Stuorraguovdageainnut	#518 - nominal + Prop/Der compound
stuora-guovdageainnut	stuoraguovdageainnut	#518 - nominal + Prop/Der compound
stuoraGuovdageainnut	stuoraguovdageainnut	#518 - nominal + Prop/Der compound
stuora-Guovdageainnut	stuoraguovdageainnut	#518 - nominal + Prop/Der compound
Stuora-guovdageainnut	Stuoraguovdageainnut	#518 - nominal + Prop/Der compound
StuoraGuovdageainnut	Stuoraguovdageainnut	#518 - nominal + Prop/Der compound
Stuora-Guovdageainnut	Stuoraguovdageainnut	#518 - nominal + Prop/Der compound
stuor-guovdageainnut	stuoraguovdageainnut	#518 - nominal + Prop/Der compound
stuorGuovdageainnut	stuoraguovdageainnut	#518 - nominal + Prop/Der compound
stuor-Guovdageainnut	stuoraguovdageainnut	#518 - nominal + Prop/Der compound
Stuor-guovdageainnut	Stuoraguovdageainnut	#518 - nominal + Prop/Der compound
StuorGuovdageainnut	Stuoraguovdageainnut	#518 - nominal + Prop/Der compound
Stuor-Guovdageainnut	Stuoraguovdageainnut	#518 - nominal + Prop/Der compound
stuorGuovdageainnut	Stuora-Guovdageainnut	#518 - nominal + Prop/Der compound
Stuoraguovdageainnut		#518 - nominal + Prop/Der compound
Stuorraguovdageainnut		#518 - nominal + Prop/Der compound
stuoraguovdageainnut		#518 - nominal + Prop/Der compound
stuorraguovdageainnut		#518 - nominal + Prop/Der compound
interr.		#520 - r9 and š9 not defined
bešš		#520 - r9 and š9 not defined
muorralastagieraolmmoš		#522 - strange compounding behaviour - 4-p, REJECTED
muorralastagiera		#522 - strange compounding behaviour - 3-p, ACCEPTED
gieraolmmoš		#522 - strange compounding behaviour - 2-p, ACCEPTED
lastagiera		#522 - strange compounding behaviour - 2-p, ACCEPTED
lastagieraolmmoš		#522 - strange compounding behaviour - 3-p, REJECTED
veahkkegoahtesilbageaidnu		#522 - strange compounding behaviour - 4-p, REJECTED
goahtesilbageaidnu		#522 - strange compounding behaviour - 3-p, ACCEPTED
silbageaidnu		#522 - strange compounding behaviour - 2-p, ACCEPTED
goahtesilba		#522 - strange compounding behaviour - 2-p, ACCEPTED
veahkkegoahtesilba		#522 - strange compounding behaviour - 3-p, REJECTED
muorralastagierraolmmoš		#522 - strange compounding behaviour - 4-p, ACCEPTED
hilbesrávdojávri		#524 - long compounds not accepted
geađgeviessoláse		#524 - long compounds not accepted
láibi-sánis		#525 - WONT FIX IN PLX nomin. + hyphen comp should never be suggested
šaddat-sánis		#525 - WONT FIX IN PLX  nomin. + hyphen comp should never be suggested
beatnagaš		#529 - diminutive of JOHTALAT words
bártnáš		#529 - diminutive of JOHTALAT words
nieiddaš		#529 - diminutive of JOHTALAT words
mánáš		#529 - diminutive of JOHTALAT words
olbmoš		#529 - diminutive of JOHTALAT words
biiggáš		#529 - diminutive of JOHTALAT words
erohusaš		#529 - diminutive of JOHTALAT words
gonagasaš		#529 - diminutive of JOHTALAT words
almmustusaš		#529 - diminutive of JOHTALAT words
beavddelokten		#535 - Left-compound-tags in sme-lex do not work
niibbidahkan		#535 - Left-compound-tags in sme-lex do not work
niibbidilli		#535 - Left-compound-tags in sme-lex do not work
niibbiplánen		#535 - Left-compound-tags in sme-lex do not work
čuovgaboahtin		#535 - Left-compound-tags in sme-lex do not work
lámpočuvggodeapmi		#535 - Left-compound-tags in sme-lex do not work
beavddeahki		#535 - Left-compound-tags in sme-lex do not work
bevddelokten	beavddelokten	#535 - Left-compound-tags in sme-lex do not work
nibbidahkan	niibbidahkan	#535 - Left-compound-tags in sme-lex do not work
niibbdilli	niibbidilli	#535 - Left-compound-tags in sme-lex do not work
nibbiplánen	niibbiplánen	#535 - Left-compound-tags in sme-lex do not work
bevddeahki beavddeahki	#535 - Left-compound-tags in sme-lex do not work
čuovggaboahtin	čuovgaboahtin	#535 - Left-compound-tags in sme-lex do not work
lámppučuvggodeapmi	lámpočuvggodeapmi	#535 - Left-compound-tags in sme-lex do not work
oktovuohtadovdu	oktovuođadovdu	#536 - speller accepts "impossible" compound-forms
hárjáneapmisáhka	hárjáneapmishal	#536 - speller accepts "impossible" compound-forms		
gárvodeapmimuorra	gárvodeabmimuorra	#536 - speller accepts "impossible" compound-forms
buoiddusteapmiveahkki	buoiddusteapmineaskka	#536 - speller accepts "impossible" compound-forms
suotnjaleapmiveahkki	suotnjaleapmaveahkki	#536 - speller accepts "impossible" compound-forms
geažideapmigárvu	geažideapmi-5-Gárvu	#536 - speller accepts "impossible" compound-forms
giddesteapmisággi	giddesdeabmisággi	#536 - speller accepts "impossible" compound-forms
sákkasteapmifierbmi	sákkasdeabmifierbmi	#536 - speller accepts "impossible" compound-forms
lonuheapmibiila	loguheamibiila	#536 - speller accepts "impossible" compound-forms
luondugáldu	luonddugáldu	#536 - speller accepts "impossible" compound-forms
oktovuođadovdu		#536 - speller accepts "impossible" compound-forms
bastilvuođadovdu		#536 - WONT FIX IN PLX speller accepts "impossible" compound-forms
hárjánansáhka		#536 - speller accepts "impossible" compound-forms		
gárvodanmuorra		#536 - speller accepts "impossible" compound-forms
buoiddustanveahkki		#536 - speller accepts "impossible" compound-forms
suotnjalanveahkki		#536 - speller accepts "impossible" compound-forms
geažidangárvu		#536 - speller accepts "impossible" compound-forms
giddestansággi		#536 - speller accepts "impossible" compound-forms
sákkastanfierbmi		#536 - speller accepts "impossible" compound-forms
lonuhanbiila		#536 - speller accepts "impossible" compound-forms
luonddugáldu		#536 - speller accepts "impossible" compound-forms
muorraguorra		#539 - speller does not follow compound-tagging
muoraidguorra		#539 - speller does not follow compound-tagging
