	## Prospero lea herttot Milanos Itálias, muhto rivvehallá vieljastis válddi.
    #$ Das maid ferte muitit ahte ii okta ge leat vuos dubmehallan áššis , vaikke politiijat várohit čáhcelottiid báhččon lobiheamet .
    #$ Ášševuložat dubmehalle vuollerievttis máksit sierradivada , muhto áššehuvve stáhta gáibádusas golggotmánu 25. b. 1869 alitrievtti duomus .
    #$ Nilsen lohká rivgu soaitit biddjot eret Norggas , iige son oaččoše visuma šat muhtin áigái jos dubmehalašii áššis .
    #$ Poršáŋgulaš 30-jagiin lea dubmehallan gárrenvuođas vuodján biillain .
    #$ Dubmehallan dievddus lei badjel guokte promilla .
    #$ Dakka maŋŋá dagai dan seamma Robin Lillebo gii dubmehalai gielddarievttis goddán áhči .
    #$ Dán deađalaš mearrádusas , mii lea surgehan máilmmi oljoindustriija , celkkii váidalanduopmostuollu maiddái ahte , jus ChevronTexaco dubmehallá Ecuadoras , de galgá maiddái USA giehtaguššat ja čađahit duomu .
    #$ Dat njealljis geat siktejuvvo hallikdoaimmaid jođihan , besse diggegodderievttis ( Sárá Máret : tingretten ) , muhto dubmehalle lágamánnerievttis .
    #$ Ráđđeláhttu Johan Mikkel Sara biehttala iežas leat homofoban vaikko moadde jagi dás ovdal dubmehalai rievttis go bálkestii pizza ovtta homofiila maŋŋái .
    #$ Dubmehalle rasismmas Rigoberta Menchu vuostá.
    #$ Dát lei sullii seammá áiggi go son dubmehalai rohcošanáššis .
    #$ Sii geat leat dubmehallan juoigamis , galggaše doalahuvvot eret juoiganbirrasiin , ja NRK Sámi Radio ferte dieđusge váldit ovddasvástádusa ja gieldit luođi kanálas .
    #$ Guovdageaidnulaš boazodoalli ii dubmehallan lágamánnerievttis elliidbiinnideaddjin vaikke lea čatnan bohccuid skuhterii gitta ovdal báhčá daid jámas salongbissuin moatti mehtera duohken .
    #$ Dubmehalai Deanus njeaidit vihtta vistti iežas eatnamis.
    #$ Ovdalgo riekti giddii ášši , de hálidii áššásskuhtton olmmái vel muittuhit riektái , ahte lea son ii leat mihkkege bivdoolbmáid ja , ahte lea ártet jus son dubmehallá bivddus , maid ii leat dahkan .
	#$ Sámi álbmot, earenoamážit boazodoallu lea hirbmadit cuiggohallan dáža mediain go mahkká billistit luonddu.
	#$ Máŋŋá Siv Jensen garrasit rissehalai medias.
	#$ Jakobsen vuoittáhalai Álttá Gielddarievttis, muhto guoddalii ášši.
	#$ Unnimus vejolaš vuoittáhalai Sámeálbmot Bellodat áššis Kárášjoga gielddastivrras dainna Sámi eanahálddašeami evttohusain.
	#$ Mannan vahkkus dat čájehalai Sáme Rádios Lars Sponheim vuoimmi boazodolliid vuostá.
	#$ Dan geažil dubmehalai son Deanu ja Várjjat diggerievttis 1985:s njeaidit dan vihtta bartta ja máksit 18000,- ruvnno sáhku.
	#$ Politiijat lea sáhkkohan 60 duhát ruvnnuin duiskalačča, gii mannan vahkku gávnnahalai Gáregasnjárgga duollus suoli fievrrideamen lottimoniid ja -čivggaid Norggas Supmii.
	#$ Boazodoallostivrra nubbejođiheaddji Jarle Jonnasen lohká loguid mearriduvvon, muhto ii dieđe man bures Boazodoallohálddahus gulahalai boazosápmelaččain.
	#$ Boarrasit viellja vuoittahalai sihke gielddarievttis, lágamánnirievttis ja alimus rievtti guoddalanlávdegoddi maiddái hilggui ášši
	#$ Olmmái 50-jagiin dubmehalai 30 beaivái giddagassii Sis-Finnmárkku diggegottis go lea cábmán iežas ovdalaš ovttasássi.
	#$ Álttá gielddarievttis vuoittáhalai stáda, muhto guoddalii ášši.
	#$ Vuoittáhalai NSR:s, manai SAB:i.
	#$ Diibma geasset válddahalai okta duiskalaš Gáregasnjárgga duollus fievrrideame 125 moni ja 17 loddečivgga maid lei Finnmárkkus rievidan.
	#$ Son nákkáhalai doavttergrádas miessemánus Oslos universitehtas.
	#$ Dán vuoru jearahalai okta nieida gažaldagaid golmma bártnis.
	#$ Su áhčči, geasa lea gáibmin, čievččai moaddelogi jagi Guovdageainnu A-joavkkus, Sámi Riikajoavkkus ja hárjehalai ovtta gaskka Romssa joavkkuin.
	#$ Store Jakobsen vuoittáhalai dálvet gielddarievttis.
	#$ Lei buorre geargat, dajai Boine ja mojohalai gilvvu iežas kollegain das kulissain.
	#$ Skáiddeduottar siida Oarje-Finnmárkkus vuoittáhalai buot čuoggáin Hammerfeastta gielddarievttis go ledje gáibidan 5 miljovnna ruvnnno buhtadusa Fálesnuori gielddas, go leat massán guohtoneatnamiid Riehponávžžis, bártahuksemiid geažil.
	#$ Gevrehalai Sámedikkis.
	#$ Gieskat dubmehalai Várjjat- ja Deanu gielddarievttis 21 beaivái giddagassii.
	#$ Gevrehalai GLR:s.
	#$ Muittuhan beare ahte Sámediggi gieskat rabai ođđa Interneahttabálvalusa, ja ahte Sámediggi miessemánu dievasčoahkkimis gieđahalai Sámedikki gulahallan- ja bálvalanpolitihka.
	#$ Muhto Muosát gielda vuoittáhalai gielddarievttis Finnmárkku fylkkagildii.
	#$ Muđui ii háliit son vel kommenteret šaddá go dát ášši seamma duođalaš go Sáččá-ášši lea, gos Ingebrigt Pedersen lihcohalai NSR:s.
	#$ Eira ja Anti bures muitiba Rio Tinto Zink ruvkefitnodaga mii finadii Kárášjogas 1990-logus, muhto mii masá seammás bijahalai eret Kárášjogas sihke Sámedikkis ja gielddas.
	#$ Gieskat dubmehalai porsáŋgulaš 30 jagiin juhkanvuođas vuodján biillain.
	#$ Sámi riikkajoavkku jođiheaddji Svein Ole Sandvik gohčohalai Sámi faláštallan stivrras čielggadančoahkkimii ievttá eahkeda.” ????????????
	#$ Dakka maŋŋá dagai dan seamma Robin Lillebo gii dubmehalai gielddarievttis goddán áhči.
	#$ Maŋit iđit Heaika lei juo mátkkiid alde, čohkohalai Nillá biillas.
	#$ Váhkarbárdni jaskkodii, áhčiinis son hárve nárrohalai nugo lávii nu dávjá etniinis.
	#$ Ii lean guhkáge, go son juo čohkohalai boares poastabiillas Ándde-Márggeha bálddas.
	#$ Dalle Herodes gohčui suoli viisáid lusas ja jearahalai sis áiggi goas násti lei ihtán.
	#$ Son lei čohkkámin oahpaheddjiid gaskkas, guldalii sin ja jearahalai sis.
	#$ Foosnæs lei báinnahallan álbmotallaskuvllas nuorravuođastis ja šattai 1897:s Sámekommišuvnna.
    #$ Sátnejođiheaddji Åge B. Pedersen lea beahtahallan áššis , go ii Gáivuona suohkan iige guovlluráđđi leat ožžon makkárge vástádusa fylkkasuohkanis go leat jearahallan AMO visttiid birra 
	#$ Johttisámiid Listtu gielddastivrra áirras Álet-Ristina Máret // Máret Sárá dovdá beahtahallan gielddastivračoahkkimis go ášši ii váldon ovdan .
	#$ Vaikko son ii liiko veardidit ná muhto lohká eanemus beahtahallan Narvikas.
    #$ Dán vahkku lea buoremus várjalit iežat vai it beahtahala ráhkisvuođadilis .
    #$ Go veahá bessen eret beahtahallan dovdduin , in ge vel oro vuoittahallan , de lean movttet go sámi kulturovdanbuktimii čájehit ollu beroštumi ...
    #$ Dát muitalus ferte leat báicca vuolgán dološ sámi máidnasis , mas ruoššačuđit fillehalle bávttis vulos . 
    #$ Čohkkájeaddjiin ja dubmehallan olbmuin lea maid vuoigatvuohta geavahit sámegiela go sii njálmmálaččat váldet oktavuođa kriminálafullii .. 
    #$ Olmmái , gii lea loahpas 20-jagiid , lea ovdal dubmehallan doarrunáššiin , ja son lea válddahallan giddagassii.
    #$ Mannan geasi ovdamearkka dihte gáskkahalai Kárášjogas mánná stoagadettiin iežas šiljus . 
    #$ Simon Aslak Vars gottáhalai Ruoŧas evakojagi.
    #$ Dán rádjái eaba leat vel buvdavisti eaiggádat váidán bilideami bolesiidda , muhto árvvoštallaba váidit sin geat oainnahallet bilidemiin , jus dilli ii buorran .
