# Divvun & Giellatekno - open source grammars for Sámi and other languages
# Copyright © 2000-2010 The University of Tromsø & the Norwegian Sámi Parliament
# http://giellatekno.uit.no & http://divvun.no
#
# This program is free software; you can redistribute and/or modify
# this file under the terms of the GNU General Public License as published by
# the Free Software Foundation, either version 3 of the License, or
# (at your option) any later version. The GNU General Public License
# is found at http://www.gnu.org/licenses/gpl.html. It is
# also available in the file $GTHOME/LICENSE.txt.
#
# Other licensing options are available upon request, please contact
# giellatekno@hum.uit.no or divvun@samediggi.no

# typos.tx
# This file contains common typos and their corrections separated by
# <tab> character.
# leif<tab>feil
# Corrections that consist of two or more parts are not splitted
# further in the preprocessor, because there is no way of knowing
# whether the token is multipart expression or not.
# Beware of removing sentence delimiters (.!?) in correction, since
# they may indicate sentence boundaries.
Avži	Ávži
Nuorta-Sibirjás	Nuorta-Sibirjjás
burjahtalaččat	burjáhtialaččat
fioliinná	fioliinna
semifinalain	semi-finálain
ovdan-buktinbáikin	ovdanbuktinbáikin
repertoaras	repertoáras
lohkojuvvo	lohkkojuvvo
oahpá-snuvvat	oahpásnuvvat
geah-ččit	geahččit
artihkkel	artihkal
davvilas	davvilaš
Burjáhtalaš	Burjáhtialaš
ovddesáigái	ovddešáigái
sámemá-náid	sámemánáid
olg-gut	olggut
boa-res	boares
eatnanvuodoža	eatnanvuloža
lávdefággá-dallama	lávdefággádallama
dieh-tit	diehtit
iežái-guin	iežáiguin
kon-seartta	konseartta
Burjátias	Burjatias
bearjaga	bearjadaga
má-náidfestiválain	mánáidfestiválain
hárje-hallagoahtán	hárjehallagoahtán
máilm-mis	máilmmis
duoras-tagas	duorastagas
eanetloguálbmo-giid	eanetloguálbmogiid
guora-hallá	guorahallá
film-mastis	filmmastis
dáiddavuose-hussii	dáiddavuosehussii
dáiddavuose-husa	dáiddavuosehusa
rahpojuvvo	rahppojuvvo
dolastalladettiin	dolastaladettiin
Nepalis	Nepalis
hukse-juvvon	huksejuvvon
huob-máiga	huobmáiga
hymn-aid	hymnaid
há-miid	hámiid
hápme-jeaddji	hápmejeaddji
iden-titehta	identitehta
ieš-guđetlágan	iešguđetlágan
in-strumeanttat	instrumeanttat
semi-finalisttat	semifinalisttat
musikalalaš	musihkalaš
Šamanaid	Šamánaid
šamanat	šamánat
Arkhangela	Arkangela
buđeaita	buđeita
Markanis	Márkanis
inuit	inuihta
šamanistalaš	šamanisttalaš
Promillegilvvu	Promillagilvvu
promilleiskan	promillaiskan
promillegilvvu	promillagilvvu
suolle-maččat	suollemasat
čatnavaš	čatnevaš
maŋggálágan	máŋggalágan
Ivgoheasta	Ivguheasta
