Boađus: 1 283
                                

    Administrative texts –
Muhto juos dulka ii vanat njuolggadusaid , massá geavaheaddji álkit luohttámuša ja     geassáda     iežas sisa .  #DE-Ill (refl)
Sámediggeráđi lahttu gii lea lahttun SPR-N:s     geassáda     váidinmeannudeamis Ealáhusšiehtadus duojis 2007:s guhkeduvvo jahkái 2008 . #SO-Loc (refl)
Dien lágan máŋggageavatvisttiin sáhttá buvttadit vuosttáid ja vuoja ,     geassáduvvon     guliid , buvttadit honnega , suovastuhttit guliid ja biergguid jna. . #attr
Aage Gaup     geassádii     dán doaimmas . #SO-Loc (refl)
Go davviguovlluid áhpejiekŋaravda     geassáda     ruovttoluotta , de šaddá álkit beassat resurssaide .  #DE-Ill (refl)
NSR sámediggejoavku bidjá merkii ahte Sámediggeráđđi árvvoštallá     geassádit     bargojoavkkus mii galgá čielggadit prinsihpalaš beliid ja dagaldumiid mat čatnasit konsultašuvnnaide Norgga čázádat- ja  #SO-Loc (refl)
Ovddádusbellodat lea vuostá Norgga searvama dán ILOkonvenšuvdnii , ja čujuha Árvalussii O nr 80 ( 2004-2005 ) mas Ovddádusbellodat dieđihii ahte Norga berre     geassádit     konvenšuvnnas vuosttaš vejolašvuođa oktavuođas . #SO-Loc (refl)
Ovddadusbellodat     geassáda     iežas dain eará mearkkašumiin áššis . #TH-Acc+SO-Loc (refl-anal)
Beaivvi rabas guláskuddama ovddastusevttohasa birra maid Gjermund Hagesæter , Per-Willy Amundsen , Åge Starheim ja JanHenrik Fredriksen , Ovddádusbellodat , leat buktán dan birra ahte Norga     geassáda     ILO-konvenšuvdna nr 169:is , heaittiha Sámedikki , fápmuhuhttá finnmárkkulága ja heaittiha sámegielaid hálddašanguovlluid . #SO-Loc (refl)
Dan rájes go dieđáhus ovddiduvvui , lea Steinfjell     geassádan     dán bárggus ( http://www.nrk.no/kanal/nrk_sapmi/1.7905392/http://www.nrk.no/kanal/nrk_sapmi ) . #SO-Loc (refl)
Sámediggeráđđi čájeha stuorra beroštumi eará álgoálbmogiid ovttasbargui ja lea sádden reivve Statoilii gos dáhttu Statoila     geassádit     oljosáttu roggamiin Albertas , ja mii leat maid čájehan ahte sámediggeráđđi lea rabas gulahallat dán fáttá birra . #SO-Loc (refl)
Jus prošeakta ii álggahuvvo 01.01.2013 , de Norgga Sámediggi     geassáda     prošeavttas , ja nanne tearbmabarggu iežas vuogádagas . #SO-Loc (refl)
Dat dagaha ahte vuorrasat     geassádit     fidnus vaikke vel ledje sáhttit bargat guhkit . #SO-Loc (refl)
Dat dagaha ahte vuorrasat     geassádit     fidnus vaikke vel ledje sáhttit bargat guhkit . #SO-Loc (refl)
Čujuhuvvo dasa maid várrepresideantta Laila S. Vars lea cealkán mediai ahte Sámediggi árvvoštallá     geassádit     áigumušsoahpamušas mii lea dahkkon minerálafitnodagaiguin . #SO-Loc (refl)
Sámediggi lea datte vásihan ahte go Sámediggi oažžu hálddašanovddasvástádusa ortnegiidda sámi kultuvrra várás , de     geassádit     regiovnnalaš eiseválddit . #0 (refl)
Sámediggi lea datte vásihan ahte go Sámediggi oažžu hálddašanovddasvástádusa ortnegiidda sámi kultuvrra várás , de     geassádit     regiovnnalaš eiseválddit . #0 (refl)
Sámediggi lea datte vásihan ahte go Sámediggi oažžu hálddašanovddasvástádusa ortnegiidda sámi kultuvrra várás , de     geassádit     regiovnnalaš eiseválddit . #0 (refl)
Sámediggi oaivvilda prinsihpalaš beliid vuođul ahte Norga ferte     geassádit     ILO-konvenšuvnna 169:s , ja maiddái vuostálastit eará konvenšuvdna- ja šiehtadusevttohusaid mat váikkuhit sierraortnegiid ja daid viiddideami sámi álbmoga várás , ovdamearkka dihte davviriikkalaš sámekonvenšuvnna . #SO-Loc (refl)
Go de maŋŋil šattai aŋkke vejolašvuohta ovttasbargat Sámi_allaskuvllain ( nugo muhtun eará giellaguovddážat ge ) , dušše eará ruđalaš čovdosiiguin , de eai šat sáhttán     geassádit     šiehtadusain maid ledje dahkan Universitehtain . #SO-Loc (refl)
Pauøette háliida čalmmustahttit dáid vahágiid maid doaibma dagaha guovllu álgoálbmogiidda ja sávvá ahte norgga oljosearvi Statoil     geassáda     eret guovllus . #eret+SO-Loc (refl)
Pauøette háliida čalmmustahttit dáid vahágiid maid doaibma dagaha guovllu álgoálbmogiidda ja sávvá ahte norgga oljosearvi Statoil     geassáda     eret guovllus . #eret+SO-Loc (refl)
Seamma čavčča válljejuvvojin Sámediggái ja ožžon saji sámediggeráđđái , ja danne válljejin     geassádit     stivrras dan stuorra bargohivvodaga geažil mii dalle livččii šaddat munnje . #SO-Loc (refl)
Sámediggi lea datte vásihan ahte go Sámediggi oažžu hálddašanovddasvástádusa ortnegiidda sámi kultuvrra várás , de     geassádit     regiovnnalaš eiseválddit . #0 (refl)
Sámediggi lea datte vásihan ahte go Sámediggi oažžu hálddašanovddasvástádusa ortnegiidda sámi kultuvrra várás , de     geassádit     regiovnnalaš eiseválddit . #0 (refl)
Dien lágan máŋggageavatvisttiin sáhttá buvttadit vuosttáid ja vuoja ,     geassáduvvon     guliid , buvttadit honnega , suovastuhttit guliid ja biergguid jna. . #attr
Navajot leat dahkan filmmaid jo guhká , muhto Burmas easkka muhtun jagiid maŋŋelgo soahtefámut álget gulul     geassádit     . #0 (refl)
Virggi ohce oktiibuot njealjis , geain okta     geassádii     ovdal válljema . #0 (refl)
Yleisradio     geassádii     oktasašbarggus ovdal_go prográmmat šadde duohtan . #SO-Loc (refl)
Joavkkus leat dát álgoálbmotguovllut mielde ; Afrihká , Ásia , Jaskesáhpi , Árktis , Ruošša , Gaska-Amerihká ja Karibia ja Davvi-Amerihká ( mii     geassádii     joavkkus njukčamánu 2014 vuostehágu geažil ) . #SO-Loc (refl)
Norgga boazosápmelaččaid riikasearvi lea     geassádan     eret bargojoavkku evttohusas . #eret+SO-Loc (refl)
    Aššu –
    Geassáda     NSR stivrras #SO-Loc (refl)
- Go NSR jođiheaddji ii čájet makkár ge beroštumi boahtit midjide veahkkin čoavdit riidduid mat leat min báikkálaš servviid gaskkas , de in oainne eará ráđi go     geassádit     NSR stivrras - ja várra maiddái olles organisašuvnnas , lohká Ruŋggu Sámii Searvvi lahttu Audun Lona . #SO-Loc (refl)
Dál son     geassáda     stivrras . #SO-Loc (refl)
Ja dat lea ge sivvan dasa manne son     geassáda     váldostivrras . #SO-Loc (refl)
Mii eat leat bieđganeamen dan_dihte vaikko mun     geassádin     ge dán jagi šiehtadallamiin , lohká Aslak J. Eira Guovdageainnu Johttisámiid searvvi birra . #SO-Loc (refl)
Bieđganeapmi galggai mat leat boađus das_go son lea     geassádan     dán jagi boazodoallošiehtadallamiin . #SO-Loc (refl)
Manne     geassádii     Ellon Áilu lea moaitán go sin šiehtadalli Aslak J. Eira geassádii boazodoallošiehtadallamiin go ii ožžon iežas gáibádusaid dohkkehuvvot . #SO-Loc (refl)
Manne geassádii Ellon Áilu lea moaitán go sin šiehtadalli Aslak J. Eira     geassádii     boazodoallošiehtadallamiin go ii ožžon iežas gáibádusaid dohkkehuvvot . #SO-Loc (refl)
- Dál bargá Ellon Áilu ieš juste dan seamma , go áigu     geassádit     NBR báikkálaš searvvis dan_dihte go ii ožžon jahkečoahkkima dohkkehit iežas oaiviliid . #SO-Loc (refl)
Muhto mun in     geassádan     dušše iežan dihte , muhto dan_dihte go šiehtadallan boađus muhtun váldoáššis šattai áibbas nuppeládje go dat maid mu iežan searvi sáhtii dohkkehit , čilge Ásllat . #0 (refl)
–     Geassádan     válgabirestivrras #SO-Loc (refl)
Jođiheaddji Álttá ja Fálesnuori válgabires , Odd Mathis Hætta     geassáda     válgabire stivrras . #SO-Loc (refl)
Reivves mii almmuhuvui Sámedikkis , čilgejuvui maiddái manin Hætta áiggui     geassádit     . #0 (refl)
Dan_dihte go eai     geassádan     gilvvuin vaikko čađat šaddet dušše ovcciin čikčiin čiekčat . #SO-Loc (refl)
Suomabeale juogus     geassáda      #0 (refl)
Sámeráđi suomabeale juogus     geassáda     , ja heaittiha doaimmas dán jagi loahpas . #0 (refl)
Suomabeale juogus     geassáda      #0 (refl)
Sámeráđi suomabeale juogus     geassáda     , ja heaittiha doaimmas dán jagi loahpas . #0 (refl)
Prográmmas lea maiddái mielde Risttalaš Álbmotbellodaga jođiheaddji Anne K. Hætta gii lea almmuhan ahte áigu     geassádit     bellodaga lahttun jus Lyngmo biddjo eret virggistis . #RO-Ess (refl)
Sii ožžo dan vejolašvuođa go Báhcavuona joavku     geassádii     eret dan divišuvnnas . #eret+SO-Loc (refl)
Nuppi vuoru     geassádeimmet     badjelii šillju , ja dat dagahii ahte Guovžajávrái lei váttis čievččastit guhkes spáppaid . #DE+Ill (refl)
Eai     geassát     ovddas #SO-Loc (refl)
Muhto veaháš hárpman go eai čievčča nu movt leat šiehtadan ovdal čiekčama , ahte     geassádit     ovddas . #SO-Loc (refl)
Go ráđđuhus vuosttildii Knudsen:a , son     geassádii     virggis go professor nammaduvvui . #SO-Loc (refl)
– Mii áigut áiggi mielde     geassádit     eaiggátvuođas sámi aviissain , lohká NSR jođiheaddji , Geir Tommy Pedersen #SO-Loc (refl)
Áiggi mielde lea mis ulbmil     geassádit     eret eaiggátvuođas sámi aviissain , lohká Geir Tommy Pedersen . #eret+SO-Loc (refl)
Danin     geassádit     mii eret eaiggátvuođas go rievttes áigi dása boahtá , lohká Geir Tommy Pedersen . #eret+SO-Loc (refl)
Statskog SF , gii lea eanaeaiggát , lei mielde álgobargguin álggahit biras- ja luondduriggodatbearráigeahččosystema , Øko Data Finnmarksvidda , muhto     geassádii     árrat viidásit ovddidanbargguin maŋŋel_go stáhtasearvi vuođđuduvvui . #SO-Loc (refl)
Store Jakobsen     geassádii      #0 (refl)
Bjarne Store Jakobsen lea     geassádan     áššis Odd Mathis Hætta vuostá . #SO-Loc (refl)
Store Jakobsen     geassádii      #0 (refl)
Nu lohká Odd Mathis Hætta ođđasii ahte Bjarne Store Jakobsen lea     geassádan     áššis maid lei guoddalan su vuostá . #SO-Loc (refl)
Odd Máhtte muitala ahte son lei galgat ikte , distaga , boahtit Hålogalándda lágamánneriektái , jus Store Jakobsen ii lean     geassádit     ášši . #TH-Acc (tv)
Bongo     geassádii         #0 (refl)
Spábbačiekčanjoavkku jođiheaddji , Nils Henriksen , ii hálit dadjat manne Bongo     geassádii     , muhto son lohká iežaset bargat viidáseappot hárjeheaddjiváttisvuođain .    #0 (refl)
Go álge čiekčamat ledje 2 dievdojoavkku mat     geassádedje     go eai lean doarvái čiekčit .    #0 (refl)
Ráđđehus ii sáhte     geassádit     eret dan ovddasvástádusas ja geahččalit duvdit dan bismmaid dahje girkolaš orgánaide . #eret-SO-Loc (refl)
Liikká unnán go kapteaidna fatnasis mas váilot gádjunfatnasat ja eará gadjunbiergasat , sáhtta     geassádit     eret ovddasvástádusas ja dudvdit ovddasvástádusa dábálaš bargái . #eret-SO-Loc (refl)
Dat čájehuvvui ahte viesut šadde issoras divrasat , ja go máksit dan fuomášedje , sii     geassádedje     eret gávppis . #eret+SO-Loc (refl)
Orbina lea váttisvuođaid siste go Roger Ludvigsen lea     geassádan     joavkku ođđa CD-prošeavttas . #SO-Loc (refl)
Roger Ludvigsen , dovddus gitarista ja musihkkar , lea     geassádan     prošeavttas ja dat eará Orbinalahtut leat behtohallan . #SO-Loc (refl)
Plána mielde galggai Orbina mannat studio:i dán mánus , muhto maŋŋel_go Roger Ludvigsen     geassádii     , de ii oro šaddame mihkkege dán proseavttas . #0 (refl)
Leif Isak Eide muitala ahte sii leat oalle bures behtohallan go okta joavkkus     geassáda     . #0 (refl)
Son deattuha , ahte ii oktage sis diehtán , ahte Roger Ludvigsen     geassáda     fáhkkestaga . #0 (refl)
Dušše Leif Issát válddii hui lossadit go muitalin , ahte mun     geassádan     , lohká Roger Ludvigsen . #0 (refl)
Dán rájes ollusat su máhttájeddjiin     geassádedje     ieažaset eret eai ge šat vádjolan suinna ” . #TH-Acc+eret (refl-anal)
- Leavdnja // PFK dii. 1500 Guovdageaidnu - Norild Guovžajávri lea     geassádan     3. divišuvnnas , ja dandihte eai leat Sállanhasain čiekčamat dán háve .
VBK hálidii čiekčat 3. divišuvnnas dán jagi , ja joavku lei ohcan lobi maŋŋil go Guovžajávri     geassádii     3:dis . #SO-Loc (refl)
    Avvir –
Sámedikkit livčče galgan leat mielde , muhto Norgga ráđđehus     geassádii     ja Norgga beale Sámediggi ii beasa mielde šiehtadallamis . #0 (refl)
Várrepresideanta dadjá ahte Sámediggi lea dorjon gielddaidgaskasaš joatkkaskuvlla ovttasbarggu Evenášši , Dielddanuori ja Skániid gielddas , muhto go Skániid gielda     geassádii     dán ovttasbarggus , de ii sáhttán sámediggeráđđi šat dahkat nu olu . #SO-Loc (refl)
avvir.no : –     Geassádehket     SOAĐIS ! #SO-Loc (refl)
–     Geassádehket     SOAĐIS ! #SO-Loc (refl)
Háliida Norgga     geassádit     Go moraš lea deaividan Norgii ja earret_eará Romsii , de oaidná sátnejođiheaddji man duođalaš soahti lea . #0 (refl)
– Jus livččii mu duohken , de ii livčče Norga oassálastán soađis , dadjá Hausberg , gii háliidivččii Norgga     geassádit     Afganistanas . #SO-Loc (refl)
Ii ávžžut     geassádit     Berg Harpviken ii ávžžut Norgga geassádit Afganistanas , go ballá vearrát ja stuorát soađi sáhttit buollát . #SO-Loc (refl)
Ii ávžžut geassádit Berg Harpviken ii ávžžut Norgga     geassádit     Afganistanas , go ballá vearrát ja stuorát soađi sáhttit buollát . #SO-Loc (refl)
– Jus mii     geassádat     ovdal_go makkárge politihkalaš čoavddus Talibanain lea ilbman , de sáhttá stuorát soahti buollát , loahpaha dutki . #0 (refl)
Son lei nubbinjođiheaddji , John Máhtte Utsi , ja     geassádii     stivrras go juohkinášši evttohuvvui . #SO-Loc (refl)
Son oaivvilda stivra galggašii ovdal     geassádit     go dákkár evttohusa dahkat . #0 (refl)
– Mun maid vuorddán ahte buohcciviesu hálddahuslaš direktevra Tor Ingebrigtsen     geassáda     virggistis , dán ášši geažil , Rørbakk dadjá . #SO-Loc (refl)
– Go mánás lea šlundivuođa gillámuš de lea dávjá illáveaje , mánás sáhttá leat olu váivi ja     geassádit     eret , vuojulduvvan váttisvuođat , vuoimmeheapme dahje oađđinváttisvuođat . #eret (refl)
    Geassádit     go ii doaimma Leif Isak Nilut mielas ii doaimma stivra , go eai mávsse eai mátkerehkegiid šat , eai ge fuolat rehketdoalu . #0 (refl)
Jus stivra ii doaimma , de ferte , nu mo mun oainnán ,     geassádit     , vai miellahtut sáhttet ođđa stivrra válljet erenoamáš spábbačiekčandikkis . #0 (refl)
Musihkkačuojaheapmi Sámi beakkán joavkku Adjágas galggai ge guoimmuhit Kiwi bargiid dan eahkeda , muhto     geassádedje     go fuobmáje movt Kiwi bargit ledje gárvodan . #0 (refl)
Eai gáđa Go de fuobmájedje juhkaluvvon ruonáivnnat gávttehasaid gávpogis vázzime , de mearridii Adjágas     geassádit     jahkefeasttas . #SO-Loc (refl)
– Buohkat ledje suorganan go oidne gárvvuid , sihke lágideaddjit ja oasálastit , muhto buot manai lihkus bures min bealis , eat ge mii gáđa veaháge go     geassádeimmet     , muitala Gaup . #0 (refl)
– Rehketdoallu gárvána guovtti vahkku geahčen , ja sihke 2011 doaibmaplána ja bušeahtta lea dál sáddejuvvon Sámediggái , lohká Eira ja joatká : – Muđui eai leat mus eambbo kommentárat Leif Isak Niluha čuoččuhusaide ja ávžžuheami     geassádit     presideantan . #RO-Ess (refl)
Mun in leat lohkan son ii doaimma , muhto jus son ii doaimma , de berre     geassádit     , go dat billista olles SSL . #0 (refl)
Jierpmálaš ollesolmmoš berre ipmirdit dan meare ahte jus ii doaimma , de lea áidna vejolašvuohta     geassádit     . #0 (refl)
Jus son ii doaibmagoađe , de ávžžuhan su     geassádit     , muđui billašuvvá olles SSL . #0 (refl)
Nuoraguovttos áigguiga     geassádit     maŋŋel dán , muhto mun geahččalin jeđđet ja dadjen ahte ii dát daga maidege . #0 (refl)
avvir.no : Guovdageainnu spábbačiekčansearvvi stivrajođiheaddji     geassádan      #0 (refl)
Guovdageainnu spábbačiekčansearvvi stivrajođiheaddji     geassádan     Anita Bjørnback anita@avvir.no on 18 December , 2010 01:04:00 #0 (refl)
Dán duođašta Guovdageainnu Valáštallansearvvi ovdaolmmoš , Svein Ole Sandvik , gii oaivvilda Nils Henriksen ii sáhte beare     geassádit     . #0 (refl)
– Lága mielde ii sáhte Henriksen     geassádit     , ja son ferte čađahit jahkečoahkkima mas válljejuvvo ođđa stivra . #0 (refl)
Rámideaba Henriksena Nissonjoavkku spábbačiekči ja ovddeš stivralahtu Anne Marie Therese Eira mielas lea hui šállošahtti go Henriksen lea     geassádan     ja sávašii áinnas Henriksena joatkit . #0 (refl)
– Mun ádden gal jus Henriksen háliida eará bargat , go lea oalle olu bargu leat stivrajođiheaddjin , muhto lea mu mielas váivi go son lea     geassádan     , lohká son . #0 (refl)
Ovdal juovllaid lei mastanvárra badjel vihttaduháha bohccos oarjjabealde Čiekkavári , mas Hætta-joavku lei ožžon guovllustivrras áigemeari mannan maŋŋebárgii     geassádit     eret guovllus , muhto sii eai lean čuvvon mearrádusa , čilge Valved . #eret+SO-Loc (refl)
Lea dál leamaš sáhka dan birra medias go Innovašuvdna Norga lea     geassádan     Gilli AS prošeavttas , go eai leat gárvvistan prošeavtta mas áigo cegget 1852-filmma gili Guovdageidnu . #SO-Loc (refl)
Dál lea maiddái Sámediggi árvvoštallame     geassádit     prošeavttas ja gáibidit ruđa ruovttoluotta . #SO-Loc (refl)
Nils Thomas Utsi , Gilli AS:s , ii ipmir manne Sámediggi dál áigu     geassádit     prošeavttas . #SO-Loc (refl)
Ágga manne huksenbargu lea nu olu maŋŋonan lea go Innovašuvdna Norga     geassádii     prošeavttas . #SO-Loc (refl)
Doarjagat Myrnes Balto ii jáhke Márkomeanu váldoruhtadeddjiid     geassádit     dan_dihte go sii vuovdigohtet alkohola , ja son deattuhage ahte vuovdit alkohola ii leat juoidá maid sii leat háliidan , muhto juoidá maid sii oidnet dárbun dahkat .  #0 (refl)
avvir.no :     Geassádan     sátnejođiheaddji evttohassan #RO-Ess (refl)
    Geassádan     sátnejođiheaddji evttohassan Inga Marie Guttorm inga@avvir.no on 02 February , 2011 01:06:00
Dál lea ge mearridan     geassádit     sátnejođiheaddji evttohassan ja maiddái olles gielddaválgga listus . #RO-Ess (refl)
– Dat mii duođai loahpas dagahii ahte mearridin     geassádit     , lei go eai bovden mu stivračoahkkimii , ja dalle mun mearridin oalát geassádit gielddapolitihkkas . #0 (refl)
 #SO-Loc (refl)
– Dat mii duođai loahpas dagahii ahte mearridin geassádit , lei go eai bovden mu stivračoahkkimii , ja dalle mun mearridin oalát     geassádit     gielddapolitihkkas . #0 (refl)
 #SO-Loc (refl)
Mannan mánus     geassádan    #0 (refl)
Ođđajagemánus dieđihii ge Marit Kirsten A. Gaup ahte son geassáda Bargiidbellodaga sátnejođiheaddji evttohassan . #RO-Ess (refl)
Mannan mánus geassádan Ođđajagemánus dieđihii ge Marit Kirsten A. Gaup ahte son     geassáda     Bargiidbellodaga sátnejođiheaddji evttohassan . #RO-Ess (refl)
Dál lohká Gaup sus lea hui buorre dovdu maŋŋá_go mearridii     geassádit     , muhto seammá buori dovddu ii loga leamaš dan áiggis lei nammaduvvon bajimužžii Kárášjoga Bargiidbellodaga listui . #0 (refl)
Ii ge dál ge leat gullon mihkke ge stivrras dahje bellodagas maŋŋá_go     geassádin     , muitala Gaup go Ávvir deaivvada suinna bargosajis Davvi_Girjjis . #0 (refl)
Son liikká ii mieđit sivvan boazodoalu vuostehágu dihte     geassádan     , go dan baicce lohká dahkan miellan šaddat sátnejođiheaddjin . #0 (refl)
Sátnejođiheaddji Kárášjoga sátnejođiheaddji Kjell Sæther lohká Bargiidbellodaga vuosttaš listtu rájes leat olusat     geassádan     , ja ieš maid lea , nu go Máret Kirsten Gaup , geassádan priváhta sivaid geažil . #0 (refl)
 #0 (refl)
Sátnejođiheaddji Kárášjoga sátnejođiheaddji Kjell Sæther lohká Bargiidbellodaga vuosttaš listtu rájes leat olusat geassádan , ja ieš maid lea , nu go Máret Kirsten Gaup ,     geassádan     priváhta sivaid geažil . #0 (refl)
 #0 (refl)
– Nu Nikkinen lea máilmmi buorre sátnejođiheaddji evttohas go šattai nu ahte Marit Kirsten Gaup     geassádii     . #0 (refl)
– Mun geahččalin , ja ožžon maid olbmo dohko , muhto son     geassádii     muhtun áiggi maŋŋel . #0 (refl)
– Berrejit     geassádit     Keskitalos gal leat maid garra oaivilat Sámediggeráđi evttohussii . #0 (refl)
– Bargiidbellodat berre     geassádit     Sámediggeráđis , go sii han maid lohket seammás ahte sii eai nagot oažžut dohkkehuvvot áššiid rukses-ruoná ráđđehusain , gos sin bellodat lea eanetlogus ráđđehusas , lohká Keskitalo . #SO-Loc (refl)
— Sombys eai leat rivttes dieđut , dadjá Hætta ja lasiha ahte son lea áidna olbmoš otná stivrras , gii lea áigon     geassádit     . #0 (refl)
    Geassádedje     eret Hætta geahččalii beasset eret báikkis Akersgáhta mielde , ja dasto Grubbergáhta mielde , muhto politiijat dáhtto buohkaid jorgalit . #eret (refl)
– Nu ahte mii     geassádeimmet     eret Fredensborgveien mielde , muhto dan ge geainnus ledje buot láset bosáduvvon eret visttiin , muitala Risten Ravna Hætta . #eret (refl)
avvir.no :     Geassáda     Árjjas #SO-Loc (refl)
    Geassáda     Árjjas Inga Marie Guttorm inga@avvir.no on 15 September , 2011 03:10:00 #SO-Loc (refl)
– In dattetge leat makkárge čilgehusa ožžon manne son     geassáda     , dadjá Alf Isaksen . #0 (refl)
Váldán oktavuođa Alf Isaksen ii loga alddis eará kommentára go ahte lea šállošahtti go Guldbjørnsen     geassáda     Árjjas ovdal_go sii leat válgaárvvoštallančoahkkima doallan . #SO-Loc (refl)
– Duogáš gal ferte gávdnot , go ii hal oktage     geassát     bellodagas fáhkka , lohká Isaksen . #SO-Loc (refl)
Rábmo Guldbjørnsena Alf Isaksen lohká su mielas lea šállošahtti go Guldbjørnsen     geassáda     go son leamašan buorre ja áŋgir válgagiččus . #0 (refl)
Alf Isaksen ii loga muđuid diehtit manne Guldbjørnsen nu fáhkka     geassáda     Árjjas . #SO-Loc (refl)
Nu Ávvir dan dagai , muhto Isaksen ii loga iežas ožžon makkárge čielga čilgehusa manne Guldbjørnsen     geassáda     nu fáhkka . #0 (refl)
– Mun lean ávžžuhan su vuordit     geassádit     árvvoštallančoahkkima maŋŋil , nu lea maid vejolašvuohta njulget ovdamearkka dihtii boasttuvuođaid mat leat dahkkon , dadjá Isaksen . #0 (refl)
Ii lean dieđu ožžon Árjja jođiheaddji , Laila Susanne Vars , ii lean gullan dán áššis maidige go Ávvir riŋgii sutnje , muhto lohká iežas áigut gulaskuddat Alf Isakseniin lea go makkárge čilgehus boahtán manne Guldbjørnsen     geassáda     nu fáhkka . #0 (refl)
Marit Kirsten A Gaup     geassádii     diibmá Bargiidbellodaga sátnejođiheaddjievttohussan , muhto ii loga iežas gáhtat , vaikko oaidná dál ahte eai leat go guovttes geain lea boazodoalloduogáš , beassan gielddastivrii . #RO-Ess (refl)
– Mii eat lean ovttaoaivilis bušeahttabargguid oktavuođas ja dat mielddisbuvttii ahte Toril Bakken Kåven     geassádii     ovttasbarggus mii mis lei Sámedikki ráđđenvuogis . #SO-Loc (refl)
