[lemma = "oahpaheaddji"][lemma = "gii"]
Boađus: 717

	Administrative texts –
Oahpahusláhka addá vejolašvuođa láhčit sámegiel oahpaheami eará vugiid mielde go ii leat vejolaš gávdnat 	oahpaheaddji geas 	lea sámegiel gelbbolašvuohta .
Vai ollislaččat nákcet geavahit ávkin daid pedagogalaš vejolašvuođaid mat elektruvnnalaš mediat leat , de lea dárbu skáhppot viidát gelbbolašvuođa das movt IKT geavaha pedagogalaččat , ja lea dárbu láhčit IKT joatkka- ja lassioahpu 	oahpaheddjiide geat 	galget oahpahit dien suorggis .
Dasa lassin sáhttet 	oahpaheaddjit geat 	oahpahit sámegillii ja sámegielas maid geavahit ruđaid mat leat juolluduvvon « Ovdáneami gelbbolašvuohta – vuođđooahpahusa gelbbolašvuođanannen » doaimmas .
Gávnos lea ovddimustá daidda 	oahpaheddjiide geat 	oahpahit riikka oahppoplánaid mielde , muhto dat veadjá maid leat ávkkálaš veahkkeneavvun daidda oahpaheddjiide geat oahpahit Máhttolokten – Sámi oahppoplánaid mielde .
Gávnos lea ovddimustá daidda oahpaheddjiide geat oahpahit riikka oahppoplánaid mielde , muhto dat veadjá maid leat ávkkálaš veahkkeneavvun daidda 	oahpaheddjiide geat 	oahpahit Máhttolokten – Sámi oahppoplánaid mielde .
Dasa lassin sáhttet 	oahpaheaddjit geat 	oahpahit sámegillii ja sámegielas maid geavahit ruđaid mat leat juolluduvvon « Ovdáneami gelbbolašvuohta – vuođđooahpahusa gelbbolašvuođanannen » doaimmas .
Gávnos lea ovddimustá daidda 	oahpaheddjiide geat 	oahpahit riikka oahppoplánaid mielde , muhto dat veadjá maid leat ávkkálaš veahkkeneavvun daidda oahpaheddjiide geat oahpahit Máhttolokten – Sámi oahppoplánaid mielde .
Gávnos lea ovddimustá daidda oahpaheddjiide geat oahpahit riikka oahppoplánaid mielde , muhto dat veadjá maid leat ávkkálaš veahkkeneavvun daidda 	oahpaheddjiide geat 	oahpahit Máhttolokten – Sámi oahppoplánaid mielde .
Sámedikkis lea 2002 rájes leamašan sierra stipeandaortnet ovdaskuvlaoahpaheddjiide ja dábálaš 	oahpaheddjiide geat 	váldet čiekŋudeami julevsámegielas .
Buori oahpahusa eaktun lea ahte leat gávdnamis buorit oahpponeavvut ja ahte gávdnojit doarvái 	oahpaheaddjit geain 	lea gelbbolašvuohta oahpahit sámegillii .
Gitta 1997 rádjái ožžo 	oahpaheaddji geat 	oahpahedje sámegillii dahje sámegielas 10,75 pst. dii-bmologus áigeresursan diekkár oahpahussii ( konverterenresurssa ) .
10,75 pst. diibmologus mii addojuvvo sámegiel ja sámegillii oahpaheapmái , mas geassá 15 pst. , dan hálddašit ain skuvllat ja sáhttet dan geavahit geahpedit lohkanáiggi 	oahpaheddjiide geat 	oahpahit sámegillii ja sámegielas .
Departementta mielas lea dien váttis čađahit danin_go váilot oahppan 	oahpaheaddjit geat 	sáhtáše oahpahit ja go leat unnán sámegielagat geat ohcet oahpaheaddjeohppui , gč. kap. 12.1.1 , mas maid čujuhuvvo ahte leat miha eanebut geat ohcet ođđa lohkanfálaldagaide , muhto oppalohkái leat ain ollu hástalusat oažžut eanebuid oahpu váldit .
Liikká leat lullisámi giellaservodagain stuora hástalusat , sihke danin_go váilot 	oahpaheaddjit geain 	lea lullisámegielas gelbbolašvuohta ja maiddái danin_go váilot lullisámegiel oahpponeavvut miehtá lullisámiguovl-lu .
Oahpahusláhka addá vejolašvuođa láhčit sámegiel oahpaheami eará vugiid mielde go ii leat vejolaš gávdnat 	oahpaheaddji geas 	lea sámegiel gelbbolašvuohta .
Vai ollislaččat nákcet geavahit ávkin daid pedagogalaš vejolašvuođaid mat elektruvnnalaš mediat leat , de lea dárbu skáhppot viidát gelbbolašvuođa das movt IKT geavaha pedagogalaččat , ja lea dárbu láhčit IKT joatkka- ja lassioahpu 	oahpaheddjiide geat 	galget oahpahit dien suorggis .
Dasa lassin sáhttet 	oahpaheaddjit geat 	oahpahit sámegillii ja sámegielas maid geavahit ruđaid mat leat juolluduvvon « Ovdáneami gelbbolašvuohta – vuođđooahpahusa gelbbolašvuođanannen » doaimmas .
Gávnos lea ovddimustá daidda 	oahpaheddjiide geat 	oahpahit riikka oahppoplánaid mielde , muhto dat veadjá maid leat ávkkálaš veahkkeneavvun daidda oahpaheddjiide geat oahpahit Máhttolokten – Sámi oahppoplánaid mielde .
Gávnos lea ovddimustá daidda oahpaheddjiide geat oahpahit riikka oahppoplánaid mielde , muhto dat veadjá maid leat ávkkálaš veahkkeneavvun daidda 	oahpaheddjiide geat 	oahpahit Máhttolokten – Sámi oahppoplánaid mielde .
Sámediggi geavaha ollu áiggi oaivadit ja doarjut 	oahpaheaddjiid geat 	addet oahpahusa sámi oahppiide vuođđoskuvllain ja joatkkaskuvllain .
Gažaldagat sámi oahpaheaddjeoahpu birra ja dat mat leat evttohuvvon NA— 2000 : 3 , gieđahallojuvvojit sierra kapihttalis oahpaheaddjeoahppodieđáhusas 2002. 2002 rájes oažžu Stáhta oahppokantuvra Davvi-Trøndelágas guokte lohkanvirggi juohke jagi mat juolluduvvojit 	oahpaheddjiide geat 	váldet oarjelsámegiela joatkkaoahpu ja ožžot čatnanáiggi skuvllain main oahpahuvvo oarjelsámegiella .
Oahppogirjjit ja 	oahpaheaddjit geain 	lea oahpahusgelbbolašvuohta gielas váilot .
Departementta mielas lea dien váttis čađahit danin_go váilot oahppan 	oahpaheaddjit geat 	sáhtáše oahpahit ja go leat unnán sámegielagat geat ohcet oahpaheaddjeohppui , gč. kap. 12.1.1 , mas maid čujuhuvvo ahte leat miha eanebut geat ohcet ođđa lohkanfálaldagaide , muhto oppalohkái leat ain ollu hástalusat oažžut eanebuid oahpu váldit .
Liikká leat lullisámi giellaservodagain stuora hástalusat , sihke danin_go váilot 	oahpaheaddjit geain 	lea lullisámegielas gelbbolašvuohta ja maiddái danin_go váilot lullisámegiel oahpponeavvut miehtá lullisámiguovl-lu .
Gávnos lea ovddimustá daidda 	oahpaheddjiide geat 	oahpahit riikka oahppoplánaid mielde , muhto dat veadjá maid leat ávkkálaš veahkkeneavvun daidda oahpaheddjiide geat oahpahit Máhttolokten – Sámi oahppoplánaid mielde .
Gávnos lea ovddimustá daidda oahpaheddjiide geat oahpahit riikka oahppoplánaid mielde , muhto dat veadjá maid leat ávkkálaš veahkkeneavvun daidda 	oahpaheddjiide geat 	oahpahit Máhttolokten – Sámi oahppoplánaid mielde .
Sámegiela hálddašanguovllu olggobealde váilot 	oahpaheaddjit geat 	oahpahit sámegillii ja sámegielas .
Sámegiela hálddašanguovllu olggobealde váilot 	oahpaheaddjit geat 	oahpahit sámegillii ja sámegielas .
Sámegiela hálddašanguovllu olggobealde váilot 	oahpaheaddjit geat 	oahpahit sámegillii ja sámegielas .
Nugo Sd. d. nr 55 ( 2001–2002 ) cealká , oaččui Stáhta oahppoguovddáš Davvi-Trøndelágas 2 láhkiivuođustuvvon oahppobáikki 01.08.02 rájis , mii addo 	oahpaheaddjiide geat 	hálidit lasseoahpahusa oarjelsámegielas .
Juolluduvvojedje ruđat dáidda doaimmaide : sámi lohkangirji , bálkálasáhus 	oahpaheddjiide geat 	ohppe sámegiela ja barge guovlluin gos lei dárbu máhttit sámegiela , almmuhit oahppogirjjiid main lei teaksta sihke dárogillii ja sámegillii .
Gitta 1997 rádjái ožžo 	oahpaheaddji geat 	oahpahedje sámegillii dahje sámegielas 10,75 pst. dii-bmologus áigeresursan diekkár oahpahussii ( konverterenresurssa ) .
10,75 pst. diibmologus mii addojuvvo sámegiel ja sámegillii oahpaheapmái , mas geassá 15 pst. , dan hálddašit ain skuvllat ja sáhttet dan geavahit geahpedit lohkanáiggi 	oahpaheddjiide geat 	oahpahit sámegillii ja sámegielas .
Departementta mielas lea dien váttis čađahit danin_go váilot oahppan 	oahpaheaddjit geat 	sáhtáše oahpahit ja go leat unnán sámegielagat geat ohcet oahpaheaddjeohppui , gč. kap. 12.1.1 , mas maid čujuhuvvo ahte leat miha eanebut geat ohcet ođđa lohkanfálaldagaide , muhto oppalohkái leat ain ollu hástalusat oažžut eanebuid oahpu váldit .
Liikká leat lullisámi giellaservodagain stuora hástalusat , sihke danin_go váilot 	oahpaheaddjit geain 	lea lullisámegielas gelbbolašvuohta ja maiddái danin_go váilot lullisámegiel oahpponeavvut miehtá lullisámiguovl-lu .
Sámegiela hálddašanguovllu olggobealde váilot 	oahpaheaddjit geat 	oahpahit sámegillii ja sámegielas .
Sámediggi geavaha ollu áiggi oaivadit ja doarjut 	oahpaheaddjiid geat 	addet oahpahusa sámi oahppiide vuođđoskuvllain ja joatkkaskuvllain .
Oahppogirjjit ja 	oahpaheaddjit geain 	lea oahpahusgelbbolašvuohta gielas váilot .
Oahppogirjjit ja 	oahpaheaddjit geain 	lea oahpahusgelbbolašvuohta gielas váilot .
Oahpahusláhka addá vejolašvuođa láhčit sámegiel oahpaheami eará vugiid mielde go ii leat vejolaš gávdnat 	oahpaheaddji geas 	lea sámegiel gelbbolašvuohta .
Vai ollislaččat nákcet geavahit ávkin daid pedagogalaš vejolašvuođaid mat elektruvnnalaš mediat leat , de lea dárbu skáhppot viidát gelbbolašvuođa das movt IKT geavaha pedagogalaččat , ja lea dárbu láhčit IKT joatkka- ja lassioahpu 	oahpaheddjiide geat 	galget oahpahit dien suorggis .
Sámedikkis lea 2002 rájes leamašan sierra stipeandaortnet ovdaskuvlaoahpaheddjiide ja dábálaš 	oahpaheddjiide geat 	váldet čiekŋudeami julevsámegielas .
Oahppogirjjit ja 	oahpaheaddjit geain 	lea oahpahusgelbbolašvuohta gielas váilot .
Nugo Sd. d. nr 55 ( 2001–2002 ) cealká , oaččui Stáhta oahppoguovddáš Davvi-Trøndelágas 2 láhkiivuođustuvvon oahppobáikki 01.08.02 rájis , mii addo 	oahpaheaddjiide geat 	hálidit lasseoahpahusa oarjelsámegielas .
Julevsámiin leat váilon oahppagirjjit ja 	oahpaheaddjit geat 	máhttet giela .
Nugo Sd. d. nr 55 ( 2001–2002 ) cealká , oaččui Stáhta oahppoguovddáš Davvi-Trøndelágas 2 láhkiivuođustuvvon oahppobáikki 01.08.02 rájis , mii addo 	oahpaheaddjiide geat 	hálidit lasseoahpahusa oarjelsámegielas .
Oahppogirjjit ja 	oahpaheaddjit geain 	lea oahpahusgelbbolašvuohta gielas váilot .
Sámediggi geavaha ollu áiggi oaivadit ja doarjut 	oahpaheaddjiid geat 	addet oahpahusa sámi oahppiide vuođđoskuvllain ja joatkkaskuvllain .
Julevsámiin leat váilon oahppagirjjit ja 	oahpaheaddjit geat 	máhttet giela .
Dasa lassin sáhttet 	oahpaheaddjit geat 	oahpahit sámegillii ja sámegielas maid geavahit ruđaid mat leat juolluduvvon « Ovdáneami gelbbolašvuohta – vuođđooahpahusa gelbbolašvuođanannen » doaimmas .
Gávnos lea ovddimustá daidda 	oahpaheddjiide geat 	oahpahit riikka oahppoplánaid mielde , muhto dat veadjá maid leat ávkkálaš veahkkeneavvun daidda oahpaheddjiide geat oahpahit Máhttolokten – Sámi oahppoplánaid mielde .
Gávnos lea ovddimustá daidda oahpaheddjiide geat oahpahit riikka oahppoplánaid mielde , muhto dat veadjá maid leat ávkkálaš veahkkeneavvun daidda 	oahpaheddjiide geat 	oahpahit Máhttolokten – Sámi oahppoplánaid mielde .
Juolluduvvojedje ruđat dáidda doaimmaide : sámi lohkangirji , bálkálasáhus 	oahpaheddjiide geat 	ohppe sámegiela ja barge guovlluin gos lei dárbu máhttit sámegiela , almmuhit oahppogirjjiid main lei teaksta sihke dárogillii ja sámegillii .
Sámegiela hálddašanguovllu olggobealde váilot 	oahpaheaddjit geat 	oahpahit sámegillii ja sámegielas .
Leat olu skuvllat ja 	oahpaheaddjit geat 	barget hirbmat buorre barggu ja geat sáhttet leat ovdagovvan eará skuvllaide , dadjá Røe Isaksen .
gelbbolaš oahpaheaddjit , mearkaša 	oahpaheaddjit geain 	lea pedagogalaš duogáš ja guovttegielat gelbbolašvuohta
	Oahpaheaddji gii 	dovdá ohppiid deavdá áicanskovi mii geavahuvvo kártemii geahččaleami čađahettiin .
	Oahpaheaddji gii 	dovdá ohppiid deavdá áicanskovvi mii geavahuvvo kártemii čađahettiin geahččaleami .
	Oahpaheaddji gii 	dovdá ohppiid deavdá áicanskovvi mii geavahuvvo kártemii čađaheami áigge .
Eará oktavuođain lei ges dehálaš fállat dáru nuoraide nuvttá sámegiel skuvlema , ja nu fillet sin oahppat sámegiela ja bargat geatnegahttojuvvon oahppoáiggi máŋggagielat guovlluin , maŋŋá_go leat oahpu čađahan , ja fas eará áiggiid árvvoštalle ges dan buoremussan ahte 	oahpaheaddjit geat 	galge oahpahit sámi mánáid eai galgan oba máhttit ge sámegiela , ovdamearkkadihte 1904:s , go dat stipeandaortnet loahpahuvvui mii lei ásahuvvon dáru studeanttaide geat háliidedje oahppat sámegiela dainna eavttuin ahte sii barget geatnegahttojuvvon bargoáiggi sámegielat guovlluin .
Sámediggi diehtá ahte 	oahpaheaddjit geat 	oahpahit sámegiela , eai leat dássážii ožžon doarvái lassioahpu OM06 birra .
Dalle_go kursafálaldat bođii našunála oahppoplána birra , de ledje ollu 	oahpaheaddjit geat 	válljejedje vuordit kurssa sámi oahppoplána birra .
- Stipeanda gelbbolašvuođaloktemii 	oahpaheddjiide geat 	oahpahit sámegiela ja sámegillii .
Go váilot 	oahpaheaddjit geain 	lea sámegielgelbbolašvuohta , lea Finnmárkkus biddjon johtui rekrutterenprošeakta oažžun dihtii eambo studeanttaid studeret sámegiela .
Ovdamearkka dihtii šattai sámi oahpahus Nordlánddas álggahuvvot 2008:s , ja lea fierpmádat 	oahpaheddjiide geat 	oahpahit sámi temáin .
Fylkkasuohkan leamaš njunnošis ahte 	oahpaheaddjit geat 	oahpahit sámegillii skuvllain galget álggahit fierpmádaga gos ságastit vásihusaid ja oahpu birra .
Oahppit galget oažžut oahpahusa iežaset skuvllas nu guhkás go vejolaš , muhto go váilot 	oahpaheaddjit geain 	lea giellagelbbolašvuohta , de addo gáiddusoahpahus .
Romssa_fylkkasuohkan rahčá oažžut 	oahpaheddjiid geain 	lea sámegielgelbbolašvuohta , ja leat váldán oktavuohta oahppoinstitušuvnnaiguin oažžundihti ovttasbarggu .
Fylkkasuohkanis lea dušše okta 	oahpaheaddji gii 	oahpaha sámegiela Oarje- Lofuohta joatkkaskuvllas .
Skuvlaeaiggádat oaivvildit ahte 	oahpaheaddjin geat 	leat oasálastán dan bajábealde namuhuvvon joatkkaoahpus , lea buoret vuođđu váldit dan atnui .
Leat unnán 	oahpaheaddjit geat 	leat formaliseren máhtu julevsámegielas , eaige báljo oahpahuvvo oahpaheaddjit .
Suohkan lea nagodan rekrutteret 	oahpaheddjiid geat 	sáhttet oahpahit lullisámegielas , muhto ii leat gallis gelbbolašvuohta , ja nu leage suohkan hearkkes dilis .
Muhtin 	oahpaheaddjin geat 	oahpahit ii leat formálalaš sámegielgelbbolašvuohta , ja desentraliseren struktuvra oahpahusas ii leat dagahan álkibun doalahit ja ovddidit gelbbolašvuođa .
Dát lea hástaleaddji 	oahpaheddjiide geat 	fertejit oažžut áddejumi sámegieloahpahusa mávssolašvuođa birra dain ovttaskas skuvllain , ja skuvllain gos sii eai leat oassin fásta oahpaheddjiid bargoveagas .
Oahppogirjjiid váilevašvuohta deattuhuvvo erenoamážit leat váttisvuohtan , ja lea stuorra dárbu loktet gelbbolašvuođa 	oahpaheddjiide geat 	galget oahpahit dan ođđa oahppoplána mielde , ja ahte dát máhtu heivehuvvo skuvlamánáid árgabeaivái .
Dát lea lunddolaš go suohkanat leat ožžon friddjavuođa ieža mearridit mo oahpahus galgá organiserejuvvot , muhto ahte dát friddjavuohta dávjá gáržžiduvvo go váilot oahppan oahpaheaddjit , ja ahte suohkan ferte válljet dakkár čovdosa mii lea praktihkalaččat čađahahtti ovdamearkkadihttiid geavahit gáiddusoahpahusa dahje 	oahpaheddjiid geat 	johtet dáid iešguđege skuvllaid mielde .
Maŋŋil logemat jagiid goas ii lean báljo oktage 	oahpaheaddji gii 	humai sámegiela skuvllas , eai sáhttán eiseválddit hutkat sámegielat oahpaheddjiid ja sámegielat oahppogirjjiid , ja dakka viđe álggahit oahpaheapmi sámegielas ja sámegillii .
Helandera obbalaš ráđđi nannen dihte skuvlla giellabarggu leat danne buorit plánat , 	oahpaheaddjit geain 	lea gelbbolašvuohta ja áŋgirušši váhnemat .
Váilevaš 	oahpaheaddjit geain 	lea gelbbolašvuohta sámegiela fágaoahpus lea , ja lea leamaš , váttisvuohta sámi joatkkaskuvlaoahpus .
Oanehaččat lohká joavku ahte fertejit biddjot giellagáibádusat 	oahpaheddjiide geat 	galget oahpahit sámegiela .
Sámediggi hálddaša iešguđetlágan doarjjaortnegiid nugo giellamovttiidahttinsti-peanda ohppiide geain lea sámegiella joatkkaskuvllas , gelbbolašvuođalokten-stipeanda 	oahpaheddjiide geat 	oahpahit sámegillii // sámegielas ja gaskaoapmeortnet oahpponeavvodahkamii .
Finnmárkku_fylkkagielda lea njunnošis ásahit fierpmádaga gaskal 	oahpaheddjiid geat 	oahpahit sámegiela .
Kárášjogas ii leat váttisvuohta gávdnat 	oahpaheddjiid geain 	leat buorre sámegiel máhttu , muhto formálalaš gelbbolašvuođadássi berre bajiduvvot máŋgga fága ektui jus oahpaheapmi OM06S mielde galgá šaddat áibbas buorre .
Suohkan fállá ovttas RKK Ofoteniin oahppofálaldaga sámi kulturmáhtus , muhto orru váttisin boahtteáiggis sihkkarastit doarvái 	oahpaheddjiid geain 	lea formálalaš julevsámi giellagelbbolašvuohta .
Mis leat 11 	oahpaheaddji geat 	oahpahit sámegiela joatkkaskuvllain .
Mii ohcat 	oahpaheaddji gii 	
Guovttediibmosaš oahpahus min oahpahanmetodihkas 	oahpaheddjiide geat 	ledje Divttasvuonas ja Jielliváris , telekonferánsarusttegiiguin .
Sii oaivvildedje ahte lea dárbu oažžut fágalaš lasseoahpu , erenoamážit 	oahpaheaddjit geat 	barget okto sin suohkaniin .
CD-rom lea sámegillii ja suomagillii ja dan_dihte veadjetmeahttun geavahit 	oahpaheddjiide geat 	eai máhte daid gielaid .
Mii ohcat 	oahpaheddjiid geain 	lea buorre fágalaš gelbbolašvuohta ja geat máhttet ođđaládje jurddašit .
Ruollaluovtta skuvla ohcá 	oahpaheddjiid geain 	lea spes.ped , IKT , sámegiella , musihkka , ja vel ovdaskuvlaoahpaheddjiid , millosepmosit dakkáriid geain lea PAPS 1-2 .
Olmmáivákki_skuvla ohcá 	oahpaheddjiid geain 	lea čuovvovaš fágaoahppu : sámegiella , suomagiella , ruoššagiella , duiskkagiella , IKT , musihkka , mánáidskuvlapedagogihkka , ja muđui vuođđoskuvlafágat .
Mii ohcat 	oahpaheddjiid geat 	
Mii ohcat 	oahpaheaddji gii 	
• 	Oahpaheaddjit geain 	lea gelbbolašvuohta sámi kultuvrra ja sámi oahpahusa birra .
addit fágalaš neavvagiid ja doarjaga 	oahpaheddjiide geat 	oahpahit sámi ohppiid mánáidgárddiin , vuođđoskuvllain ja joatkkaskuvllain .
	Oahpaheaddjit geain 	lea gelbbolašvuohta leat eaktun sámegiela ja sámegillii oahpaheapmái .
Váilot ollu 	oahpaheaddjit geain 	livččii gelbbolašvuohta .
	Oahpaheaddjit geain 	lea gelbbolašvuohta leat eaktun sámegiela ja sámegillii oahpaheapmái .
Váilot ollu 	oahpaheaddjit geain 	livččii gelbbolašvuohta .
Lassi- ja joatkkaoahppofálaladat lea deaŧalaš gelbbolašvuođaloktendoaibma 	oahpaheddjiide geat 	galget bargat vuođđoskuvllas ja joatkkaoahpahusas .
Dan oaidná vuođđoskuvllas ja joatkkaoahpahusas , gos barget 	oahpaheaddjit geat 	leat unnán ožžon dahje eai leat oba ožžonge sámegiela ja kultuvrralaš gelbbolašvuođa iežaset oahpus .
Buot 	oahpaheaddjit geat 	gerget oahpaheaddjeallaskuvllas , galget sáhttit oahpahit sámi diliid birra almmá liige- dahje viidásetoahpu haga .
Buot 	oahpaheaddjit geat 	gerget oahpaheaddjeallaskuvllas , galget sáhttit oahpahit sámi diliid birra almmá liige- dahje viidásetoahpu haga .
Lassi- ja joatkkaoahppofálaladat lea deaŧalaš gelbbolašvuođaloktendoaibma 	oahpaheddjiide geat 	galget bargat vuođđoskuvllas ja joatkkaoahpahusas .
Dan oaidná vuođđoskuvllas ja joatkkaoahpahusas , gos barget 	oahpaheaddjit geat 	leat unnán ožžon dahje eai leat oba ožžonge sámegiela ja kultuvrralaš gelbbolašvuođa iežaset oahpus .
	Oahpaheaddjit geain 	lea oarjelsámegiel máhttu váilot , ja váilevaš gelbbolašvuohta ollu eará surggiin nugo dutkamis , oahpponeavvuid ráhkadeamis , medias ja girjjálašvuođas jna. , hehtte oarjelsámi servodaga ovdánahttinbarggu , ja sáhttá maid dagahit ahte bargu oalát bisana .
	Oahpaheaddjit geain 	lea oarjelsámegiel máhttu váilot , ja váilevaš gelbbolašvuohta ollu eará surggiin nugo dutkamis , oahpponeavvuid ráhkadeamis , medias ja girjjálašvuođas jna. , hehtte oarjelsámi servodaga ovdánahttinbarggu , ja sáhttá maid dagahit ahte bargu oalát bisana .
