[lemma = "galgat"][msd = ".*Ill.*"]
Boađus: 1 160
Ovddit1
2
Čuovvovaš
Cealkkačájeheapmi
	Administrative texts –
Earret daid dáhpáhusaid maid artihkkala 35 nubbi lađas namaha , de 	galgá sámiide 	leat vejolaš oažžut dakkár ekonomalaš veahki maid dárbbašit ovdalgo sáhttet oažžut geahččaluvvot duopmostuoluin prinsihpalaččat deaŧalaš áššiid mat gullet dán konvenšuvnna vuoigatvuođaide .
Eiseválddit 	galget álbmogii 	ujuhuvvon diehtojuohkimis geavahit maiddái sámegiela .
Eiseváldi 	galgá dasa 	lassin skuvlema ordnemiin dahje eará doaibmabijuiguin fuolahit das , ahte bargiin lea dakkár sámegiela máhttu , maid eiseválddi barggut gáibidit .
Geasset 	galgá bohccui 	leat proteiidnavallji guohtun ( ruonasguohtun ) ja dálvet energivallji guohtun ( jeagil ) .
Go eai sáhte máhccat ruovttoluotta , de 	galgá sidjiide 	addit dan sadjái , juogo dakkár eatnamiid mat leat seammalágáš hámis ja rievttálaččat leat seammá buorit , dehe galget oažžut buhtadusa .
Dárkkistangoddi sáhttá mearridit ahte konvenšuvdnadivat 	galgá ollásii 	loahpahuvvot .
Geasset 	galgá bohccui 	leat proteiidnavallji guohtun ( ruonasguohtun ) ja dálvet energivallji guohtun ( jeagil ) .
Go eai sáhte máhccat ruovttoluotta , de 	galgá sidjiide 	addit dan sadjái , juogo dakkár eatnamiid mat leat seammalágáš hámis ja rievttálaččat leat seammá buorit , dehe galget oažžut buhtadusa .
Dárkkistangoddi sáhttá mearridit ahte konvenšuvdnadivat 	galgá ollásii 	loahpahuvvot .
Dán rádjái 	galggai suohkanii 	sáddet gáibádusa iežas čálihit sámi jienastuslohkui .
Dán rádjái 	galggai suohkanii 	sáddet gáibádusa iežas čálihit sámi jienastuslohkui .
Láhka 	galgá ássiide 	váfistit vuođđovuoigatvuođaid mat gusket sámegiela geavaheapmái .
Stáhta eiseválddiid ja Sámedikki gaskasaš ráđđádallanprosedyraid vuođul , lea Bargo- ja searvadahttindepartemeanta ovttas Sámedikkiin ceggen sámi statistihkkii fágalaš guorahallanjoavkku , mii jahkásaččat 	galgá departementii 	ja Sámediggái bidjat ovdan raportta .
Maiddái dán dáfus 	galget sápmelaččaide 	gávdnot fálaldagat ja dieđut iežaset gillii .
Evttohuvvo bidjat oppalaš čállosa kulturmuitolága § 23:i ahte lobi haga ii 	galgga olgoriikii 	fievrredit dáidagiid dahje kulturdávviriid mat leat dehálaččat Norgga kulturárbbi , dáidaga ja historjjá seailluheapmái , dutkamii ja gaskkusteapmái .
§ 14 , nubbi lađas dadjá ahte sámi luondduvuođđu 	galgá doarvái 	deattuhuvvot go mearrádus dahkkojuvvo luonddušláddjilágas dahje dan vuođul , ja dat čuovvu maiddái konvenšuvnnas siviila ja politihkalaš vuoigatvuođaid birra artihkkalis 27 .
Erenoamáš áigeguovdilat leat dat ruđat mat 	galget nannensurggiide 	giellabiras ja giellamovttidahttin .
Erenoamáš áigeguovdilat leat dat ruđat mat 	galget nannensurggiide 	giellabiras ja giellamovttidahttin .
Dakkár guovlluin gos leat sámi beroštusat , 	galgá dan 	lassin Sámediggi nammadit áirasiid .
Erenoamáš áigeguovdilat leat dat ruđat mat 	galget nannensurggiide 	giellabiras ja giellamovttidahttin .
Galgá unnimus lági mielde bievlan vuodjit meahccefievrruiguin ja 	galgá dan 	muddui go vejolaš vuodjit dihto máđijaid mielde .
Evttohuvvo bidjat oppalaš čállosa kulturmuitolága § 23:i ahte lobi haga ii 	galgga olgoriikii 	fievrredit dáidagiid dahje kulturdávviriid mat leat dehálaččat Norgga kulturárbbi , dáidaga ja historjjá seailluheapmái , dutkamii ja gaskkusteapmái .
Evttohuvvo bidjat oppalaš čállosa kulturmuitolága § 23:i ahte lobi haga ii 	galgga olgoriikii 	fievrredit dáidagiid dahje kulturdávviriid mat leat dehálaččat Norgga kulturárbbi , dáidaga ja historjjá seailluheapmái , dutkamii ja gaskkusteapmái .
Evttohuvvo bidjat oppalaš čállosa kulturmuitolága § 23:i ahte lobi haga ii 	galgga olgoriikii 	fievrredit dáidagiid dahje kulturdávviriid mat leat dehálaččat Norgga kulturárbbi , dáidaga ja historjjá seailluheapmái , dutkamii ja gaskkusteapmái .
Jus galgá oažžut sierra doarjaga sámi falástallamii speallanruđain mat 	galget falástallandoaimmaide 	, de lea eaktun ahte áigu seailluhit ja ovddidit sierralágan sámi falástallandoaimmaid .
Jus galgá oažžut sierra doarjaga sámi falástallamii speallanruđain mat 	galget falástallandoaimmaide 	, de lea eaktun ahte áigu seailluhit ja ovddidit sierralágan sámi falástallandoaimmaid .
Sámediggi oaivvilda ahte 	galggašii dasa 	lassin čađahit geahččalan- ja ovddidanbarggu dan ektui ahte dohkkejit go molssaektosaš oahpahusvuogit goappašiid skuvladásiide .
Sámediggi oaivvilda ahte 	galggašii dasa 	lassin čađahit geahččalan- ja ovddidanbarggu dan ektui ahte dohkkejit go molssaektosaš oahpahusvuogit goappašiid skuvladásiide .
Láhka 	galgá ássiide 	váfistit vuođđovuoigatvuođaid mat gusket sámegiela geavaheapmái .
Dán bargui ferte várret veaháš áiggi danne go arkiivabargit 	galget arkiivabargui 	lassin maiddái telefovnnaid gohkket ja bagadallat áššemeannudeddjiid , jođiheddjiid ja vuollásaš ráđid .
Mii 	galgat dasa 	lassin áššemeannudit politihkalaš dássái ja heivehit iešguđetlágán oktasašdoaimmaid dárbbu mielde .
Girjerádjo- ja diehtojuohkinossodat galgá doaimmahit sámi sierrabibliotehka ja doaibmat oktasaš diehtojuohkinossodahkan olles Sámediggái , ja 	galgá dasa 	lassin doaibmat Sámediggeráđi politihkalaš čállingoddin dakkár áššiin mat guoskkahit sin fágasuorggi .
Muđui de 	galgá Sámediggái 	addojuvvot vejolašvuohta deaivvadit nationála čoahkkimiin gos besset čilget iežaset oainnu dakkár áššiin main lea mearkkašupmi sápmelaččaide ( artihkal 18 ) .
Muđui de 	galgá Sámediggái 	addojuvvot vejolašvuohta deaivvadit nationála čoahkkimiin gos besset čilget iežaset oainnu dakkár áššiin main lea mearkkašupmi sápmelaččaide ( artihkal 18 ) .
Ovttaskas áššiid konsešunmeannudemiin 	galget árvvoštallanvuđđui 	gullat boazodoallu , sámi kulturmuittut ja eará sámi beroštumit .
Evalueren galgá geavahuvvot vuođđun earret eará árvvoštallat dan ahte 	galgetgo guovttegielatdoarjagii 	biddjojuvvot meroštallannjuolggadusat ja movt dat vejolaččat galggašedje doaibmat .
Dakkár guovlluin gos leat sámi beroštusat , 	galgá dan 	lassin Sámediggi nammadit áirasiid .
Muđui de 	galgá Sámediggái 	addojuvvot vejolašvuohta deaivvadit nationála čoahkkimiin gos besset čilget iežaset oainnu dakkár áššiin main lea mearkkašupmi sápmelaččaide ( artihkal 18 ) .
Dán bargui ferte várret veaháš áiggi danne go arkiivabargit 	galget arkiivabargui 	lassin maiddái telefovnnaid gohkket ja bagadallat áššemeannudeddjiid , jođiheddjiid ja vuollásaš ráđid .
Mii 	galgat dasa 	lassin áššemeannudit politihkalaš dássái ja heivehit iešguđetlágán oktasašdoaimmaid dárbbu mielde .
Girjerádjo- ja diehtojuohkinossodat galgá doaimmahit sámi sierrabibliotehka ja doaibmat oktasaš diehtojuohkinossodahkan olles Sámediggái , ja 	galgá dasa 	lassin doaibmat Sámediggeráđi politihkalaš čállingoddin dakkár áššiin mat guoskkahit sin fágasuorggi .
Ovttaskas áššiid konsešunmeannudemiin 	galget árvvoštallanvuđđui 	gullat boazodoallu , sámi kulturmuittut ja eará sámi beroštumit .
Ovttaskas áššiid konsešunmeannudemiin 	galget árvvoštallanvuđđui 	gullat boazodoallu , sámi kulturmuittut ja eará sámi beroštumit .
Ovttaskas áššiid konsešunmeannudemiin 	galget árvvoštallanvuđđui 	gullat boazodoallu , sámi kulturmuittut ja eará sámi beroštumit .
Departementa evttohii ahte lágas ii galgga njuolga mearriduvvot guđet suohkanat gullet sámegiela guovlui , muhto dan sadjái 	galgá gonagassii 	addojuvvot váldi mearridit guđet suohkanat galget gullat hálddašanguovlui .
Departementa evttohii ahte lágas ii galgga njuolga mearriduvvot guđet suohkanat gullet sámegiela guovlui , muhto dan sadjái 	galgá gonagassii 	addojuvvot váldi mearridit guđet suohkanat galget gullat hálddašanguovlui .
Dán bargui ferte várret veaháš áiggi danne go arkiivabargit 	galget arkiivabargui 	lassin maiddái telefovnnaid gohkket ja bagadallat áššemeannudeddjiid , jođiheddjiid ja vuollásaš ráđid .
Mii 	galgat dasa 	lassin áššemeannudit politihkalaš dássái ja heivehit iešguđetlágán oktasašdoaimmaid dárbbu mielde .
Orohatstivra 	galgá guovllustivrii 	addit dieđáhusa orohaga boazodoalu birra .
Muđui de 	galgá Sámediggái 	addojuvvot vejolašvuohta deaivvadit nationála čoahkkimiin gos besset čilget iežaset oainnu dakkár áššiin main lea mearkkašupmi sápmelaččaide ( artihkal 18 ) .
Stáhta eiseválddiid ja Sámedikki gaskasaš ráđđádallanprosedyraid vuođul , lea Bargo- ja searvadahttindepartemeanta ovttas Sámedikkiin ceggen sámi statistihkkii fágalaš guorahallanjoavkku , mii jahkásaččat 	galgá departementii 	ja Sámediggái bidjat ovdan raportta .
Stáhta eiseválddiid ja Sámedikki gaskasaš ráđđádallanprosedyraid vuođul , lea Bargo- ja searvadahttindepartemeanta ovttas Sámedikkiin ceggen sámi statistihkkii fágalaš guorahallanjoavkku , mii jahkásaččat 	galgá departementii 	ja Sámediggái bidjat ovdan raportta .
Erenoamáš áigeguovdilat leat dat ruđat mat 	galget nannensurggiide 	giellabiras ja giellamovttidahttin .
Evttohuvvo bidjat oppalaš čállosa kulturmuitolága § 23:i ahte lobi haga ii 	galgga olgoriikii 	fievrredit dáidagiid dahje kulturdávviriid mat leat dehálaččat Norgga kulturárbbi , dáidaga ja historjjá seailluheapmái , dutkamii ja gaskkusteapmái .
Evalueren galgá geavahuvvot vuođđun earret eará árvvoštallat dan ahte 	galgetgo guovttegielatdoarjagii 	biddjojuvvot meroštallannjuolggadusat ja movt dat vejolaččat galggašedje doaibmat .
§ 14 , nubbi lađas dadjá ahte sámi luondduvuođđu 	galgá doarvái 	deattuhuvvot go mearrádus dahkkojuvvo luonddušláddjilágas dahje dan vuođul , ja dat čuovvu maiddái konvenšuvnnas siviila ja politihkalaš vuoigatvuođaid birra artihkkalis 27 .
Stáhta eiseválddiid ja Sámedikki gaskasaš ráđđádallanprosedyraid vuođul , lea Bargo- ja searvadahttindepartemeanta ovttas Sámedikkiin ceggen sámi statistihkkii fágalaš guorahallanjoavkku , mii jahkásaččat 	galgá departementii 	ja Sámediggái bidjat ovdan raportta .
Dán rádjái 	galggai suohkanii 	sáddet gáibádusa iežas čálihit sámi jienastuslohkui .
Girjerádjo- ja diehtojuohkinossodat galgá doaimmahit sámi sierrabibliotehka ja doaibmat oktasaš diehtojuohkinossodahkan olles Sámediggái , ja 	galgá dasa 	lassin doaibmat Sámediggeráđi politihkalaš čállingoddin dakkár áššiin mat guoskkahit sin fágasuorggi .
Stáhta eiseválddiid ja Sámedikki gaskasaš ráđđádallanprosedyraid vuođul , lea Bargo- ja searvadahttindepartemeanta ovttas Sámedikkiin ceggen sámi statistihkkii fágalaš guorahallanjoavkku , mii jahkásaččat 	galgá departementii 	ja Sámediggái bidjat ovdan raportta .
Sámediggi oaivvilda ahte 	galggašii dasa 	lassin čađahit geahččalan- ja ovddidanbarggu dan ektui ahte dohkkejit go molssaektosaš oahpahusvuogit goappašiid skuvladásiide .
Orohatstivra 	galgá guovllustivrii 	addit dieđáhusa orohaga boazodoalu birra .
Dán rádjái 	galggai suohkanii 	sáddet gáibádusa iežas čálihit sámi jienastuslohkui .
Maiddái dán dáfus 	galget sápmelaččaide 	gávdnot fálaldagat ja dieđut iežaset gillii .
Maiddái dán dáfus 	galget sápmelaččaide 	gávdnot fálaldagat ja dieđut iežaset gillii .
Evalueren galgá geavahuvvot vuođđun earret eará árvvoštallat dan ahte 	galgetgo guovttegielatdoarjagii 	biddjojuvvot meroštallannjuolggadusat ja movt dat vejolaččat galggašedje doaibmat .
Dakkár guovlluin gos leat sámi beroštusat , 	galgá dan 	lassin Sámediggi nammadit áirasiid .
§ 14 , nubbi lađas dadjá ahte sámi luondduvuođđu 	galgá doarvái 	deattuhuvvot go mearrádus dahkkojuvvo luonddušláddjilágas dahje dan vuođul , ja dat čuovvu maiddái konvenšuvnnas siviila ja politihkalaš vuoigatvuođaid birra artihkkalis 27 .
Maiddái dán dáfus 	galget sápmelaččaide 	gávdnot fálaldagat ja dieđut iežaset gillii .
Departementa evttohii ahte lágas ii galgga njuolga mearriduvvot guđet suohkanat gullet sámegiela guovlui , muhto dan sadjái 	galgá gonagassii 	addojuvvot váldi mearridit guđet suohkanat galget gullat hálddašanguovlui .
Láhka 	galgá ássiide 	váfistit vuođđovuoigatvuođaid mat gusket sámegiela geavaheapmái .
Muđui de 	galgá Sámediggái 	addojuvvot vejolašvuohta deaivvadit nationála čoahkkimiin gos besset čilget iežaset oainnu dakkár áššiin main lea mearkkašupmi sápmelaččaide ( artihkal 18 ) .
Ovttaskas áššiid konsešunmeannudemiin 	galget árvvoštallanvuđđui 	gullat boazodoallu , sámi kulturmuittut ja eará sámi beroštumit .
Jođihit ja čuovvolit vuollásaš doaimmahusaid : Departemeanta 	galgá daidda 	mearridit ulbmiliid ja addit rámmaid , ja láidestit ja čuovvolit vuollásaš etáhtaid bohtosiid gustojeaddji lágaid ja njuolggadusaid vuođul ja politihkalaš láidestusaid vuođul .
Eará departemeanttat 	galget Ruhtadandepartementii 	ovddidit buot áššiid mat sáhttet váikkuhit stáhtabušeahta dahje Norgga ekonomiija goluide dahje dietnasiidda .
Dat galgá dahkkot ovdal ráđđehus meannuda daid áššiid , earet eará evttohusat stuoradiggedieđáhusaide , stuoradiggeproposišuvnnaide ja láhkaárvalusaide ( Odeldikki proposišuvnnaide ) mat 	galget Stuoradiggái 	.
Geavaheaddjifáttát leat fágaidrasttideaddji ja 	galget ohppiide 	oahpahit ceavzilis geavahusa , máidnosiid , neahtta márkanbáikkiid , persovnnalaš ekonomiija , ja dábálaš geavaheaddjirivttiid ja – geatnegasvuođaid birra .
Referánsajoavku 	galgá ekspeartalávdegoddái 	buktit árvalusaid dán barggu oktavuođas .
Ođastus 	galgá kultureallimii 	dagahit eanet fápmolávdadeami , buoret kvalitehta ja govdadit ruhtadeami .
Ođastus 	galgá kultureallimii 	dagahit eanet fápmolávdadeami , buoret kvalitehta ja govdadit ruhtadeami .
Fatnasa ovddasvástideaddji 	galgá bearráigehččui 	addit dan veahki ja daid dieđuid , maid dat dárbbaša .
Hálddašanorgána 	galgá sutnje 	fuomášuhttit dán .
eará diliide mat sierra árttaid geažil eai 	galggaše earáide 	muitaluvvot .
Hálddašanorgána mearrida dohkálaš áššemeannudeami ektui mo dokumeanttat 	galget áššái 	gulli beliide leat fidnemis .
Avžžuhusa mielde 	galgá beallái 	addit dokumeanttas nubbehusčállosa , čállosa dahje kopiija .
Go áššái gulli bealli lea dáhtton diehtit dokumeanttain maid son 18. § mielde beassá oaidnit , de 	galgá sutnje 	biddjojuvvot áigemearri goas galgá cealkámuša ovddidit , jus eará áigemearri ii leat biddjojuvvon 16. § olis dahje mearriduvvon áigi ii oro doarvái .
Jus ávžžuhus diehtit dihto dokumeanttain dahje dieđuin biehttaluvvo , de 	galgá beallái 	fuomášuhttit dan mearrádusa mii dasa lea vuođđun , ja čuvgehuvvot ahte sáhttá váidit nuppi lađđasa mielde .
Jus lea nággolága 437. § vuosttas lađđasa dahje eará láhkamearrádusa mielde eaktun áššečuoččaldahttimii ahte váidinvejolašvuohta lea geavahuvvon , dahje jus lea 437. § nuppi lađđasa dahje eará láhkamearrádusa mielde eaktun dárkkisteapmái duopmostuolus ahte áššečuoččaldahttin geavvá dihto áigemearis , de 	galgá beallái 	maid fuomášuhttot dán birra ja man guhkki áigemearri lea .
Go mearrádus rievdaduvvo áššái gulli beallái buorrin , de 	galget sutnje 	buhtaduvvot mearkkašahtti golut mat leat leamaš dárbbašlažžan rievdadit mearrádusa , earret dalle jus rievdadeapmi lea beali iežas dili dahje dakkár diliid geažil maidda bealli dahje hálddašeapmi eai sáhte váikkuhit , dahje jus eará erenoamáš dilit eai oro leame dan vuostá .
Jus mearrádus lea rievdaduvvon , de 	galgá beallái 	fuomášuhttojuvvot vuoigatvuohta gáibidit áššegoluid buhtaduvvot , jus ii leat jáhkkemeahttun ahte sus leat leamaš mearkkašahtti áššegolut dahje navdojuvvo ahte son dahje su doaimmaheaddji diehtá vuoigatvuođa birra .
Hálddašanorgána 	galgá sutnje 	fuomášuhttit dán .
eará diliide mat sierra árttaid geažil eai 	galggaše earáide 	muitaluvvot .
Hálddašanorgána mearrida dohkálaš áššemeannudeami ektui mo dokumeanttat 	galget áššái 	gulli beliide leat fidnemis .
Avžžuhusa mielde 	galgá beallái 	addit dokumeanttas nubbehusčállosa , čállosa dahje kopiija .
Go áššái gulli bealli lea dáhtton diehtit dokumeanttain maid son 18. § mielde beassá oaidnit , de 	galgá sutnje 	biddjojuvvot áigemearri goas galgá cealkámuša ovddidit , jus eará áigemearri ii leat biddjojuvvon 16. § olis dahje mearriduvvon áigi ii oro doarvái .
Jus ávžžuhus diehtit dihto dokumeanttain dahje dieđuin biehttaluvvo , de 	galgá beallái 	fuomášuhttit dan mearrádusa mii dasa lea vuođđun , ja čuvgehuvvot ahte sáhttá váidit nuppi lađđasa mielde .
Jus lea nággolága 437. § vuosttas lađđasa dahje eará láhkamearrádusa mielde eaktun áššečuoččaldahttimii ahte váidinvejolašvuohta lea geavahuvvon , dahje jus lea 437. § nuppi lađđasa dahje eará láhkamearrádusa mielde eaktun dárkkisteapmái duopmostuolus ahte áššečuoččaldahttin geavvá dihto áigemearis , de 	galgá beallái 	maid fuomášuhttot dán birra ja man guhkki áigemearri lea .
Go mearrádus rievdaduvvo áššái gulli beallái buorrin , de 	galget sutnje 	buhtaduvvot mearkkašahtti golut mat leat leamaš dárbbašlažžan rievdadit mearrádusa , earret dalle jus rievdadeapmi lea beali iežas dili dahje dakkár diliid geažil maidda bealli dahje hálddašeapmi eai sáhte váikkuhit , dahje jus eará erenoamáš dilit eai oro leame dan vuostá .
Jus mearrádus lea rievdaduvvon , de 	galgá beallái 	fuomášuhttojuvvot vuoigatvuohta gáibidit áššegoluid buhtaduvvot , jus ii leat jáhkkemeahttun ahte sus leat leamaš mearkkašahtti áššegolut dahje navdojuvvo ahte son dahje su doaimmaheaddji diehtá vuoigatvuođa birra .
Seammás 	galgá organisašuvnnaide 	dieđihit ahte áigemearri sáddet ođđa dieđuid dahje duođaštit daid válgii guoski dieđuid , mat leat logahallojuvvon organisašuvnna logahallanlávdegotti čoahkádusa birra , lea ođđajagimánu 2. b. válgajagi .
Vuođđoskuvlaoahpaheaddjeoahput 	galget kandidáhtaide 	addit nana fágalaš ja didáktalaš máhtuid , gealbudahttit sin atnit ávkin dutkama oahpaheaddjeámmáhis ja ámmátlaš ovdáneamis jeavddalaččat .
Dat ii mearkkaš ahte Sámedikkis lea vetoriekti , muhto Sámedikki oainnut ja posišuvnnat 	galget doarvái 	bures duođaštuvvot ja čielgasit ovdanboahtit dokumeanttain mat galget čuovvut ášši dassá go loahpalaš mearrádus lea dahkkon .
Buorit dieđut 	galget stivrejupmái 	, kvalitehtabuorideapmái ja dutkamii biddjot vuođđun .
- Mii 	galgat mánáidasamet 	guođđit eananspáppa mii lea unnimusat seammá dásis go dat leai go min váhnemat dan adde midjiide .
Ealáhusdieđáhusa 1 siidu Ovttaolbmofitnodagat 	galget ealáhusdieđáhussii 	čállit riegádannummara ( 11 logu ) , ja fidnut fas galget čállit organisašunnummara .
Eaiggáda // oassálasti guliid váldimat 	galget dasa 	lassin boahtit ovdan 2064 poasttas .
Oassesállaša maid girjedoallogeatnegas guolásteaddji oažžu eará heavsmánnis , 	galgá dása 	čállot .
0140 poasta Oston gálvvut vuovdima várás Jus eanadoalu , šaddogárddi , vuovdedoalu , náhkkeealliealáhusa dahje boa - zodoalu lassin jođihuvvo vel eará ealá - husdoaibma mas lea vuollil 30 000 kr gálvojohtu , de 	galgá dása 	čállot dat rájus mat leat oston gálvvut vuovdima várás .
Ii 	galgga dasa 	mielde rehkenastit iežas barggu árvvu fuođarbuvttadeamis , biebmamis ja divššus biebmama oktavuođas .
Maŋimuš namuhuvvon 	galgá 7700 	postii čállot gollun .
Ožžon buohcoruhta ii 	galgga dása 	čállot , muhto njuolga vearrodieđáhusa 1.6.3/1.6.4/1.6.3 ja 2.7.13 poasttaide .
0411 poasta Ossosiin fitnet Dušše vearrogeatnegas fitnet 	galgá dása 	čállot .
Vuoittu dat oassi mii dán jagis váldo boahtun , 	galgá dán 	postii čállot .
1.3 Ruovttoluottamáksin láigolaččain máŧasatno goluid jna. ovddas ( submi 	galgá bohtui 	biddjot )
Oktasaš vealggi vejolaš máksin ii leat geasusvuoigaduvvon , iige danne galgga leat dan supmis mielde mii 	galgá dán 	postii devdot .
Vuoitu go realisere šiehtadusa doallobiergasa oastimis , iige 	galgga dása 	čállot , muhto váldot realisašunjagis ollásit boahtun .
Jagáš massin e-i saldo joavkkuid doallobiergasiid realisašuvnnas , vrd. vuolidahttinskovi 109 poasttain Massin e-i saldojoavkku doallobiergasiid realisašuvnnas , 	galgá dása 	čállot .
Rehketdoalločállon golut dakkár objeavttain mat eai leat doaimmas leamaš anus , 	galget dása 	čállot .
Daid háviidge go livččii sáhttán meroštallat oktan , jus ii livčče 	galgan doaimmaide 	vástidit máŋggalágan máksomearrásaš oadjodivada , sáhttá ovttasordnet // ovddossirdit .
Jus realisašunmáksu guoská vel aktiiv - vaide mat eai leat čállon saldoi , omd. go lea vuovdán viesu viessosajiin , de ii 	galgga dása 	čállit mávssus dan oasi , mii gusto viessosadjái , muhto čuoldit sierra vuoitomeroštallamii .
Vearroloahpparehkega váidaga 	galgá vearrogáibideaddjái 	sáddet golmma vahkku siste maŋŋil go loahpparehkega leat ožžon .
Fuomáš vel ahte diimmáš árvu 	galgá dasa 	biddjot .
Finnmárkku fylkkagieldda áigumuš lea maid ahte fylkkagieldda neahttaođđasat 	galget sámegillii 	čállojuvvot .
Vuoi ovttaveardásašvuohta sáhtášii ollašuvvat , 	galgá dasa 	gullevaš eavttuid ja vejolašvuođaid váldit vuhtii virgeoapmahačča ráhkadan strategiijain , boađusulbmiliin , politihkalaš prográmmain , láhkaválmmaštallamis jna. .
Suohkanlága § 36-38 čuožžu ahte ” Jus galgá válljet 4 miellahtu dahje eanet , de 	galgá goappáge 	sohkabeali ovddasteapmi leat unnimusat 40 pst. daid gaskkas geaid válljejit .
Mii sáhttit maiddái gaskkohagaid rahpat mánáidgárddi árabut , jus váhnemat dárbbahit buktit máná árabut , mahká jus 	galget čoahkkimii 	dehe eará ákka dihte .
Vaikko lea moadde jagi ovddasguvlui ( ráva 	galgá ollásii 	váldon atnui 2015 rádjái ) , de sáhttá vuordit ahte ráva bidjá eavttuid das mot suohkanat doaimmahit válddi eanandoalloláhkaásahusaid mielde , ja vej .
