Veadjá leat nu , ahte olles ásahusas galgá vuhttot sámiid diliid 	adden 	ja gudnejahttin . ¶
Jus julggaštus ii joavdda gosa galgá , de ferte dat ođđasit lágiduvvot vahku sisa maŋŋil go son lea ožžon dan diehtevassii dahje berre leat 	adden 	dan dahje – jus álgoáigemearri lea oanehat – seamma guhkes áigái go dát áigemearri . ¶
Dat lea muitalus fitnodaga njunnoša birra gii lea 	adden 	ahte dearvvašvuohta , biras ja sihkkarvuohta lea dehálaš buot duhát fitnodaga ja lágideaddji bargiide , lágideddjiide – ja njunnošat fertejit čájehit beaivválaččat ahte dat lea sidjiide maid dehálaš . ¶
Ballan makkár váikkuhusaid vástádusat addet , ja dán mun 	adden 	. ¶
– Mun gal 	adden 	ahte muhtumat atnet dán vuoigatmeahttumin , lohká stáhtaráđđi . ¶
GOD sáhttá namalassii 	adden 	dan go Sámedikki jođiheaddjit eai leat reageren , ahte sii leat dorjon dán . ¶
Nu go digge lea 	adden 	ášši , de leat iešguđetlágan vejolašvuođat iešguđet fylkkain danne go gullá fylkkagildii láhččit máŋga beali ortnegis . ¶
Nu go diggi lea 	adden 	ášši , de leat iešguđetlágan vejolašvuođat iešguđet fylkkain danne go gullá fylkkagildii láhčit máŋga beali ortnegis . ¶
Nu go diggi lea 	adden 	ášši , de leat iešguđetlágan vejolašvuođat iešguđet fylkkain danne go gullá fylkkagildii láhčit máŋga beali ortnegis . ¶
Sámedikki oainnu mielde lea dárbu ráhkadit ođđa njuolggadusaid Finnmárkku stuorra luosriggodagaid birrage oro 	adden 	ahte boazodoalu earenoamáš dárbbut ja geavahanvuoigatvuođat ráddjejit mo meahcceriggodagaid sáhttá hálddašit . ¶
Danne doarju Sámediggi Sámi vuoigatvuođalávdegotti evttohusa addit ruovttoluotta bivdovuoigatvuođa olbmuide geat doaimmahit árbevirolaš lotnolasriggodagaid birrage oro 	adden 	ahte boazodoalu earenoamáš dárbbut ja geavahanvuoigatvuođat ráddjejit mo meahcceriggodagaid sáhttá hálddašit . ¶
Sámediggi lea maiddái 	adden 	Suodjalusministera miessemánu 31. b. . ¶
Mii leat 	adden 	barggu nu ahte galgá árvvoštallat meahcástanealáhusaid várás gealboguovddáža dárbbu . ¶
Nu maiddái dalle go sáhttá duođaštit ahte šiehtadallansáttagottit eai leat 	adden 	dahje ožžon diehtit dan birra ahte lea juo juksojuvvon ovttamielalašvuohta gaskal orohaga ja čearu guoskevaš áššiin mat leat meannuduvvon guovloprotokollas . ¶
Nu maiddái dalle go sáhttá duođaštit ahte šiehtadallansáttagottit eai leat 	adden 	dahje ožžon diehtit dan birra ahte lea juo juksojuvvon ovttamielalašvuohta gaskal orohaga ja čearu guoskevaš áššiin mat leat meannuduvvon guovloprotokollas . ¶
Nu maiddái dalle go sáhttá duođaštit ahte šiehtadallansáttagottit eai leat 	adden 	dahje ožžon diehtit dan birra ahte lea juo juksojuvvon ovttamielalašvuohta gaskal orohaga ja čearu guoskevaš áššiin mat leat meannuduvvon guovloprotokollas . ¶
Dát čájeha ahte geavaheaddjit eai soaitte leat doarvái bures 	adden 	evttohusaid . ¶
Gávcci fáddásuorggi leat válljejuvvon : Termináladikšu , Bávččasváidudeapmi , Árbevirolaš sámi dikšun , Fuolkevuohta , Reminiseansabargu , Dávvaid ja dearvvašvuođa 	adden 	, Borramuš ja biebmu // váilebiebman , Luohttámušduddjon . ¶
Sámegiela 	adden 	oktasaš árbin ja oktasaš árvun lea vuođđun dasa ahte atnit iežas gullevažžan sámi searvevuhtii . ¶
Sámegiela 	adden 	oktasaš árbin ja oktasaš árvun lea vuođđun dasa ahte atnit iežas gullevažžan sámi searvevuhtii . ¶
Mun jáhkán ahte Ole Henrik Magga lea sakka boastut 	adden 	. ¶
Sámediggi lea maiddái 	adden 	Suodjalusministera miessemánu 31. b. . ¶
Stáhta oahpahuskantuvra Norlánddas čilge skábmamánu 8. b. 2001 beaiváduvvon reivves Grane gildii , ahte gielda ferte leat boastut 	adden 	oahpahuslága ja daid geatnegasvuođaid maid dat bidjá ovttaskas gildii . ¶
Nugo mii leat 	adden 	, de ruhtaduvvo dát doaibma eará dábálaš fidnooahppo kanálaid bokte . ¶
Jearrat , ahte leat go 	adden 	riekta ? ¶
GOD sáhttá namalassii 	adden 	dan go Sámedikki joÜiheaddjit eai leat reageren , ahte sii leat dorjon dán . ¶
Nu go digge lea 	adden 	ášši , de leat iešguÜetlágan vejolašvuoÜat iešguÜet fylkkain danne go gullá fylkkagildii láh „ „ it má¹ga beali ortnegis . ¶
Nu go diggi lea 	adden 	ášši , de leat iešguÜetlágan vejolašvuoÜat iešguÜet fylkkain danne go gullá fylkkagildii láh „ it má¹ga beali ortnegis . ¶
Nu go diggi lea 	adden 	ášši , de leat iešguÜetlágan vejolašvuoÜat iešguÜet fylkkain danne go gullá fylkkagildii láh „ it má¹ga beali ortnegis . ¶
guovttegielatvuhtii , de leat sii 	adden 	ahte Sámedikki mielas dat lea ” ortnegis ” . ¶
Psyhkalaš váttuid 	adden 	sámi kultuvrras ¶
Dán lágan organiserema válljema birra lea unnán ságastallojuvvon ja plánaeiseválddit leat das unnán 	adden 	. ¶
Kulturmuittut čájehit movt sámit leat 	adden 	eanadaga ja luonddu , ja eanadaga ja luonddu mearkkašumi ekonomalaš , sosiálalaš ja oskkoldat beliide . ¶
Sámediggi lea 	adden 	nu ahte áššeoasálaččaid gaskka lea ovttaoaivilvuohta das ahte Sámedikki sajádat ii galgga láivuduvvot . ¶
Dát sáhttá mearkkašit vástideaddjit eai leat 	adden 	jearaldaga , ja menddo ollu leat vástidan ahte ii miige leat jorgaluvvon . ¶
Birrasa , kultuvrra ja máhtolašvuođa gaskasaš oktavuođa 	adden 	leat deaŧalaš oasit ceavzilis ovdáneami doahpaga áddemis . ¶
Mis lea nana jáhkku dasa ahte Sámedikki cealkámuš ja bargu muđui lea okta dain deaŧaleamos ákkain go Stuorradiggi lea 	adden 	ahte Ráđđehusa evttohus ii sáhte meannuduvvot almmá stuorra rievdadusaid haga . ¶
- Fylkkamánni lea 	adden 	boastut mohtorfievrruiguin meahcis vuodjima láhkaásahusa rievdadusaid . ¶
Mun 	adden 	bures dan ákka ahte fápmolinnjá Ofuohtas Hámmárfestii , Báhccavuona bokte , nannešii fápmolágidansihkarvuođa Romssas ja Finnmárkkus . ¶
Sii leat vuhtii váldán ahte Sámediggeráđđi ii áigon miehtan sin váidagii , ja sii leat go leat geahčadan iežaset prošeaktaválddahallama ollásit 	adden 	dan . ¶
Vearbbat ja eará dakkár sánit , maid 	adden 	govaid mielde sáhttá leat váttis , leat lasihuvvon girjji lohppii sátnelistui . ¶
Vearbbat ja eará dakkár sánit , maid 	adden 	govaid mielde sáhttá leat váttis , leat lasihuvvon girjji lohppii sátnelistui . ¶
Vearbbat ja eará dakkár sánit , maid 	adden 	govaid mielde sáhttá leat váttis , leat lasihuvvon girjji lohppii sátnelistui . ¶
” Eat leat goasge 	adden 	doaibmat ovttas oktan álbmogin . ¶
Su sánit čoahkkima rahpansáhkavuorus buktet bures ovdan jagi 1917 čoahkkima ulbmila : ” Eat leat goasge 	adden 	doaibmat ovttas oktan álbmogin . ¶
” Eat leat goasge 	adden 	doaibmat ovttas oktan álbmogin . ¶
Su sánit čoahkkima rahpansáhkavuorus buktet bures ovdan jagi 1917 čoahkkima ulbmila : ” Eat leat goasge 	adden 	doaibmat ovttas oktan álbmogin . ¶
Earru eará sámegielaide lea nu stuoris , ahte ránnjágielaidge 	adden 	gáibida hárjánumi . ¶
Earru eará sámegielaide lea nu stuoris , ahte ránnjágielaidge 	adden 	gáibida hárjánumi . ¶
Mu eatnigiella lea suomagiella , ja máhtánge nuortalašgiela dušše muhtun cealkaga veardde , muhto 	adden 	giela vehá eanet go hálan . ¶
	Aššu – ¶
Bealistan jáhkán juste dien leat nisson politihkkáriid gievravuohta - ahte duostat leat rehálaččat maiddái de go fuobmá ahte son gusto ii leat ášši viidodaga 	adden 	. ¶
- Eat 	adden 	Bargiidbellodaga joavkojođiheaddji Magnhild Mathisen dovddaha ahte sii meannudedje preassadoarjja ášši beare oktageardánit . ¶
Eai 	adden 	ahte maiddái eará dáru aviissat go Ságat fáhkka sáhttet ohcat seamma doarjaga , ja nu dahkat sámegiel aviissaid heahtedillái . ¶
- 	Adden 	vuostehágu Nuccio čuovvu maid mielde norggabeale vuoigatvuođa nákkuid . ¶
- Lean lohkan Leastadiusa oskku birra , ja 	adden 	das lea ain stuora sadji din oskku eallimis . ¶
	Adden 	bures - Stáda áššeovddideaddji Lars Fuse lohká iežas hui bures áddet makkár dovddut Ánne Ristiinnás ja su bártnis leat . ¶
Muhto in mun dalle 	adden 	- in nagodan jurddašit . ¶
Dan ášši in dalle vel riekta 	adden 	. ¶
Nu lean mun 	adden 	. ¶
– Fylkkamánni ii leat 	adden 	Sámelága ulbmila ja dan válddi ja ovddasvástádusa maid dat addá . ¶
Leat 	adden 	ahte dás soaitá šaddat mearkkašupmi maiddái midjiide , dadjá Guovdageainnu suohkana sátnejođiheaddji Anton Dahl . ¶
In 	adden 	dalle , manin son lei mu Áŋŋelii vierroolbmuid lusa guođđán . ¶
	Avvir – ¶
Norgga stáhtas lea čielga geatnegasvuohta buhtadit gildii , nu mo mun 	adden 	, čilgii Porsáŋggu Lillebo . ¶
– Go lea sáhka jávkama birra goas mánás lea leamašan ealáhuspermišuvdna , de ii gula ášši midjiide , ja mun 	adden 	bures daid váhnemiid geat dáinna ballájit , vaikko dan ii livčče dárbu dahkat , dadjá Hætta Ávvirii . ¶
Áddejupmi – 	Adden 	gal olbmuid geat sávvet lasi bargosajiid , muhto ii sáhte muhtun ealáhusas váldit birgejumi eret nuppi ealáhusa ceggemii , oaivvilda Gaup gii ballá dat dáhpáhuvvá jus ruvkedoaimmat bohtet sin guođohaneatnamiidda . ¶
– 	Adden 	bures ahte ferte hástalit NSR miellahtuid , go oaidná man bures mii stivret sámepolitihka dál , loahpaha Valle . ¶
Nu mo son lea 	adden 	, de galget sii geat alkohola guossohit , leat ollesolbmo agis . ¶
– Mun 	adden 	bures ahte badjeolbmot leat rašis dilis dál , ja mii bargatge buot mii min fámus lea , oažžun dihte jođánis vástádusa direktoráhtas , muitala Lutnæs . ¶
– Mun 	adden 	sámegiela , muhto in duostta hállat , vaikko skihpárat hástalit mu sámástit . ¶
Mun 	adden 	sin dan láhkai ahte sii dohkkehit Aud Marthinsena groava čuoččuhusaid , lohká Pedersen . ¶
– Mun 	adden 	gal jus Henriksen háliida eará bargat , go lea oalle olu bargu leat stivrajođiheaddjin , muhto lea mu mielas váivi go son lea geassádan , lohká son . ¶
Garrasit roasmmohuvvan Sparbo muitala iežas dakkaviđe 	adden 	ahte dievdu lei garrasit roasmmohuvvan , go ii nagodan lihkastit , ja go ámadeadju lei visot varranaga . ¶
Imaš Nu mo Fiskeribladet gáldu lea 	adden 	, de ii ásahuvvo ođđa mearraguolástus Finnmárkkus , iige sierra guolástusrádjá ja iige ođđa bivdu hálddašanásahus Finnmárkui , nu mo Riddoguolástanlávdegoddi lei árvalan . ¶
– Mun 	adden 	ahte badjeolbmot min guovllus eai huikke nu garrasit dili birra , go dat han sáhttá čuohcat sidjiide maŋit áiggis . ¶
– Olbmot eai leat oadjebasat go dearvvašvuođabargit eai oro áddemin sin , ja go iešge eahpidit leago ieža riekta 	adden 	, dadjá ráđđelahttu Ellinor Marita Jåma ja lohká sámi dearvvašvuohta dárbbaša eambbo sámegiel oahppan olbmuid . ¶
Dalle in 	adden 	dahje fuomášan gokko manai ámmátlaš ja priváhta olbmo rádjá , lohká Jørn Hoel ja jáhkká Norgga álbmogii lea váttis oaidnit dán rájá go dat lea nu báidnon amerihkkálaš virrui . ¶
Vearrámus su mielas lei go ii 	adden 	dárkilit lohkat buot báhpáriid ja šiehtadusaid maid musihkkamáilbmi sutnje geigii . ¶
– Mun in 	adden 	maidege ovdal go girdišilljui bođiimet , go dalle easka mu dalá eamit logai ahte eaba áiggo fárrui vuolgit . ¶
In dalle vuos 	adden 	ahte dát lei loahppa lihkolaš bearašeallimii , čilge váivvis Reinås . ¶
– Nugo mun lean 	adden 	de leat sii hui mielas deaivat min , muhto mii eat leat vel ožžon vástádusa goas , sii fertejit vuos gávdnat áiggi dasa , diehtá Hætta . ¶
Eai leat gulahallan Simensen lohká sivvan dasa go eai leat heakkahuhttán bussá , lea ahte sii eai leat gulahallan riekta , ja ahte eai leat 	adden 	makkár dilis bussá ja eaiggádat leat . ¶
– Mun gal hirpmahuvven , inge vuos 	adden 	maid hálai go cuiggodii buoiddes olbmuid . ¶
Nu go ahte manin mun ledjen lohkan iežan vuosttaš cealkámušas ahte ii leat heahtedilli , dáinna cealkámušain ledjen veahá lihkoheapme , go dien leat ollugat 	adden 	boastut . ¶
– Mun dieđusge 	adden 	go olbmot heađásnuvvet , muhto mii bargat maid sáhttit áššiin , ja ii mihkkege leat vuos heitojuvvon , lohká Johansen . ¶
Gulluiga vel juoidá huikkádeame ovdal go vuoddjájin , muhto in 	adden 	máid dajaiga . ¶
Gulluiga vel juoidá huikkádeame ovdal go vuoddjájin , muhto in 	adden 	máid dajaiga . ¶
Mun in leat goasege oaivvildan ahte son ii leat šat bargoagis ja dan mun gal šállošan jus dan lea 	adden 	, dadjá Egil Olli . ¶
	Adden 	olusat leat juo geavahišgoahtán dán , joatká Olli . ¶
– Mun measta hásttán buot nuoraid fas vuolgit sullui , muhto 	adden 	maid jus muhtumiidda lea lossat vuolgit ja lea áibbas ortnegis doallat gaskka moadde jagi , muhto jáhkán ahte šaddá buorre fas máhccat ruovttoluotta ja oaidnit ahte sullos lea ráfi , deattuha son . ¶
Mun lean 	adden 	mii lea geavvan , muhto in nagot gávnnahit manin , muitala son . ¶
– Lean 	adden 	mánás lea vuoigatvuohta oažžut diimmu doaktáris . ¶
– Jus dat lea plánen maid sii vásihit váttisin , de mun 	adden 	dan , go dat lea váttis . ¶
Mun 	adden 	bures ahte nuorat beahtahallet , go dan lean ieš maid dál , lohká Skanke , gii oaivvilda ahte logaldallama ja eará eastadeaddji doaimmaid berrešii gielda vuoruhit . ¶
Muhto lean 	adden 	ahte mu klieanta lea beahtahallan bohtosa dihte , dadjá Biti . ¶
Dás lohká Andersen sin čálli leat várra boastut 	adden 	ahte Utsi lea jearahan dán čavčča njuovvamiin . ¶
Nu mo mun lean 	adden 	dáinna musihkkabuktagiin , lea ahte galgá leat vejolaš dan lávlut iešguđet láhkai . ¶
Loahpas lohken « Jeg forstår » go in 	adden 	maid oaivvildedje ja maid galgen dahkat , coggen dálkasa lupmii ja mannen ruoktot , lohká Per Tor Turi . ¶
Apotehka Sámi bargit ledje 	adden 	ahte Turi áddii . ¶
– Jo , mii leat 	adden 	ahte sihke politiijabálvás , ja nisus leat mánát , muitala politiija . ¶
	Adden 	dan mađe suomagiela ahte guokte vuola fidnen , muhto in golbma , lohká Kjell Østmo loahpas . ¶
Mun lea 	adden 	Evas ja Liss Heidis ahte Silje guovttos irggiin čuovvuba mielde mo golgodávda leavvá . ¶
– Eai leat dievva duoddara Son lea 	adden 	ahte leat muhtin jávrrit gos báikkálaččat leat gáržžiduvvon eará guovlu olbmuiguin . ¶
Ártet go leat geargan Sii maiddái mieđihit ahte eai leat vuos áibbas 	adden 	ahte guhte jagi oahppu lea gearggehuvvan . ¶
– Lea ártegis dovdu dál go leat geargan , eat leat vuos áibbas 	adden 	dan , muitalit nieiddat . ¶
– Mii balaimet ahte lei kloáhkka , ja dan eat livčče 	adden 	, go dat ii láve geavvat earágo giđđat muhtumin . ¶
– Mun dovddan ahte in lean riekta gearggus vuolgit ná guhkás , ja ná oanehis dieđuin , ja boađán gal varra áiggi golahit ovdal go duođaid 	adden 	ahte mun galggan dáppe orrut , gitta 2010 rádjai , finakeahttá ruovttus , dadjá Kirsti , ja čilgesta ahte sii geat bohtet eará riikkain , eai oaččo lobi fitnat ruovttus , go dat sáhttá dagahit ahte eai šat boađe ruovttoluotta skuvlii . ¶
– Hernes lea nagodan daid hástalusaid maid lei ožžon , muhto mun 	adden 	hui bures ahte jus šaddet stuimmit dán dáidaga birra , lohká sátnejođiheaddji Frank Ingilæ . ¶
– Nu mo mun lean 	adden 	de leat eará njuovahagat bissehan njuovvama , muhto mii eat leat dárbbašan bissánit , muitala son . ¶
– Dát iežasoassi máksingáibádus guoská sutnje gii leamaš sahtedohko báŋkokoarttain , nu mo mun lean 	adden 	dan , lohká DnB Kárášjoga ossodathoavda , Karl Arne Larsson . ¶
daid báhpáriid mat heaŋgájedje távvalis , ja 	adden 	gal ovtta láhkai manin gávpi gárttai diehtojuohkintávvala eret váldit ja lea váidalahtti , muhto ii han dat livčče gal stuorra ášši gávpái bidjat kamera dien seainni guvlui , mas oidnet mii doppe dáhpáhuvvá , ja livččii maid eastadan vearredaguid , oaivvilda Trond Henriksen . ¶
Mun 	adden 	gieldda sosiálakonsuleanttas Ragnhild Varsi Dahlas ahte lea ain guovtti jahkái bušeahtas ruđat , muitala diakona , Leif Petter Grønmo . ¶
– Go bussá bođii ruoktot , de in dalle gal 	adden 	jurddašit ahte albbas lea geahččalan gáskkašit bussá . ¶
– 	Adden 	Kárášjoga skuvla . ¶
– 	Adden 	moaitaga Thoralf Henriksen ádde bures go Goahtegearrega ovddeš stivralahtut atnet unohassan go vearroeiseválddit leat sin gohččon maiddái čoahkkimii . ¶
– Dan gal 	adden 	bures , muhto in oba leatge diehtán ahte Brønnøysundregistarii galgá dieđihit álot go stivra lonuhuvvo . ¶
– Ii leat hálbi jus bearrašis leat máŋga ollesolbmo ja máná geat háliidit oaggut , ja 	adden 	bures jus váhnemat garvvihit mánáid eret jogain , dadjá Bakkevold , ja čujuha dasa go mánát devdet 16 jagi , de šaddet máksit ollesolbmo hatti . ¶
Mun 	adden 	digaštallama nu ahte máŋggas geat dasa servet dadjet earáin dakkár oainnuid mat dain eai oba leat ge . ¶
Juos lean 	adden 	riekta , de Norgga beale skuvllat eai suitte oastit materiálaid . ¶
– 	Adden 	jus muhtumat dovdet eahpesihkarvuođa almmuheames dáin áššiin , go gievrras fitnodagat sáhttet buktit áitagiid mat váikkuha viidábut go dušše alcces , muhto olles sámi ealáhussii . ¶
Ja Sámedikkis eai leat vuoruhan diekkár máhtu gáhttema eaige oro 	adden 	duođalaš dili obanassiige . ¶
Dikšárin leigga guokte buiga rivgu , geat eaba 	adden 	maidige maid almmái hálai , eaba máhttán eará go do mulggastallat sutnje ja láidet su hivssegii . ¶
Mu dieđu mielde ii leat Luonddugáhttenlihttu , fylkka dásis dahje riikkadásis , dahkan makkárge mearrádusa maid sii dás oaivvildit , muhto nie go Elgvin lea cealkán , de 	adden 	bures ahte sihke lohkkit ja journalisttat dulkojit dát lea Luonddugáhttenlihtu oaidnu . ¶
Sánit čujuhit , jus guldaleaddji ii leat vel dassážii 	adden 	, ahte CD galgá du guovtteguolbmánis // sevdnjesvuođa dovdduide čuohcit . ¶
Olles mánnačora čoahkkana gaivát vilgesliikkaga , nuba 	adden 	ábegáhtu dovddu ! ¶
– 	Adden 	ahte olbmot boarásmuvvet eaige šat veaje lágidit dákkár doaluid . ¶
Muhto dán beakkálmasvuođas eai 	adden 	nuorra gánddažat vuos álggos maidege , himáhallá Boine . ¶
Áddemeahttun preassadieđáhusas 03.09.08 sivahallá Bargiidbellodaga Hilde Nyvoll mu sihke boastut 	adden 	ráđi dieđáhusa sámi ásahusaid birra ja ahte mun beroštan proseassas eambbo go politihkas . ¶
Gánddaid áhčči ii 	adden 	maidege manin gándda guovttos leaigga nu jegolačča olles adveanta , eabage vuorjan ovttage háve das maŋŋá . ¶
Mii leat gullan ahte sámi boarrásat eai leat ožžon juhkamuša , go buohccidivššárat eai leat 	adden 	ahte sii dáhttut čázi . ¶
Seammás ferten dadjat leat balddihahtti go NRK hoavda ii leat vel 	adden 	daid garra cuiggodemiid maid dát prográmma lea mielddisbuktán , cealká sámediggeáirras Gunn-Britt Retter NSR ruovttusiiddus . ¶
Eaige máŋgasat 	adden 	ahte álbmot lei vásihan máŋgga geardde eanet vašálaččaid guovllus go sii ieža . ¶
Hansen lohká Breivika boastut 	adden 	su , go áigumuš leai dušše čájehit Sámedikki heajos giellanjuolggadusaid . ¶
– Mun livččen 	adden 	jos jurie livččii ákkastallan ja lohkan ahte luohti ii doala dási , muhto mun reageren issorasat go oaivvildit ahte luohti ii leat árbevirolaš , dadjá behtton Aslak Krokmo . ¶
– Son dáidá leat boastut 	adden 	, dahje juo lea Ávvir doaimmaheaddji su boastut adden , dadjá Aslaksen ja čujuha baicce Ávvira váldit oktavuođa Finnmárkku guvlludárkkisteaddji IKSa hálddašandárkkisteddjiin Yngvar Mækælæ:in . ¶
– Son dáidá leat boastut adden , dahje juo lea Ávvir doaimmaheaddji su boastut 	adden 	, dadjá Aslaksen ja čujuha baicce Ávvira váldit oktavuođa Finnmárkku guvlludárkkisteaddji IKSa hálddašandárkkisteddjiin Yngvar Mækælæ:in . ¶
– Ii oktage dain stuorra dáiddamuseain Norggas , Suomas , Ruoŧas ja Danmárkkus leat 	adden 	makkár erenomáš fálaldaga sii leat ožžon . ¶
Mun 	adden 	ahte oktii sáhttá dahkkot juohke sajis boasttuvuohta , ja jáhkken ahte NAV divvu boasttuvuođa ja doallá nuppe mánu rievttes vearroproseantta ja máksá máid ruovttoluotta máid leat doallan beare ollu , muitala Rita Solbakken . ¶
– 	Adden 	bures dán , ja lean bivdán Dag T. Elgvina šállošit . ¶
Dás lohká Andersen sin čálli leat várra boastut 	adden 	ahte Utsi lea jearahan dán čavčča njuovvamiin . ¶
Ieš lean 1,5-gielalaš , 	adden 	sámegiela , muhto in máhte hállat sámegiela . ¶
– Nu go mun lea 	adden 	Trosten lohkkiid čállosis , de ii son gáibit duođaštusaid , muhto máid dal de gáibidaš de in vuolgge mun dál kommenteret maide ge , vástida Muladal go Ávvir sutnje riŋge . ¶
– Mii leat gullan ahte sámi boarrásat eai leat ožžon juhkamuša , go buohccidivššárat eai leat 	adden 	ahte sii dáhttut čázi . ¶
Nu mo mun lean 	adden 	dáinna musihkkabuktagiin , lea ahte galgá leat vejolaš dan lávlut iešguđet láhkai . ¶
Krokmo lohká Johansen orui áddemin man birra lei sáhka vaikko ii 	adden 	teavstta . ¶
Vaikko Åse Kleveland ii lean 	adden 	man birra lei sáhka , muitalii Ávvirii , de finai son hui hui vuohkasit giitimin Krokmo juoigama ovddas . ¶
Soai leaba oahpásnuvvan ollu olbmuide sudno ustibiid bokte geat leat fárren Helssegis Gáregasnjárgii ja beassaba báikkiide gosa muđui eaba livčče 	adden 	mannat . ¶
– Nu go mun 	adden 	de eai leat mis skuvllat dás láhkosis ja eat rihku lágaid , jos eat sádde mánáid eará skuvllaide , lohká son . ¶
– Mun 	adden 	gielda ráhččá , ja danin ráđđehus boahtte jagi bušeahtas juolluda golbma miljovnna ruvnno lassin Porsáŋgu gildii , logai Stoltenberg . ¶
Dávjá gáhččen olggobeallái ságaid , Erenoamážit muitán NBR čoahkkimin go dávjá čužžon okto , inge 	adden 	man birra hálle dárogielagat , muitala eallilan politihkar , gii lea moanat jagiid maiddái čohkkán Kárášjoga gielddastivrrain . ¶
– Mun 	adden 	frustrašuvnna ¶
– Dan mun 	adden 	bures . ¶
– 	Adden 	ahte Ávvira lohkkiide lea fuolkevuohta dehálaš . ¶
– Go in 	adden 	bivdit bálkábajádusa 150 % Niilo reaškkiha . ¶
Nuoraidskuvllaoahppi Sunná Länsman mielas leat ollesolbmot boastut 	adden 	, go čuoiganluopmu mearkkaša ahte lea luopmu čuoigamis . ¶
Ipmil ráŋggáštii sin sehkkemiin sin áidna giela nu ahte sii eai šat 	adden 	guhtet guimmiideaset . ¶
Mun 	adden 	orohaga ja luonddugáhttensearvvi reakšuvnnaid hui bures . ¶
Ovtta láhkai lei álki áddet olbmuid lihkkama , muhto dat , ahte miellačájáhusat vuostálaste namalassii Israela manai áibbas endorii ja čájehii , ahte olbmot leat ožžon jogo boasttu dieđuid kriissa sivain dahje eai leat 	adden 	Lahka-Nuortti diliid olláge . ¶
Das ferte gii nu leat boastut 	adden 	. ¶
Muhto dalle son ii oro 	adden 	ráđi luonddugáhttenpolitihka , go ráđđi han áigu ráddjet bievlavuodjima buohkaid dihte sámeservvodagas , nu ahte luondduresurssat vižžojuvvojit dušše dalle go lea dárbu . ¶
Mun in 	adden 	dárogiela , inge máhttán hállat giela . ¶
Inge jáhke ahte Niemel- Ándege livčče 	adden 	manin galgá oppanassiige muitalit jus lea fidnen guoli . ¶
Dán leat maiddái sámi politihkkárat 	adden 	. ¶
Máŋgii vástida gánda nu mo son ii goassege livččii 	adden 	jurddašitge . ¶
Eatge 	adden 	ahte boazoealáhus maid lei seamma dehálaš ealáhus go guolástus ja ruvkedoaibma . ¶
Dan ii sáhte 	adden 	eará áitán sátnejođiheaddji bealis , mii min oainnu mielde ii leat duddjon buori suohkana ja váhnemiid gaskkas . ¶
– Lea hui dehálaš oažžut DSF dávviriid deike museai , danin go mii leat 	adden 	dáppe leamaš DSF hui dehálaš ásahus máŋgalogi jagi . ¶
