Danin báhce sápmelaččat dávjá 	čohkkát 	iežaset guollehivvodagain
Dalle mii oažžut diehtit geat bohtet 	čohkkát 	stivrras , gii válljejuvvo stivraságadoallin , geat nammaduvvojit čoahkkinjođihangoddái ja gii válljejuvvo ođđa ságadoallin Sámedikkis .
	Aššu –
Ja go dasa lassin oažžut tsara Biehtáris ( Egil Keskitalo ) dakkár somás ja olmmošeaddjás gova , lea dušše suohtas 	čohkkát 	geahččin .
Mu ovddabealde vuodjá skutter man reagas 	čohkká 	Børre Knudsen , gii aitto lea vihahuvvon bisman - maiddái midjiide .
Nu ii leat , ja šaddá váttis 	čohkkát 	ovttas ovdal go Guovdageaidnu oažžu ođđa báhpa .
Ja go geahččá mot dát vuoddji 	čohkká 	reagas , de várra oaidná juo ahte son lea vuosttaš geardde vuodjimen herggiin .
Dadjala son ja dovddaha ahte son ii láve nagodit hupmat olbmuiguin eara diibmobeali , ja mun lean juo su luhtte 	čohkkán 	ja guldalan su muittašemiid máŋga diimmu .
Ledje doppe 	čohkkámen 	ja boalddašeamen primusa .
Nissonolbmot eai leat goassege dušše risttásgieđaid 	čohkkán 	.
- Oaččun go molssodit , jearrá Smirre hoteallabargis , ja nuollagoahtá biktasiid - ii son beroš vaikko 	čohkkán 	das .
Son ii diehtán gii diet nissonolmmoš lea gii 	čohkká 	olgeš ravddas .
Lea son gii 	čohkká 	mu imi , Margrethe Hætta olgeš bealde govas .
Son 	čohkká 	biebmolihti guovdu , dattege ferte vuollegaččat jearrat guovddáš eiseválddiin heahteveahki .
Go bohten sisa , lei áhčči 	čohkkáme 	gievkkanis láhkagirjjiin .
Dego buđet Guhkes kánturfeaskáriid siskkimušas ; girjelána duohken , 	čohkkáda 	ieš ja dearvvaha mojiin go lávken sisa .
Go olmmoš 	čohkká 	áivve datamašiinnaiguin , de sáhttá gáidat albma eallimis - ja massit luondduin oktavuođa .
Dujiid lei son ráhkadan dalle go 	čohkkái 	giddagasas Akershusas .
Muhto mu ovddabealde 	čohkká 	olmmoš geas vuhtto nanu ja oadjebas sámi identitehta .
Danin 	čohkká 	son baica čierastangielkás ja stunže stánžži .
Nubbi meallu siivožit , nubbi fas 	čohkká 	jaskka ovddabealde .
Su balddas 	čohkkái 	bellodathoavda Kristin Halvorsen , gii orui leame ovtta oaivilis Balloin .
Ja duođas , go bohten sisa oidnen Biret Iŋggá 	čohkkámen 	akto beavddis .
– Mun ferten dovddastit ahte mus leat seammalágan dovddut dutnje , jotken mun go nieida ain 	čohkkái 	jávohaga .
Beasai eret noađis Son 	čohkká 	mealgat .
Ii leat ávki dušše 	čohkkát 	ja vuordit ahte turistat galget ieža bisanit Lákkovutnii .
Ledje oanehaš mátkkoštan go deive njuvčča 	čohkkáme 	bálgá guoras .
Go son ollii stuoraluddii fuobmái son iežas dan ádelhearrá gii 	čohkkái 	geađgge nalde ja borgguhii nu ahte lei dego mierká su birra .
Doppe son 	čohkkái 	dál .
Njoammil 	čohkká 	muohtagoađis ja galbmo .
– Mii eat nákce šat 	čohkkát 	klássálanjas beaivvi beaivvi maŋis , lohká klássa ovdaolmmoš Frank Ole Vars
– Mii eat nákce šat 	čohkkát 	klássálanjas beaivvi beaivvi maŋis , lohká klássa ovdaolmmoš Frank Ole Vars
Guhká 	čohkká 	Máret-áhkku iđđesgáfegohpuin ja jurddahallá .
Sávan ahte mii galgat ovttas vánddardit ja girkus 	čohkkát 	, eat ge guorahallat earáid suttuid .
Nu go diiddat , namma-addin , gáibmevuohta ja movt goađis galgá lahttet , ja gokko ii oaččo 	čohkkát 	.
Fanasvuođus orui gávdnomin juohkehažžii juogalágan 	čohkkánansadji 	.
Guossit 	čohkkánedje 	buot golmmá beavdde gurrii , ja boradišgohte .
Álggos girkus 	čohkkát 	moadde diimmu , ovdal de vuolgit headjavissui .
Go de beassážat ilbmet eai leat mus šat návccat messostallat , 	čohkkán 	baicca ruovttus ja geahčan TV ja guldalan radio .
Mun lean álgán čoaggit namaid , vai beassat vuolgit sátnejođiheaddji kantuvrii ja 	čohkkát 	doppe dassážii oažžut lohpái albma veahki suohkana bealis .
VITS:Nuorra olmmái lei 	čohkkámen 	busses go álggii hirbmadit geahččat ovtta niidii .
Ii ábut 	čohkkát 	ja vuordit čovdosa .
Go ledjen dan earána gálgan , lei mu sajis eará olmmoš 	čohkkámen 	.
Dál son ii lean okto 	čohkkámen 	, muhto ledje baicca guokte ovttalagan áhku bálddalaga .
Eat mii dán boares láđus goit gilla 	čohkkát 	go roassu boahtá !
Dat leat maid oasit boazodoalus , vaikko it leat 	čohkkáme 	ealloravddas .
Son 	čohkkái 	ja doalai Geliinna birra čeabeha ja dovddai ahte orui lihkolaš .
Hætta maiddái lea Sámediggeáirras , ja 	čohkká 	Sámediggeráđis .
Son lohká ahte boazodoallu goariduvvo , ja ii oainne ávkki 	čohkkát 	stivrras boazodoalu ovddas , nu guhká go eai váldde boazodoalli oainnuid vuhtii .
Vággegura olmmái , gii Nábárdálu boanddain lei riidalan áiddi birra , 	čohkkái 	beaŋkkas ja lei šaddan ovttaoaivilii Duriin dien áiduma birra .
Gurut bealde 	čohkkáda 	Marit Buljo Kongsvik ja su buohta čohkká ges Karen Inga Buljo Skum .
Gurut bealde čohkkáda Marit Buljo Kongsvik ja su buohta 	čohkká 	ges Karen Inga Buljo Skum .
Gudnijahttojuvvon lehkos son gii finada dávjá guossis ja ii 	čohkká 	nu beare guhká ain hávális .
Vits:Bearaš leai Ruoŧas vánddardeamen ja Iŋgeraš 	čohkkái 	biillas ja geahčai lottiide mat girddašedje áimmus .
Nieiddat báziiga dasa 	čohkkát 	go vuodjájin meahccái , muohtahevrruin ...
Suodjalusas lohket ahte soalddáhat sáhttet oažžut sáhkuid ja šaddat 	čohkkát 	giddagasas muhtin áiggi , muhto dát ii mearriduvvo vuos .
Muhtin eará boares áhkku lea muitalan ahte son oinnii riebana 	čohkkáme 	mievtta alde mii cielaha meahci guvlui .
Kursaoahppi , Anders Nils M. Buljo 	čohkká 	skutteris .
Iskkademiin ohppet omd. movt 	čohkkát 	riekta ja movt hálddašit rusttegiid ja ávdnasiid , leaš dál kántuvrrain dahje olgun , muitala oahpaheaddji ja fysioterapauta Bjørn Tostrup .
Diehtit movt 	čohkká 	
- Ferte maid diehtit movt 	čohkká 	ja makkár stuolus čohkká barggadettiin , lohká Bjørn .
- Ferte maid diehtit movt čohkká ja makkár stuolus 	čohkká 	barggadettiin , lohká Bjørn .
Nubbi oassi dán iskkadeamis lea oahppat movt berre 	čohkkát 	skutteris .
Čielgái ii leat beare buorre 	čohkkát 	beare litná dahje garra stuolus .
- Buot buoremus livččii jus stuollu livččii áibbas njuolga , ja dan muttos allat ahte ii dárbbaš 	čohkkát 	roaŋkko julggiid .
Mus lei mielde báddenradio , ja mii leimmet 	čohkkámen 	hyttažis maid Bede-Biera lei huksen , ja mun iežan áŋgirvuođain jerren ii go sáhte juoiggastit veaháš vai beasan báddet .
Dolasteapmi gullá ruoššaáigái go sii han gohcet ijaid , ja muhtimin sáhttá šaddat oalle čoaskkis olgun 	čohkkát 	.
Muhto ii juohke ija gal dárbbaš olgun 	čohkkát 	.
Dalle lea jienasteddjiid duohken ahte eai jienas sin Sámediggái , geain ii leat doarvái ipmárdus ja máhttu 	čohkkát 	Sámedikkis .
Vaikko álggos lei gáibádus ahte olmmái galgá golbma vahkku 	čohkkát 	giddagasas ja 15000 ruvdnosaš sáhku máksit , de boađus goit šattai 10000 ja ii dárbbaš čohkkát .
Vaikko álggos lei gáibádus ahte olmmái galgá golbma vahkku čohkkát giddagasas ja 15000 ruvdnosaš sáhku máksit , de boađus goit šattai 10000 ja ii dárbbaš 	čohkkát 	.
Čuovvovaš beaivvi son lei guođoheame bohccuid duoddaris ja son oinnii uldanieidda 	čohkkáme 	stuora geađggi alde .
” Bárdni 	čohkká 	čiegas ja dadjá : “ mun gal dieđán galle guolgga sus leat , jus gillen muitalit .
Go lei 	čohkkán 	veahá áiggi , de lokte seaibbi .
Eadni sihtá bártni 	čohkkát 	jaska ii ge vuorjat .
UNNA BOTTUŠ:Jus beare guhká 	čohkká 	de gal váibá , danne lea direktora Knut Dahl mearridan ahte unna bottuš gal ferte , vai olbmot besset vuoiŋŋastit ja veahá njálgáid ja juhkkosa oastit .
Son jugestii reastta viinnas ja vázzilii dánsunlatnjii , ja doppe 	čohkkái 	ge su Edelveisa čiegas ja mojohalai čábbát sutnje .
BARGU DIEVVA GIEĐAID : Sulo 	čohkkáda 	dás iđidis eahkedii , muhto lohká ahte go son orru nu lahka gávppi , de olbmot lávejit boahtit su guossái vaikko makkár áigái jándoris .
” Boares áhkku dajai : “ Jus gohčodat mu muoŧŧan go 	čohkkádat 	gonagasbártniin headjabeavddis , de bonán visot dáid ulluid dán ijá .
” De dajai boares áhkku : “ Jus gohčodat mu muoŧŧan go 	čohkkádat 	gonagasbártniin headjabeavddis , de gođan visot dáid láiggiid .
” De dadjá boares áhkku : “ Jus gohčodat mu muoŧŧan go 	čohkkádat 	gonagasbártniin headjabeavddis , de goarun visot dáid silkkiid .
Biera ja olmmái boraiga visot guliid , ja go oanehaš leigga 	čohkkán 	, de lohká Gievrras Biera : – Don it nagot mu biebmat , danne mun vuolggán barggu ohcat , reaŋgan dahje juoga earán .
Ja go gussa maid beassá duopmárin , de gal lea buoremus ruovttus 	čohkkát 	.
Bárdni vulggii sisa ja oinnii bahákasa 	čohkkáme 	beavdeguoras .
Gugán 	čohkkái 	rabas njálmmit ja guldalii , ja su váibmu liegganišgođii bures .
Son 	čohkkái 	ja divttii gatnjaliid golgat .
Dalle sihte Issát Máhte 	čohkkát 	dirigeanttabeavddis ja veahkehallat sin jus lea dárbu .
Ii buojageavlla ja ulloliinni haga gal bivvan 	čohkkát 	olgun .
Boazoeaiggát Alf Johansen , gii 	čohkká 	eanavuovdinstivrras , buvtii evttohusa ahte dákkár lohpi ii addo .
Son 	čohkkái 	ja vuoiŋŋastahtii oaivvi gieđaid vuostá ja smiehtadalai .
Katrina dieđusge 	čohkká 	beavdeguoras nu go juo leage olmmošvierru diekkár čoahkkimiiguin .
Go bođii ruoktot , de juhkagođii ain bahábut ja 	čohkkái 	juhkanbáikkis ijaid miehtá .
SNF`a ovdaolmmoš , Ivar Kristianslund , muitala ahte ii leat dábálaš ahte risttalaš olbmot demonstrerejit , muhto eai sii šat sáhte 	čohkkát 	ja geahččat go Steinholt ja Lilletun boastut jođiheaba risttalaš doaimmaid .
- Dušše 	čohkkáime 	doppe ja ozaime liđiid !
Su rehelašvuođa dovdu dagai ahte son ii sáhttán 	čohkkát 	ja geahččat ahte unnitálbmoga vuoigatvuođat bádjelgehččojuvvojit dan dihte go sis eai leat leamaš návccat ja ruhta doaimmahit dutkamiid .
Su rehelašvuođa dovdu dagai ahte son ii sáhttán 	čohkkát 	ja geahččat ahte unnitálbmoga vuoigatvuođat bádjelgehččojuvvojit dan dihte go sis eai leat leamaš návccat ja ruhta doaimmahit dutkamiid .
Dál 	čohkkái 	son muorraruohttasa nalde vuovddis heahpadiinnis .
Min oktavuođas 	čohkká 	okta dovddastuvvon ristalaš , gean namma lea Lilletun , ja stivre dán girku stáhtaráđđin .
Beargalat ii 	čohkká 	beargalaga stálljas , dahje nuoskkes bálgá alde , dahje báhkiniid gaskkas , muhto dan čábbámus ja eanemus bassi báikkis , namalassii Ipmila tempelis .
Diŋgojuvvon billeahtaid viežžat , ja geahčadit gokko galgá 	čohkkát 	.
Go son das lea 	čohkkáme 	ja čierrume , de boahtá isida nieida dohko .
Dán gulai muhtin olmmái ja dajai : - Mun áiggun mannat ja 	čohkkát 	otná ija dán latni siste .
Gutnabáđoš lei 	čohkkáme 	ommangáttis .
Vuođđu áššis lea ahte Davvi-Hålogalándda bismmástuolus 	čohkká 	boasttuoahpaheaddji olmmái , Ola Steinholt , gean veahkeha eanetlohku bismmáin ( earret Odd bondevik ) , geat leat positiivvat homofiliijai , dat mii Biibbalis gohčoduvvo sodomi .
Unna lunttáš 	čohkkáda 	busses ja guovlá ovtta olbmái gii lei oalle spálžžas .
Juovlaviinnii lei gárvvistan , ja 	čohkkái 	ge dál ja návddašii dan .
Olmmái lea hirbmat balus , ja ii duostta jietnadit ii maidege , dušše 	čohkká 	ja gullá maid doppe olggobealde dál barget .
Olmmái 	čohkkái 	muora siste ja gulai buot , muhto son lei maid nu balus go ii diehtán ahte dien muora sisa ii ábut mannat nohkkat .
De son vulggii nuppi jagi mihcamár-ija muora sisa 	čohkkát 	, vai son maid gullá ráđi mainna sáhttá riggut .
Go lei muora siste 	čohkkáme 	, de gullá ahte dál gal bohte fas muora lusa .
Buot njealjis ledje 	čohkkáme 	beavde guoras .
Eat dieđe gii dat lea gii ovddabealde 	čohkká 	.
Muhto go addet borrat , it galgga don ge guhkit 	čohkkát 	beavddis , deinna go lea heahpat ahte báhppa borrá guhkit go luhkkár .
Son doalvvui bohká rastá eanu ja 	čohkkái 	das gitta iđidii .
Sisselløna lei biellobohkáin 	čohkkáme 	miellaravddas .
Niillas 	čohkká 	beavdeguoras ja ánuha Elle-áhkus dan meare ruđa ahte oččošii littarbeali Lávrre Joavnnas .
Elle áhkku 	čohkká 	risttasgieđaid iežas gievkkanis ja guovlá láses .
Dasa vástidii dáčča journalista : – Go mii ovtta beavddis 	čohkkát 	, de lea heajos olmmošvierru hupmat giela maid buohkat eai ipmir .
Eadni 	čohkkái 	togas ja logadii girjji .
Olmmoš ii lihkes ge ja dál oaidná Mávnos ahte dat 	čohkká 	gittačalmmiid .
Son 	čohkká 	guhká jávohaga ja guovlá láhttái .
Ragnhild Nystad 	čohkká 	panelaš .
Dát dagaha ahte gilit ja guovllut Finnmárkkus guorranit , maid mii eat sáhte jaskat 	čohkkát 	ja oaidnit .
Biilastivrrana duohken 	čohkká 	amas bárdni ja maŋágeahčen oidnojit maid ámadajut .
Dalle soaittát oažžut dieđu diŋgot ođđa diimmu , vaikko 	čohkkát 	doaktára kántuvrras .
Lásse 	čohkká 	ja studere iežas unna oappáža geas váilot bánit ja vuovttat .
Eanas olbmot geat beal gávcci áigge iđđes leat radio guođas 	čohkkáme 	, dáidet gullan movttegis olbmá gii sávvá buorre iđida Sámi Radio guldaleddjiide .
Muhtomin leaba Biera ja Niillas dimmus 	čohkkáme 	iežaska sajiin , eaba bargga eaba maidege .
Dáid daguid ovddas šaddá son 	čohkkát 	18 mánu giddagasas .
Go mun 	čohkkán 	suohkanstivrras ja eará stivrrain massán dietnasa .
Juovllaid áigge lea buorre ieš okto 	čohkkát 	ja návddašii dálkasa .
Muđui lea Inger Seierstad 	čohkkán 	iešguđetge lágan stivrrain .
Son manai bohkáin nuppe beallái joga ja 	čohkkái 	das iđidii .
Go veaha áigi lea gollan , de son fuobmá ahte Sisselløna 	čohkká 	johk-gáttis bohkáin .
Sisselløna lei johk-gáttis miellis 	čohkkáme 	, juolggit heaŋgaje vulos ja ieš hárdá jiehtanasa .
Maŋimus áiggiid dieđihangaskaoamit leat láitán Sámiráđi Suoma juhkosa go dat 	čohkká 	Sámiráđis ja Min Áigi dadjá juhkosa juobe dološ bázahussan ja dat lea earenoamáŋit háliidan láhčit Suoma sápmelaččaid beales saji Suoma sámi guovddášsearvái ( SGS:ái ) .
Sáme Ätnam 	čohkká 	maid guovtti stuolu nalde , sihke Sámedikkis ja Sámiráđis , ja geavaha dan lahkái guokte sajádaga sihke NGO-stáhtusa ja parlamentáralaš stáhtusa stáhtalaš sámi álbmot válljen orgánas .
Dál son beassá válljet hálida go máksit sáhku vai 	čohkkát 	6 beaivvi .
Gielká lei oalle mihá lossat go guovttos 	čohkkába 	nalde , ja ii leat buorre stivret gálljimis .
Muhtin davvi-olbmuid vierru lea 	čohkkát 	káfeas gáfestallat , ja maiddái borgguhit , ja de návdo ahte si dalle gullet vissis girko-suorgái .
Son oaivvilda ahte mun 	čohkkán 	“ láseviesus ” ja ii leat riekta láitit stáhtaráđi geas ii leat go jagi leamašan ovddasvástádus , muhto baicca berren láitit Bb mas ovddit jagiid lea leamašan ovddasvástádus .
Don oaččut 	čohkkát 	maŋábealde .
Ovddabealde 	čohkká 	Inger Seierstad .
– Dii fertebehtet 	čohkkát 	dahje čuožžut go jienastehpet , iige njuikut vulos bajás , vai sáhttá oaidnit maid dii jienastehpet !
Lea somá 	čohkkát 	ja leat oasseváldin NSRa riikkačoahkkimis , vaikko ii dáidde buot mii daddjo liikká somá go spillát ?
Dál adveantta-áiggi lea vuogas siste 	čohkkát 	ja sjákka speallat .
De čurvii rieban ovtta dearpmáš duohken : – Gii dat lea , guhte 	čohkká 	du bálddas ?
De suorganii áddjá mealgat ja doaivvui , ahte bierdnaolmmái lei boahtime biertnaid báhčit ; de gohčui áddjá dadjat olbmá ahte : Dat guhte olbmá bálddas 	čohkká 	, lea jalŋŋis .
Ášši váido politiijaide ja doaivumis sáhkkohallá olmmái ja soaitá vel 	čohkkát 	maid šaddat .
Okta 40-jahkásaš olmmái šaddá dál 90 beaivvi 	čohkkát 	giddagasas ja lahka 30 000 máksit sáhku , maŋŋel go son lea iežas ruošša eamida ja su 5-jahkásaš bártni čábmán .
Rávdi čilgegođii ahte sutnje šaddá nu láittas 	čohkkát 	lovttas .
Oahppit leat movttegat go besset juoidá eará bargat go dušše klássalanjas 	čohkkát 	, vaikko lágideddjiin gal šaddet muhtin skuvlabeaivvit oalle guhkit .
Naba jus son gizzu muorrageahčái ja doppe 	čohkká 	?
Mihkku 	čohkkái 	guddo geažis ja guldalii .
Go áhčči buohcagođii jápmindávddain , de gohčui son ahte bárdni galgá ođđajagibeaivruohta čuovganeapmái mannat 	čohkkát 	dakkár áitti lusa mii lea sirdojuvvon golmma háve , ja bidjat skálu oaivvi ala .
Go boares jahki nogai , de manai bárdni 	čohkkát 	áitti gurrii .
Jovni 	čohkká 	jávohaga , geige julggiid .
Erke ii lean boahtán sisa ge go Márjá buvttii Liissá , 	čohkkái 	dušše biillas .
Jovni 	čohkká 	mealgat jávojienat ovdal go dadjá maidege .
Jus juovlaruohttaeahkeda čohkkeda muorrafiinno ala , ja 	čohkká 	das gitta gaskaidjii , de maŋŋel gaskaija boahtá muhtin olmmoš ja viggá čuoggut sáittiin dan olbmo čalmmiid gii čohkká muorrafiinno alde .
Jus juovlaruohttaeahkeda čohkkeda muorrafiinno ala , ja čohkká das gitta gaskaidjii , de maŋŋel gaskaija boahtá muhtin olmmoš ja viggá čuoggut sáittiin dan olbmo čalmmiid gii 	čohkká 	muorrafiinno alde .
Amas olmmoš viggá juohkeládje balddahallat olbmo gii lea 	čohkkáme 	muorrafiinno alde .
Go lea 	čohkkán 	dassážii lea geargan balddahallamis , de jearrá : – Maid don siđat ?
De galgá olmmoš gii lea 	čohkkáme 	, vástidit ahte son sihtá ollu ruđaid ja ollu bohccuid .
Stuora kultuvrralaš doaluin leat maid dat ovttahagat geat juiget ja lávlot , ollu nuohttačeahpit šaddet 	čohkkát 	ja gullat sin .
Eamit hálida diehtit man guhká son galgá čoskka alde 	čohkkát 	, ja olmmái lohká ahte ii nu beare guhká , ii eambbo dan botta go son fitná olgun .
Ja nuppi boares nissona muitalus lea ná , ahte de son oaidná ; rieban bovnna nalde 	čohkká 	ja ciellá meahccái njálmmit .
Lea leamaš stuora beroštupmi ovddit jagiid ja ollugat leat šaddan 	čohkkát 	tráhpáid alde .
Dušše dat go jurddašii hánes Jeaggegeašmoalkkana birra suhtadii Gugána nu ahte ii sáhtán báljo ii 	čohkkát 	ge .
Gaskabeaivvi maŋŋá ii galggašii leat beaivvážis go 15 minuhta ja mii gárttaimet rahpanseremoniijas 	čohkkát 	3 diimma ovtta sajis .
Mun láven veahá “ kjedet ” go dáppe 	čohkkádan 	akto ja ii leat mihkkege maid sáhtán lohkat .
Olmmái sáhttá , jus dubmehallá , šaddat 	čohkkát 	6 jagi giddagasas .
Doppe son ferte oanehaš 	čohkkát 	, go politiijat ballet ahte son sáhttá nuppes fas rohkkahit nissona .
Go sin áhčči buohcagođii jápmindávddain , de celkkii son bártniidasas : – Go mun jámán ja mu rumaš hávdáduvvo , dii galgabehtet juohkehaš 	čohkkát 	mu hávdde luhtte , ieš guhtege ovtta ija vuorustis .
De celkkii Gutnabađoš : - Almmat doai vuolgibeahtti vuos ovdal go mun 	čohkkát 	áhččámet hávddi luhtte .
Go eahket šattai , de ráhkkanišgođii Gutnabađoš vuolgit ja cealká , ahte – dál vuolggán mun 	čohkkát 	áhččán hávddi lusa , vai mun beasan eret vuorustan , ja manai .
Nuppi eahkeda cealká Gutnabađoš : – No , mun lean juo 	čohkkán 	vuorustan ; muhto dál lea dudno vuorruges čohkkát áhččámet hávddi luhtte .
Nuppi eahkeda cealká Gutnabađoš : – No , mun lean juo čohkkán vuorustan ; muhto dál lea dudno vuorruges 	čohkkát 	áhččámet hávddi luhtte .
– Mana dál ieš , guhte leat ovdalge 	čohkkán 	; muhto moai gal ean áiggo , vástiideigga soai .
– Jus mun geahččalan 	čohkkát 	otná ija , muhto maŋemus ija galgabeahtti doaiges čohkkát .
– Jus mun geahččalan čohkkát otná ija , muhto maŋemus ija galgabeahtti doaiges 	čohkkát 	.
De manai Gutnabađoš áhčis hávddi lusa ja 	čohkkái 	doppe gitta gaskaija rádjái ; de rahpasii hávdi , ja vuoras bođii olggos ja jearai : – Guhtemuš bárdni mus dál lea dáppe ?
Goalmmát eahkeda dajai Gutnabađoš : – Mun gal lean juo gillán guokte ija dan garra ruossa ; muhto dál galgabeahtti doaiges mannat maŋemus ija 	čohkkát 	.
– Mana dál ieš ; don , gii leat 	čohkkán 	guokte ija ; galggat maiddái goalmmát ijage čohkkát , vástiideigga vieljaguovttos .
– Mana dál ieš ; don , gii leat čohkkán guokte ija ; galggat maiddái goalmmát ijage 	čohkkát 	, vástiideigga vieljaguovttos .
Gutnabađoš manai dohko áhčis hávddi lusa 	čohkkát 	.
Geliidna gii maid lei gullán 	čohkkái 	seaŋggas ja ruossastahtii .
Son lea viđat áigodaga 	čohkkáme 	RV guovllustivrras .
– In beasa goassege šat suohtastallat mánnáeallimistan , čierui Ánná ja 	čohkkái 	návetreŋkko alde .
