 ¶
eallimii fridja servodagas , deattuhit 	ádde 	 ¶
Hálddaša njálmmálaš ja čálalaš dárogiela ja máhttá ámmátlaš giellageavaheami - máhttá árvvoštallat ja geavahit heivvolaš dutkanbohtosiid ja ieš čađahit systemáhtalaš ovddidanbargguid - máhttá ovttasráđiid váhnenovddasteddjiiguin ja fágalaš ásahusaiguin gávnnahit ja fuobmát ohppiid dárbbuid , vai dárbbašlaš doaibmabijut álggahuvvojit - máhttá lágidit dili mii ovddida fidnoálggahangealbbu ( entreprenørskap ) ja máhttá searvvahit oahpaheapmái báikkálaš bargo- , kultuvra- ja servodateallima , árbediehtoguddiid ja resursaolbmuid - 	ádde 	bures globála gažaldagaid ja bistilis ovdáneami - máhttá ávkin atnit sámi oahppanvugiid oahpahusas - máhttá heivehit oahpahusa guovtte- dahje máŋggagielalaš geahččanvugiin ¶
Eanemus dárbu sámegielat bargiide lea guovlluin gos mánát ja vuorrasat olbmot eai 	ádde 	dárogiela . ¶
Lávdi Finnmárkkus lea okta bargi gii hálddaša sámegiela čálalaččat ja njálmmálaččat ja okta gii 	ádde 	sámegiela . ¶
Ollugat eai nagot hupmat dan birra makkár mearit galget leat go guovtt is leaba ovttas , ja nu sáhttet čuožžilit dárbbašmeahttun váttisvuođ at dušše dannego boastut 	ádde 	áššiid , iige dovdda nuppi nu bures . ¶
Mun in 	ádde 	. ¶
Dábálaččat ferte dieđihit ovddalgihtii , nu ahte dárbbašlaš dulkonbálvalus lea olámuttos daidda geat eai 	ádde 	sámegiela . ¶
S on lea norgalaš , muhto čállá gillii maid eatnašat Norggas eai 	ádde 	. ¶
Sámediggi jáhká dán gaskaboddosaš ortnegin stuorra boraspirevahágiid geaøil Norlánddas , ja 	ádde 	ahte boraspirevahágiid geaøil sáhttá muhtun áigái leat dárbu geahpedit njuovvangáibádusa . ¶
Sámediggi jáhká dán gaskaboddosaš ortnegin stuorra boraspirevahágiid geaøil Norlánddas , ja 	ádde 	ahte boraspirevahágiid geaøil sáhttá muhtun áigái leat dárbu geahpedit njuovvangáibádusa . ¶
SVL ii 	ádde 	ráđi árvalusa . ¶
Sámediggi 	ádde 	oainnu , muhto čujuha ahte ii leat dikki bargu ásahit dahje loahpahit eaktudáhtolaš organisašuvnnaid . ¶
Sámediggi 	ádde 	bures dán oainnu , ja deattuha Duodjeinstituhta hástalusaid boahttevaš fierpmádatásahussan regiovnnalaš ja báikkálaš gullevašvuođain iešguđet sámi servodagaide . ¶
Diggi 	ádde 	dan , earenoamáøit fágareiveoahpu láhččima dáfus máŋgga fylkii . ¶
Sámediggi 	ádde 	oainnu , muhto čujuha ahte ii leat dikki bargu ásahit dahje loahpahit eaktudáhtolaš organisašuvnnaid . ¶
Sámediggi 	ádde 	bures dán oainnu , ja deattuha Duodjeinstituhta hástalusaid boahttevaš fierpmádatásahussan regiovnnalaš ja báikkálaš gullevašvuođain iešguđet sámi servodagaide . ¶
Diggi 	ádde 	dan , earenoamáøit fágareiveoahpu láhčima dáfus máŋgga fylkii . ¶
Sámediggi 	ádde 	oainnu , muhto čujuha ahte ii leat dikki bargu ásahit dahje loahpahit eaktudáhtolaš organisašuvnnaid . ¶
Sámediggi 	ádde 	bures dán oainnu , ja deattuha Duodjeinstituhta hástalusaid boahttevaš fierpmádatásahussan regiovnnalaš ja báikkálaš gullevašvuođain iešguđet sámi servodagaide . ¶
Diggi 	ádde 	dan , earenoamáøit fágareiveoahpu láhčima dáfus máŋgga fylkii . ¶
Muhto ráđđi gal dieđusge 	ádde 	ahte ideálalaš dilli mas buot oahppit geat orrot Davvi-Norggas o ¸¸ot oahpahusa sámi oahppoplána mielde , ii leat duohtavuođas vejolaš dál . ¶
Sámediggi lohká justa dán ga ¸aldaga leamaš guovddá ¸in nugohčoduvvon servodat ii ane árvvus iige 	ádde 	nomadismma . ¶
Sámediggi 	ádde 	go ákkastallamis daddjo ahte ii sáhte sirret iešguđet sámi joavkkuid , muhto atnit sápmelaččaid oktan joavkun , ja ahte lea deatalaš sihkkarastit sámi vuoigatvuođaid mat ain gávdnojit dan sadjái go ohcat čovdosiid mat sáhttet dagahit siskkáldas sámi riidduid . ¶
Sámediggi 	ádde 	ahte nuortalaččaid boazodoallovuoigatvuođaid ođđasis ásaheapmi buvttášii ollu guovddáš hástalusaid , earenoamá ¸it vuoigatvuođaid hárrái mat dálá doallovuoigatvuođalaččaid hálddus leat . ¶
Sámediggi dáhttu čujuhit ahte boazodoalu uhkiduvvon dilli ollu vuolgá das go Norgga stuorraservodat ii ane árvvus iige 	ádde 	nomadismma . ¶
Sámediggi 	ádde 	go ákkastallamis daddjo ahte ii sáhte sirret iešguđet sámi joavkkuid , muhto atnit sápmelaččaid oktan joavkun , ja ahte lea deatalaš sihkkarastit sámi vuoigatvuođaid mat ain gávdnojit dan sadjái go ohcat čovdosiid mat sáhttet dagahit siskkáldas sámi riidduid . ¶
Sámediggi 	ádde 	ahte nuortalaččaid boazodoallovuoigatvuođaid ođđasis ásaheapmi buvttášii ollu guovddáš hástalusaid , earenoamá ¸it vuoigatvuođaid hárrái mat dálá doallovuoigatvuođalaččaid hálddus leat . ¶
Sámediggi 	ádde 	dan ahte muhtin eanadoallobuktagiid , mat buvttaduvvojit menddo olu , ferte geahpedit . ¶
Sámediggi 	ádde 	bures ahte lea dárbu riikkadásis geahpedit muhtun eanadoallobuktagiid badjelmearálaš buvttadeami . ¶
Sámediggi 	ádde 	bures ahte lea dárbu riikkadásis geahpedit muhtun eanadoallobuktagiid badjelmearálaš buvttadeami . ¶
Dearvvasvuođa minister dovddahii ahte 	ádde 	dan go Sámediggi dáhtošii eanet konkrehta doaibmabijuid áigemeriid ja bušeahta ektui . ¶
Sámi museaiguin 	ádde 	Sámediggi ; museaid main Sámediggi lea dahje dáhtošii earenoamáš ovddasvástádusa , ja museaid mat dáhtošedje ahte lea Sámediggi mii bidjá fágapolitihkalaš ja kultursuodjaluspolitihkalaš eavttuid sin doibmii . ¶
Sámi museaiguin 	ádde 	Sámediggi ; museaid main Sámediggi lea dahje dáhtošii earenoamáš ovddasvástádusa , ja museaid mat dáhtošedje ahte lea Sámediggi mii bidjá fágapolitihkalaš ja kultursuodjaluspolitihkalaš eavttuid sin doibmii . ¶
NSRa Sámediggejoavku ii 	ádde 	riekta Sámediggeráđi garra áigumuša bidjat oktii ealáhusorganisašuvnnaid duojis Sámediggeráđi duodječilgehusas . ¶
” NSRa Sámediggejoavku 	ádde 	nu ahte dát guoská maid organisašuvnnaide mat leat duodjeealáhusas . ¶
lagabuidda árvvoštallat ja čielggadit , ja 	ádde 	dan . ¶
Sámediggeráđđi 	ádde 	ahte terrordáhpáhus suoidnemánus 2011 lea maŋidan departemeantta ja ráđđehusa barggu . ¶
Sámediggeráđđi čájeha dákko bokte ahte 	ádde 	dan dárbbu mii ođđa fápmolágideapmái ja birasseasti energiija ovddideapmái , ja lea duhtavaš ahte dat sáhttá dáhpáhuvvat ovttasbargguin boazodoalu dárbbuid hárrái , ii ge dainna lágiin ahte badjelgeahččat boazodoalu dárbbuid . ¶
Sámedikki dievasčoahkkima meannudeami ii sáhte adnit siskkáldas proseassan ja danne ii 	ádde 	Sámediggeráđđi NČE ákkasteami . ¶
Dearvvasvuođa minister dovddahii ahte 	ádde 	dan go Sámediggi dáhtošii eanet konkrehta doaibmabijuid áigemeriid ja bušeahta ektui . ¶
Sámi museaiguin 	ádde 	Sámediggi ; museaid main Sámediggi lea dahje dáhtošii earenoamáš ovddasvástádusa , ja museaid mat dáhtošedje ahte lea Sámediggi mii bidjá fágapolitihkalaš ja kultursuodjaluspolitihkalaš eavttuid sin doibmii . ¶
Sámi museaiguin 	ádde 	Sámediggi ; museaid main Sámediggi lea dahje dáhtošii earenoamáš ovddasvástádusa , ja museaid mat dáhtošedje ahte lea Sámediggi mii bidjá fágapolitihkalaš ja kultursuodjaluspolitihkalaš eavttuid sin doibmii . ¶
Sámediggi 	ádde 	ahte ii leat realisttalaš oažžut nu stuorra lasáhusaid ovtta bušeahttajagis , ja danne doaivu ahte Ráđđehus ja Sámediggi johtilit gávnnahit ortnega movt šiehtadit jahkásaš bušeahttarámma nu ahte ásahuvvo oktasaš áddejupmi sámi servodaga dilis ja ovddidandárbbuin . ¶
Erenoamážit lea deattuhuvvon man deaŧalaš lea oažžut čielggasin dan movt lávdegoddi 	ádde 	ILO-konvenšuvnna nr 169 artihkkaliid 14 , 13 ja 15 . ¶
Ráđđi 	ádde 	ahte dát buktá eahpesihkkarvuođa sihke bargiide ja erenoamážit geavaheaddjiide , go dát lea áidna mánáidsuodjalanfálaldat sámegielat nuoraide geat leat gaskal 12 - 18 jagi . ¶
Sámediggeráđđi 	ádde 	nu , ahte dábálaš geavahus lea nu , ahte ovttas ássit gieđahallojuvvojit seamma láhkái go náitalan olbmot ge eará boazodoalloáššiin . ¶
SámediggeráÜÜi 	ádde 	bures dán sávaldaga , ja váldá vuhtii ášši . ¶
Sámediggi jáhká dán gaskaboddosaš ortnegin stuorra boraspirevahágiid gea ¿il Norlánddas , ja 	ádde 	ahte boraspirevahágiid gea ¿il sáhttá muhtun áigái leat dárbu geahpedit njuovvangáibádusa . ¶
Sámediggi jáhká dán gaskaboddosaš ortnegin stuorra boraspirevahágiid gea ¿il Norlánddas , ja 	ádde 	ahte boraspirevahágiid gea ¿il sáhttá muhtun áigái leat dárbu geahpedit njuovvangáibádusa . ¶
SVL ii 	ádde 	ráÜi árvalusa . ¶
Sámediggi 	ádde 	oainnu , muhto „ ujuha ahte ii leat dikki bargu ásahit dahje loahpahit eaktudáhtolaš organisašuvnnaid . ¶
Sámediggi 	ádde 	bures dán oainnu , ja deattuha Duodjeinstituhta hástalusaid boahttevaš fierpmádatásahussan regiovnnalaš ja báikkálaš gullevašvuoÜain iešguÜet sámi servodagaide . ¶
Diggi 	ádde 	dan , earenoamá ¿it fágareiveoahpu láh „ „ ima dáfus má¹gga fylkii . ¶
Sámediggi 	ádde 	oainnu , muhto „ ujuha ahte ii leat dikki bargu ásahit dahje loahpahit eaktudáhtolaš organisašuvnnaid . ¶
Sámediggi 	ádde 	bures dán oainnu , ja deattuha Duodjeinstituhta hástalusaid boahttevaš fierpmádatásahussan regiovnnalaš ja báikkálaš gullevašvuoÜain iešguÜet sámi servodagaide . ¶
Diggi 	ádde 	dan , earenoamá ¿it fágareiveoahpu láh „ ima dáfus má¹gga fylkii . ¶
Sámediggi 	ádde 	oainnu , muhto „ ujuha ahte ii leat dikki bargu ásahit dahje loahpahit eaktudáhtolaš organisašuvnnaid . ¶
Sámediggi 	ádde 	bures dán oainnu , ja deattuha Duodjeinstituhta hástalusaid boahttevaš fierpmádatásahussan regiovnnalaš ja báikkálaš gullevašvuoÜain iešguÜet sámi servodagaide . ¶
Diggi 	ádde 	dan , earenoamá ¿it fágareiveoahpu láh „ ima dáfus má¹gga fylkii . ¶
Sámedikki doarjjastivra šálloša go lea váldán nu guhkes áiggi meannudit ášši , muhto seammás 	ádde 	doarjjastivra ahte lea garra bargodilli mii lea daguhan dán . ¶
Doarjjastivra 	ádde 	bures ahte nuorain ii leat kápitala oastit ođđasat fatnasiid ja guolleeriid , muhto doarjjastivra ii hálit dán áššis spiehkastit doarjageavadis . ¶
Deattuhit ahte das movt Sámediggi 	ádde 	kulturmuittuid ja kulturbirrasa ii leat sáhka dušše objektiivvalaš iešvuođaid neutrála áddejumi birra fysalaš struktuvrraid oktavuođas , muhto maiddai das movt mii láhttet birrasa ektui . ¶
Sámediggi 	ádde 	hui bures manne sámi museat leat fuolastuvvan , ja lea ovddidan museaođastusa áššin čoahkkimis Stuorradikki gielda- ja hálddašankomiteain skábmamánus . ¶
Dain vástidedje 4797 olbmo ahte eai 	ádde 	sámegiela . ¶
Mii defineriimet sámegielaga dakkár olmmožin mii 	ádde 	giela dan mađe bures ahte sáhttá muhtun muddui gulahallat sámegillii . ¶
58 % ásahusain lea unnimusat okta hálddahusbargi gii máhttá sámegiela ( 	ádde 	dahje buorebut máhttá ) . ¶
“ Máhttá sámegiela ” mearkkaša dás ahte 	ádde 	dahje buorebut máhttá sámegiela . ¶
Dat mearkkaša ahte 58 % ásahusain gávdno unnimus okta bargi , gii goittotge 	ádde 	sámegiela . ¶
Diagrámmas boahtá ovdan ahte 62 % ásahusain , gos bargit máhttet sámegiela , leat vástidan ahte ii oktage bargi dušše 	ádde 	sámegiela . ¶
Nu ollu go 89 % leat vástidan ahte ii leat ii oktage hálddahusbargi gii dušše 	ádde 	sámegiela , bargit hállet dahje čállet maiddái sámegiela . ¶
Jos lea nu ahte muhtun čoahkkinoassálastit eai 	ádde 	sámegiela , de ferte sidjiide fállat dulkka ja dulkonrusttegiid . ¶
Galggašii go geavahit seammalágan definišuvnna maid mii leat geavahan dán iskkadeamis , nu ahte olmmoš lea sámegielat jos 	ádde 	dábálaš ságastallama ? ¶
Njuolggadusaid legitimitehta , ja go álbmot 	ádde 	ja dohkket daid sisdoalu , eaktuda ahte sii ožžot dieđuid ja vejolašvuođa váikkuhit . ¶
Deaŧalaš lea ahte álbmot 	ádde 	ja dohkkeha njuolggadusaid ja Finnmárkkulága sisdoalu . ¶
Sámediggi ii 	ádde 	manne evttohuvvojit čavgasat muddemat ja manne evttohuvvo ásahuvvot konsešuvdnaortnet mearraluossabivdui ovdalgo ovddiduvvo ođđa láhka sámi guolástanvuoigatvuođaid birra , nu mo lea evttohuvvon . ¶
Bivdá Norgga veahkehit Sámedikkis leat váilevaš dieđut vahágiid sturrodaga birra , muhto Sámediggi 	ádde 	dan nu ahte ledje erenoamážit sii , geat ásset rittuin ja geat árbevirolaččat ellet guolástemiin ja čogget debbuid , geaidda roassu čuozai garrasepmosit . ¶
muitala máttasápmelačča ja boazoeaiggáda Axel Kvitfjell birra guhte fuomáša eahpedábálašvuođaid luonddus ja 	ádde 	ahte muhtun lea lihkahallagoahtimin sivdnideaddji dahkosiid . ¶
Girjái leat čohkkejuvvon badjel 400 anársámegielat idioma – dajaldagat , mat leat sajáiduvvan anársámegillii ja maid mearkkašumi ii dalán 	ádde 	sáni álgoálggolaš mearkkašumi čađa . ¶
Girjái leat čohkkejuvvon badjel 400 anársámegielat idioma – dajaldagat , mat leat sajáiduvvan anársámegillii ja maid mearkkašumi ii dalán 	ádde 	sáni álgoálggolaš mearkkašumi čađa . ¶
Girjái leat čohkkejuvvon badjel 400 anársámegielat idioma – dajaldagat , mat leat sajáiduvvan anársámegillii ja maid mearkkašumi ii dalán 	ádde 	sáni álgoálggolaš mearkkašumi čađa . ¶
Dábálaččat goit gielaid gaskasaš ráját leat čielgasat iige nuppi sámegiela hálli 	ádde 	nuppi , jos ii oahpahala su giela . ¶
Dábálaččat goit gielaid gaskasaš ráját leat čielgasat iige nuppi sámegiela hálli 	ádde 	nuppi , jos ii oahpahala su giela . ¶
Su stuorraoabbá Suvi fas ii 	ádde 	mii gávpogis geasuha . ¶
Su stuorraoabbá Suvi fas ii 	ádde 	mii gávpogis geasuha . ¶
” Olles min eallin lea boazodoallu , dan birra vuođđuduvvá buot , sámegiela geavaheapmi , dujiid materiála ja daid válmmašteapmi , mánáid fárrui beassan iežas kultuvrrai ja dán ii 	ádde 	Norgga stáhta ” , Eira konkretisere . ¶
” Olles min eallin lea boazodoallu , dan birra vuođđuduvvá buot , sámegiela geavaheapmi , dujiid materiála ja daid válmmašteapmi , mánáid fárrui beassan iežas kultuvrrai ja dán ii 	ádde 	Norgga stáhta ” , Eira konkretisere . ¶
” Olles min eallin lea boazodoallu , dan birra vuođđuduvvá buot , sámegiela geavaheapmi , dujiid materiála ja daid válmmašteapmi , mánáid fárrui beassan iežas kultuvrrai ja dán ii 	ádde 	Norgga stáhta ” , Eira konkretisere . ¶
	Aššu – ¶
- In mun 	ádde 	dakkár moaitámušaid mat gusket dasa ahte Johttisámiid searvi lea luoddaneamen šiehtadallamiid geažil . ¶
Dan dihte in 	ádde 	gos Sámi Radio lea roggan daid dieđuid ahte mii leat fallehan NBR ovdaolbmo go son bođii Guovdageidnui . ¶
Eai 	ádde 	Adam ii loga dán váttisvuhtii gávdnot eará ovtta čovdosa - dat lea ođasmahttit dihtoriid . ¶
Eai 	ádde 	! ¶
Dan dihte in 	ádde 	manne finnmárkulaččat leat dál juo jallon dieinna áššiin , lohká Steinar Pedersen . ¶
Eai 	ádde 	- Muhto dat maid eatnasat doivot lea ahte mii sápmelaččat áigut buot fámu , ja hálidit sin bágget fárret eret . ¶
Ja eange eisege 	ádde 	maid vigget gáibidit čáziid ja eatnamiid áibbas iežaset hárrái . ¶
	Avvir – ¶
In 	ádde 	dán jurddašanvuogi . ¶
– Šaddá stuorát riidu Orohaga 16 ovddeš jođiheaddji , Klemet Amund Eira , ii 	ádde 	manin stivra lea evttohan juohkit orohaga . ¶
Dasa lassin in 	ádde 	manne ná maŋŋit ovddidit dán cealkámuša . ¶
Lean maid gullan ahte olu norgalaččat ja maid sápmelaččat veahkehedje dáid fáŋggaid , earret eará 	ádde 	siddjiide borramuša . ¶
Ii gánnáhahtii divvut vistiid , Marja Keskitalo , guovllu hoavda Yles , ii 	ádde 	manin Juuso ná čuoččuha go dát han lei su iežas mearrádus . ¶
Oktavuohta leamaš čađat Alacaston hálddahuslaš direktevra , Lars-Åke Claesson , ii 	ádde 	gal Sámedikki moaitaga . ¶
	Ádde 	leat divrras Ohcejoga gieldda oassi govdafierbmeoktavuođa ráhkadusgoluin lea gávcci proseantta . ¶
Son 	ádde 	1300 euro govdafierbmemávssu leat stuorra ruhta máŋgasii . ¶
Suorganan nisu muitala iežas leat báhcán imaštallat , iige 	ádde 	makkár olmmoš lea heivehan cahkkehit ja boaldit olbmuid lávuid E6 bálddas . ¶
– Mun imaštan vuoruheami go girkodulka leai maid doaluin , muhto dattege ii jorgaluvvon , čujuha Johansen , gii nuppe dáfus 	ádde 	ahte leai fanahit ipmilbálvalusa mánáide menddo guhkkin ja váttis sidjiide čohkkát jaska . ¶
Seammás sin 	ádde 	ahte leamaš olu bargu dán lágideamis . ¶
– Mánát goit vávje ahte bisma máhttá sámegiela ja 	ádde 	, ja ahte Ipmil ge ádde sámegiela , loahpaha Johansen , gii rámida Deanu searvegotti go sámegiela dilli lea buorránan , go lea lassánan girkus eanet sámegiella numo lávlumat ja konfirmántaoahpahus . ¶
– Mánát goit vávje ahte bisma máhttá sámegiela ja ádde , ja ahte Ipmil ge 	ádde 	sámegiela , loahpaha Johansen , gii rámida Deanu searvegotti go sámegiela dilli lea buorránan , go lea lassánan girkus eanet sámegiella numo lávlumat ja konfirmántaoahpahus . ¶
Kárášjogas leat maid moadde politiija dušše , ja juohkehaš 	ádde 	sii dárbbašit veahki dákkár bargguide , deattuha Tangen . ¶
