Mun doalan dán sártni dárogillii - dál han buohkat dihtet ahte mun máhtán sámegiela , ja mu sárdni lea sámegiela máidnun maid hálidan ahte dážat ge galget 	áddet 	. ¶
MÁHTTU Kandidáhtas - lea máhttu skuvlla ja oahpaheaddjeámmáha iešvuođas , historjjás , ovdáneamis ja sajádagas sámi servodagas ja servodagas muđui - lea máhttu láhkavuođu birra , nu movt skuvlla ulbmila , árvovuođu , oahppoplánaid ja ohppiid iešguđetlágan vuoigatvuođaid birra - lea máhttu oahppoplánabargguin ja skuvllas organisašuvdnan - lea máhttu mánáid ja nuoraid oahppamis , ovdáneamis ja ahtanuššamis iešguđetlágan sosiála , máŋggakultuvrralaš ja máŋggagielalaš konteavsttain - lea máhttu luohkkájođiheamis ja luohkkábirrasis ja máhttá ovdánahttit buriid oktavuođaid ohppiiguin ja ohppiid gaskkas - lea máhttu áddet man mávssolaš ja eaktudahtti buorre gulahallan lea ja buorre ovttasbargu skuvlla ja ruovttuid gaskkas - lea máhttu máŋggalágan bargovugiin , oahppanresurssain ja oahppanarenain ja 	áddet 	mihttomeriid , sisdoalu , bargovugiid , árvvoštallama ja ovttaskas ohppiid eavttuid oktiigullevašvuođa - lea máhttu mánáid ja nuoraid bajásšaddanbirrasa , dásseárvvu ja identitehtabarggu birra - lea máhttu mánáin , geat leat váttis diliin ja mánáid vuoigatvuođain našunála ja riikkaidgaskasaš perspektiivvas , riikkaidgaskasaš šiehtadusaid vuođul , álgoálbmotjulggaštusaid ja našunála lágaid vuođul - lea máhttu sámi , našunála ja riikkaidgaskasaš dutkan- ja ovddidanbargguin mat gusket oahpaheaddjeámmáhii - lea máhttu sámi árbevirolaš máhtus iešguđetge fágasurggiid siskkobealde - lea máhttu sámi mánáid ja nuoraid bajásšaddandilálašvuođaid hástalusain¶
Mis gávdnojit valáštallančeahpit geainna leat váttut dahje doaimmashehttejumit ja midjiide soaitá leat váttis 	áddet 	sin dili . ¶
Son oaččui mu 	áddet 	ahte veahkkevuogádat maid leimmet ráhkadan , leai dego garra seaidni man čađa leai lossat beassat . ¶
Mii leat ásahan siviila dáhpáhusguovddáža Justiisa- ja gearggusvuođadepartementii mii galgá veahkkin buorebut 	áddet 	ja analyseret heahtediliid . ¶
Maŋimus jagiid lea leamaš riikkalaš fáddá 	áddet 	eambbo dán stuorra servodatváttisvuođa : Man gallis čađahit joatkkaoahpahusa , ja mat sivaid leat dasa ahte olus heitet gaskan ? ¶
Dieđaguovddáš galgá oaččohit olbmuid 	áddet 	ahte matematihkka , luonddudieđa ja teknologiija leat váldocakkit sihke ealáhusovddideamis ja kultureallimis . ¶
Mii gal dieđusge eat vuostálastte sámi kulturviesuid ásaheami namuhuvvon guovllus , muhto baicce jearrat makkár váldi Sámedikki presideanttas lea doaibmat dainna lágiin ahte dan sáhttá 	áddet 	spiehkastahkan dan prioriterenlisttus maid dievasčoahkkin lea mearridan . ¶
Earret eará daddjui nu ahte sáhtii 	áddet 	dainna lágiin ahte ráđđi ja presideanta dat rievtti mielde mearridit politihka dán suorggis . ¶
» Mii , vánhemat eat sáhte 	áddet 	eat ge dohkkehit ahte min mánáid sámegiela oahpahusa vuođđun galgá leat juoga mii lea nu gaskaboddosaš go prošeakta lea . ¶
Dattetge ferte 	áddet 	ahte lagaš boahtteáiggis sáhttá leat veadjemeahttun jávkadit áibbas buot negatiivvalaš beliid . ¶
Lea leamaš váttis oaøøut guovddáš eiseválddiid 	áddet 	dan . ¶
Lea leamaš váttis oaøøut guovddáš eiseválddiid 	áddet 	dán , ja jáhkkit boazoeaiggádiid boraspirevahátgáibádusaide . ¶
Lea leamaš váttis oaøøut guovddáš eiseválddiid 	áddet 	dan . ¶
Dán mearrádusa galgá maid 	áddet 	Dásseárvodoaibmaplánain ovttas , ja Sámedikki dásseárvo- ja nissonpolitihkalaš mihttomeriid integrerenbargguin . ¶
Plána galggašii viidáseabbut 	áddet 	ovttas Sámedikki oktiilaš plána- ja bušeahttabargguin , gos Sámedikki vuollásaš fágaráđiid jahkásaš doaibmaplánain lea earenoam áš guovddáš sadji . ¶
Dasto lea maid deatalaš 	áddet 	Dásseárvodoaibmaplána sámediggevuogádaga olggobeal guovddáš oasálaččaid plánaiguin ovttas . ¶
Dán mearrádusa galgá maid 	áddet 	Dásseárvodoaibmaplánain ovttas , ja Sámedikki dásseárvo- ja nissonpolitihkalaš mihttomeriid integrerenbargguin . ¶
Plána galggašii viidáseabbut 	áddet 	ovttas Sámedikki oktilaš plána- ja bušeahttabargguin , gos Sámedikki vuollásaš fágaráđiid jahkásaš doaibmaplánain lea earenoam áš guovddáš sadji . ¶
Dasto lea maid deatalaš 	áddet 	Dásseárvodoaibmaplána sámediggevuogádaga olggobeal guovddáš oasálaččaid plánaiguin ovttas . ¶
Nugo mii 	áddet 	, de juksá digitálarádio 50 % álbmogis jagi 1999 loahpas . ¶
Sámediggi deattuha ahte mearrádusa galgá 	áddet 	sanis sátnái , ja ahte dohkkeha sámi álbmoga vuoigatvuođa « eaiggáduššat ja háldet » árbevirolaš guovlluid . ¶
Gb sámediggejoavku sáhttá dan vuođul 	áddet 	Sámi vuoigatvuođalávdegotti árvalusa , ja sáhttá danne atnit vejola ¸¸an giliide álggahit gillegeavahanmálle geahččalanprošeaktan ohcama mielde mii lea sáddejuvvon gildii . ¶
Muhto min lea váttis 	áddet 	ja dohkkehit go lávdegotti barggus leat ollu eará vánit positiiva árvvoštallamat . ¶
Váttis lea maid 	áddet 	dan čuoččuhusa ahte Sámi vuoigatvuođalávdegotti vuođđooaidnu ii leat áibbas áiggi dási , ja ahte SVL vuođđooaidnu ovddit oassečielggadeamis , NOU 1984:18 , lea¶
Bealisteamet mii 	áddet 	doahpaga¶
Danne ii leat váttis 	áddet 	manne Sámediggeráđđi oaivvilda ahte eananhálddašanortnegat mat leat daid guovlluid várás maid art. 14.1 , vuosttas teakstaoassi , gokčá¶
Midjiide lea veadjemeahttun 	áddet 	dakkár ákkastallamiid , ahte Sámedikkis galgá leat unnit ovddasteapmi go fylkkadikkis , go NOU 1997:5 muitala álbmotrivttiid áššedovdiid čielga oaivila leat , ahte Sámi vuoigatvuođalávdegottige árvalan 4-4-málle Finnmárkku eananhálddašanorgána várás - mii maid galgá hálddašit sámi eaiggáduššan- ja hálddašanguovllu - ii bastte ollašuhttit ILO-soahpamuša eavttuid , mat gáibidit ahte álgoálbmogis // sámiin galgá leat eanetlohku dakkár orgána stivrras , mii hálddaša sin guovllu . ¶
Dattetge lea váttis 	áddet 	ovdalis namahuvvon árvalusa moge eara láhkai , go ahte Sámediggeráđđi maiddái dáinnage oaiviliin , ahte eará meahccedoaimmat váldoprinsihpa mielde galget vuoittáhallat , lea vuoldimin Sámi vuoigatvuođalávdegotti árvalusa stuoribuš báikkálaš hálddašeami beale . ¶
prinsihpa mielde - mii ii rievtti mielde atte vuoigatvuođa - lea váttis 	áddet 	dainnago dakkár beliid regulerejit lágat , ja geavadis eananvuovdin¶
Bargiidbellodaga joavku bidjá stuorámus deattu dasa , ahte eai galgga čuoččaldahttojuvvot vuostálasvuođat , ahte buot bealit rahčet 	áddet 	nuppiid oaiviliid ja miellaguottuid , ja ahte buot bealit čájehit njuov ¸ilvuođa dan barggus mii ain galgá dahkkojuvvot Sámi vuoigatvuođalávdegotti árvalusain . ¶
Sámediggi deattuha ahte mearrádusa galgá 	áddet 	sanis sátnái , ja ahte dohkkeha sámi álbmoga vuoigatvuođa « eaiggáduššat ja háldet » árbevirolaš guovlluid . ¶
Danne lea ge Sámediggái deaŧalaš mihttomearrin a ) oččodit olbmuid 	áddet 	makkár biraslaš , historjálaš ja kultuvrralaš árvu lea sámi kulturmuittuin ja kulturbirrasis , b ) hálddašit sámi kulturmuittuid ja kulturbirrasa lágaid ja láhkaásahusaid mielde , ja c ) váikkuhit dan ahte birashálddašeapmi ja sámi institušuvnnat našuvnnalaččat ja riikkaidgaskasaččat ovttas barggašedje sámi kulturmuittuid ja kulturbirrasa gáhttemiin ja hálddašemiin . ¶
Danne lea ge Sámediggái deaŧalaš mihttomearrin a ) oččodit olbmuid 	áddet 	makkár biraslaš , historjálaš ja kultuvrralaš árvu lea sámi kulturmuittuin ja kulturbirrasis , b ) hálddašit sámi kulturmuittuid ja kulturbirrasa lágaid ja láhkaásahusaid mielde , ja c ) váikkuhit dan ahte birashálddašeapmi ja sámi institušuvnnat našuvnnalaččat ja riikkaidgaskasaččat ovttas barggašedje sámi kulturmuittuid ja kulturbirrasa gáhttemiin ja hálddašemiin . ¶
Dávjá sáhttá boastut 	áddet 	¶
	áddet 	luondduriggodagaid ceavzilis ávkkástallama¶
Dán čilgehusa vuođul áššejođu birra , eaktudan mun ahte Sámedikki áirasat leat ožžon dárbbašlaš dieđuid 	áddet 	manne mun ja sámediggeráđđi leat duššástuvvan ja behtohallan , nugo mun lean dovddahan maŋimuš áiggis . ¶
Mii oaivvildit ahte buot guoskevaš bealit , maiddái Norgga ráđđehus , galggašedje 	áddet 	ahte šiehtadallamiid davviriikkalaš sámekonvenšuvnnas ii sáhte buohtastahttit sierra riikkaidgaskasaš šiehtadallamiiguin . ¶
Ja nu eai nagotge 	áddet 	goruda ja oaivvi oktavuođa . ¶
Sámediggeráđđái lea hástalussan oažžut fylkkasuohkaniid 	áddet 	dan . ¶
Suodjalanguovlluid ásahemiid sáhttá 	áddet 	nu ahte guovllut mat leat dan olggobealde luvvejuvvojit eará ulbmiliidda ja lihkahallamiidda . ¶
Prošeavtta ulbmil lea čalmmustahttit boarráset sápmelaččaid árvvolaš árbedieđu dakkár vugiin mii veahkeha 	áddet 	, áimmahuššat ja viidáseappot fievrridit dán máhtu , beroškeahttá agis , kultuvrras , gielas ja geográfalaš gullevašvuođas . ¶
Teáhterat veahkehit 	áddet 	muitalusaid ja fáttáid mat sáhttet leat ođđasat gehččiide , sii ovddidit servodatdigaštallama ja demokratiija servodagas . ¶
Teáhterat veahkehit 	áddet 	muitalusaid ja fáttáid mat sáhttet leat ođđasat gehččiide , sii ovddidit servodatdigaštallama ja demokratiija servodagas . ¶
Mii 	áddet 	nu ahte ealáhusovddidanplána vuosttažettiin galgá leat bagadeaddji huksejeddjiid , gielddaid ja guovddáš eiseválddiid ektui . ¶
Sámediggeráđi mihttomearri lea oažžut BD dievaslaččat 	áddet 	daid hástalusaid mat boazodoalus lea dain guovlluin gos boraspiret leat áittan , ja bearráigeahččat ahte Birasgáhttendepartemeanttas lea geatnegasvuohta sámi ealáhusaid ektui , ja erenoamáš ovddasvástádus lullisámi boazodoalu ektui , mii dál lea garrasit áitojuvvon . ¶
Váttis lea 	áddet 	dan go stáhta ii mieđit Sámedikki gáibádussii ahte addit boazodolliide dan seamma divatortnega mii lea eanadoalus . ¶
Váttis lea 	áddet 	dan go stáhta ii mieđit Sámedikki gáibádussii ahte addit boazodolliide dan seamma divatortnega mii lea eanadoalus . ¶
Ja go Sámediggeráđđi lea , nu go mii 	áddet 	dan , Sámedikki “ ráđđehus ” , de galggašii vuordit ahte dát geavat maid čuvvojuvvo dáppe . ¶
Ja go Sámediggeráđđi lea , nu go mii 	áddet 	dan , Sámedikki “ ráđđehus ” , de galggašii vuordit ahte dát geavat maid čuvvojuvvo dáppe . ¶
	Áddet 	dan ahte Sámediggeráđđi seamma láhkái go heaittihuvvon Doarjjastivra ferte ráhkkanahttit áššiid masa sáhttá mannat áigi . ¶
Sihke departemeanta ja Sámediggeráđđi , ja nu mo mii 	áddet 	maiddái NSR , oaivvildit ahte Sámedikki rolla earret dan mii boahtá ovdan konsultašuvdnašiehtadusas , galgá nannejuvvot , earret eará jahkásaš guolástanmuddenmearrádusain . ¶
Nuorat fertejit 	áddet 	ahte sáhttá ásahit bargosaji duodjeealáhusas . ¶
Nuorat fertejit 	áddet 	ahte sáhttá ásahit bargosaji duodjeealáhusas . ¶
Iežas kultuvrra árvvusatnin ja máhtolašvuohta dan birra lea eaktun dasa ahte duođas árvvusatnit ja 	áddet 	eará álbmogiid kultuvrra . ¶
lea eaktun dasa ahte duođas árvvusatnit ja 	áddet 	eará álbmogiid kultuvrra . ¶
Min árvvoštallamis mii leat deattuhan ahte dás galget kulturmuittut iskkaduvvot dárkilit ja bohtosiin lea mearkkašupmi maŋit áiggi registreremiidda ja dasa mo galgá 	áddet 	sámi kulturbirrasiid // kultureanadagaid rittus . ¶
Doaba guoddevaš servodatovddideapmi mii sihkkarastá vejolašvuođaid boahtte buolvvaide , addá vejolašvuođa 	áddet 	ja gieđahallat dakkár lunddolaš ja kultuvrralaš vuogádagaid go guovttebealat váikkuheami . ¶
Danne lea ge Sámediggái deaŧalaš mihttomearrin a ) oččodit olbmuid 	áddet 	makkár biraslaš , historjálaš ja kultuvrralaš árvu lea sámi kulturmuittuin ja kulturbirrasis , b ) hálddašit sámi kulturmuittuid ja kulturbirrasa lágaid ja láhkaásahusaid mielde , ja c ) váikkuhit dan ahte birashálddašeapmi ja sámi institušuvnnat našuvnnalaččat ja riikkaidgaskasaččat ovttas barggašedje sámi kulturmuittuid ja kulturbirrasa gáhttemiin ja hálddašemiin . ¶
Danne lea ge Sámediggái deaŧalaš mihttomearrin a ) oččodit olbmuid 	áddet 	makkár biraslaš , historjálaš ja kultuvrralaš árvu lea sámi kulturmuittuin ja kulturbirrasis , b ) hálddašit sámi kulturmuittuid ja kulturbirrasa lágaid ja láhkaásahusaid mielde , ja c ) váikkuhit dan ahte birashálddašeapmi ja sámi institušuvnnat našuvnnalaččat ja riikkaidgaskasaččat ovttas barggašedje sámi kulturmuittuid ja kulturbirrasa gáhttemiin ja hálddašemiin . ¶
Danne go dáláš sámelága § 3-12 sáhttá 	áddet 	nu ahte dat bidjá čanastagaid Sámedikki iežas doaimma organiseremii , mii ii áibbas dávis sámelága § 2-12 , njealját lađđasii , ja go sámelága láhkaásahusat leat boarásmuvvan maiddái dili ektui mii vuollásaš ráđiin leai ovdal nuppeláhkái organiserema . ¶
Lea váttis 	áddet 	vuosttas oasi . ¶
EO lea dán oktavuođas cealkán , ahte dán lágan njuolggadusrievdadusa sáhttet 	áddet 	, jos dat dahkkojuvvo etnálaš vuođuin , dat mearkkaša sámevuođa vuođul . ¶
váikkuhit 	áddet 	sámi kulturmuittuid ja kulturbirrasiid biraslaš , historjjálaš ja kultuvrralaš árvvu¶
váikkuhit 	áddet 	sámi kulturmuittuid ja kulturbirrasiid biraslaš , historjjálaš ja kultuvrralaš árvvu¶
Namalassii ii sáhte oktage boastut 	áddet 	dan maid Stuorradiggi - gielddakomitea - lea cealkán :¶
ON olmmošvuoigatvuođakomitea mearkkastagaid álbmogiid iešmearridanvuoigatvuođa birra , ON- siviila ja politihkalaš vuoigatvuođaid konvenšuvnna 1. artihkkala ektui , ferte 	áddet 	nu ahte iešmearrideapmi guoská maiddái daid gahtton árvvus atnit ja álggahit positiivvalaš doaibmabijuid váikkuhan dihte dan ahte álbmogiid iešmearridanvuoigatvuohta sáhttá duohtandahkkojuvvot . ¶
ON olmmošvuoigatvuođakomitea mearkkastagaid álbmogiid iešmearridanvuoigatvuođa birra , ON- siviila ja politihkalaš vuoigatvuođaid konvenšuvnna 1. artihkkala ektui , ferte 	áddet 	nu ahte iešmearrideapmi guoská maiddái daid gahtton árvvus atnit ja álggahit positiivvalaš doaibmabijuid váikkuhan dihte dan ahte álbmogiid iešmearridanvuoigatvuohta sáhttá duohtandahkkojuvvot . ¶
Mii guoská čujuhussii ulbmilmearrádusas riikkaidgaskasaš šiehtadusaide , de 	áddet 	mii dán čujuhussan navdinprinsihppii ja prinsihppii álbmotrievtti ávddalaš čuovvoleapmái . ¶
Ii son ge leat oaivvildan , nugo mii 	áddet 	, ahte sápmelaččain lea eanariekte- ja hálddašanriekte vuoigatvuohta ILO-konvenšuvnna artihkkala 14.1 vuođul , muhto baicce¶
Ii son ge leat oaivvildan , nugo mii 	áddet 	, ahte sápmelaččain lea eanariekte- ja hálddašanriekte vuoigatvuohta ILO-konvenšuvnna artihkkala 14.1 vuođul , muhto baicce¶
¼ alaš 	áddet 	Sámi parlamentáralaš ráÜi ášši ovttas eará ovttasbargguiguin mat dahkkojit davviriikkalaš dásis sámi áššiin » . ¶
« Seammás deattuhuvvo ahte dán juolludusa mii lea DKK 300 000 ii galgga 	áddet 	joatki doaibmadoarjjalohpádussan Sámi parlamentáralaš ráÜÜái » . ¶
Dán ii maid sáhte 	áddet 	mearrádussan ovttasbargosurggiid ja válddi dáfus . ¶
Galgá dásseárvodoaibmaplána vuostta ¿ettiin 	áddet 	ovttas 1998 - 2001 Sámediggeplánain . ¶
Plána galggašii viidáseabbut 	áddet 	ovttas Sámedikki oktiilaš plána- ja bušeahttabargguiguin , gos Sámedikki vuollásaš fágaráÜiid jahkásaš doaibmaplánain lea erenoamáš guovddáš sadji . ¶
VuoÜÜun dása lea maiddái ahte dovddasta ahte kulturmuitomálliid don dolo ¿is sáhttá 	áddet 	árra eaktun sihke sámi kultuvrii ja kultuvrii mii ii leat sámi . ¶
Sámi kulturmuitosuodjalus lea vuohki man mielde gieÜahallá eanadatluottaid — lea vuohki mii dahká vejola ¿¿an sámi báikegottiide beassat 	áddet 	ie ¿aset guovlluid guhkes áiggi vuoÜul , ja vuohki mii atná seamma árvvus dan árbevieru ja mearkkašumi mii báikkála „ „ at lea luottain go mii dieÜalaš « rivttes » máhtolašvuoÜas lea . ¶
Lea hástalussan oa ¿¿ut geavaheddjiid 	áddet 	ja dohkkehit sámi kultumuitosuodjaleami . ¶
VuoÜÜun dása lea maiddái ahte dovddasta ahte kulturmuitomálliid don dolo ¿is sáhttá 	áddet 	árra eaktun sihke sámi kultuvrii ja kultuvrii mii ii leat sámi . ¶
Sámi kulturmuitosuodjalus lea vuohki man mielde gieÜahallá eanadatluottaid — lea vuohki mii dahká vejola ¿¿an sámi báikegottiide beassat 	áddet 	ie ¿aset guovlluid guhkes áiggi vuoÜul , ja vuohki mii atná seamma árvvus dan árbevieru ja mearkkašumi mii báikkála „ „ at lea luottain go mii dieÜalaš « rivttes » máhtolašvuoÜas lea . ¶
Lea hástalussan oa ¿¿ut geavaheddjiid 	áddet 	ja dohkkehit sámi kultumuitosuodjaleami . ¶
Mii gal dieÜusge eat vuostálastte sámi kulturviesuid ásaheami namuhuvvon guovllus , muhto baicce jearrat makkár váldi Sámedikki presideanttas lea doaibmat dainna lágiin ahte dan sáhttá 	áddet 	spiehkastahkan dan prioriterenlisttus maid dievas „ oahkkin lea mearridan . ¶
Earret eará daddjui nu ahte sáhtii 	áddet 	dainna lágiin ahte ráÜÜi ja presideanta dat rievtti mielde mearridit politihka dán suorggis . ¶
» Mii , vánhemat eat sáhte 	áddet 	eat ge dohkkehit ahte min mánáid sámegiela oahpahusa vuoÜÜun galgá leat juoga mii lea nu gaskaboddosaš go prošeakta lea . ¶
Dattetge ferte 	áddet 	ahte lagaš boahtteáiggis sáhttá leat veadjemeahttun jávkadit áibbas buot negatiivvalaš beliid . ¶
Lea leamaš váttis oa ¿¿ut guovddáš eiseválddiid 	áddet 	dan . ¶
Lea leamaš váttis oa ¿¿ut guovddáš eiseválddiid 	áddet 	dán , ja jáhkkit boazoeaiggádiid boraspirevahátgáibádusaide . ¶
Lea leamaš váttis oa ¿¿ut guovddáš eiseválddiid 	áddet 	dan . ¶
Dán mearrádusa galgá maid 	áddet 	Dásseárvodoaibmaplánain ovttas , ja Sámedikki dásseárvo- ja nissonpolitihkalaš mihttomeriid integrerenbargguin . ¶
Plána galggašii viidáseabbut 	áddet 	ovttas Sámedikki oktiilaš plána- ja bušeahttabargguin , gos Sámedikki vuollásaš fágaráÜiid jahkásaš doaibmaplánain lea earenoam áš guovddáš sadji . ¶
