Boađus: 61
				
Cealkkačájeheapmi
	North Saami administrative corpus –
Ovttasbarggu 	joatkkan 	áigu Sámi parlamentáralaš ráđđi doallat oktasaš parlamentarihkkariid konfereanssa ja iešguđet sámedikkiid dievasčoahkkimiid guovvamánu 21. – 24. b. 2005 Johkamohkis , Ruoŧa bealde .
	Avvir corpus –
– Mun lean dánson gávccis ovtta rádjái ja 	joatkkan 	maŋŋágaskabeaivvi « spinning » ain vai sávrrun , muitala sámi dánsár ja dadjá ahte son nu hárjehallá olles vahkku .
Ja nu dat lea 	joatkkan 	, dadjá sykkeltrimma hoavdalágideaddji Isak Thomas Triumf .
	North Saami facts corpus –
Ovdačielgadeapmi lea 	joatkkan 	prošektii , mii čađahuvvui Davimus Lappi Leader searvvi prošeaktan jagi 2006 loahpas .
Dan áiggun čájehit eanet go dás viidásat 	joatkkan 	dulkot man lágan bargoolmmái Heaika lea .
Mun 	joatkkan 	čilget dáid olmmoštiippaid dán kapihttalis .
Dás mun 	joatkkan 	čájehit Vesta juohkima sámiid joavkkuide .
Sámegiella B-giella joatkkaskuvlaoahpahusa dásis sáhttá doaibmat 	joatkkan 	vuođđoskuvlla fágii sámi giella ja kultuvra .
Lunddolaš 	joatkkan 	oahpaheamis šaddet gálvojođugažaldagat , doaibmaekonomiija , ođđa bargovugiid smiehttan ja dutkanbohtosat .
Dat nubbi , mii leat dan ovddibu 	joatkkan 	, lea seminárahoavdda Fredrik Hvoslefa reive Bismagoddedirekšuvdnii seamma áššis .
	North Saami fiction corpus –
Vuosttas mánámánás lea máŋgii áibbas sierra sadji áhku ja ádjá váimmus , earát riegádedje dasto 	joatkkan 	mánáidmánáid ráidui .
- Sihkkarit 	joatkkan 	gitta loahpa rádjai .
	Min Aigi corpus –
Ollu máidnasat leat jurran beavdeguorain mo justa dát ealli loahpahii eallima ja šattai árbevirolaš meahcceávkkástallamii 	joatkkan 	.
Dalle livččii leamašan sátnejođiheddjiid bargojoavku , geat dovdet guovllu ja dárbbuid , muhtunlágan 	joatkkan 	OFFA-joavkku bargui .
– NSR dulko dán 	joatkkan 	dološ koloniseren- ja dáruiduhttin politihkkii , lohká Keskitalo .
NSR dulko dán 	joatkkan 	dološ koloniseren- ja dáruiduhttin poltihkkii .
WIVC gálgá leat 	joatkkan 	Arctic Youth Capmii maid Davvi Nuorra ja Riddu Riđđu leat lágidan 1999 rájes .
Skorpiuvdna Dán jagi álgu lea dušše buorre 	joatkkan 	dan buori áigodahkii mii dus lea leamaš .
Ođđa gávpi mii dál rahppo šaddá leat 	joatkkan 	dološ gávpái dás Gáregasnjárggas .
– NSR dulko dán 	joatkkan 	dološ koloniseren- ja dáruiduhttuin politihkkii , logai Aili Keskitalo earret eará dalle .
Sátnegirji lea 5. , 6. ja 7. luohkáid luonddu- ja birasfágagirjjiid jorgaleami 	joatkkan 	.
Imaštan go dát bihttá lea oaivvilduvvon 	joatkkan 	« Internáhtta » čájálmassii maid teáhter ovdal lea čájehan .
Dattetge lei váttis áddet man láhkai Tsjekhov čájálmas lei 	joatkkan 	Internáhtta bihttái .
– Dan gal ii leat , mis leat Sámi allaskuvllas ja instituhtas dievva gieđaid barggut , 	joatkkan 	unnimusat seamma ollu bargat , dajai Magga Min Áigái .
Dát fága galggašii 	joatkkan 	
Juo j. 1947 son ráhkadii dutkamuša duottarguovllu šattuin , ja dát barggu 	joatkkan 	šattai j. 1990 sátnegirji ealliid ja šattuid sámegiel namahusain .
ESS oaidná dán čielga 	joatkkan 	ja signálan das , ahte sámegiella ja guhkesáigásaš giellabargu eaba adnojuvvo árvvus Sámidikkis .
Go šie đđ aluvan , de dalle mun čohkkedan ja fas 	joatkkan 	mátki .
