Muosehuhttimat guohtuneatnamiin nappo váikkuhit dasa ahte - bohcco guohtunáigodat oatnu , - boazu geavaha eambbo energiija , - bohccot eambbo váibet - eambbo bohccot mássojit - njuovvandeattut unnot - miesselohku unnu Iskamat mat čájehit movt boazu váibá iešguđet boazobarggus , čájehit ahte boazu váibá ja deahkit sáhttet vahágahttot , čoavjji siste sáhttá vardigoahtit ja 	varra 	sáhttá earáhuvvat . ¶
Soul diva duođaid oaččui festivála gussiid 	varra 	pumpa johtui . ¶
– Dáiddáriid 	varra 	duolddai , nu mo sii lávejit digaštallan oktavuođas . ¶
– 	Varra 	lea suohkadut go čáhci ja dat doallá deaivása dál ge . ¶
Buohkat lea 	varra 	vásihan ahte oaččut juoidá maid ii livčče dárbbašan . ¶ERR
De gal ádjás duldii 	varra 	. ¶
‑ Mun oidnen lagamuččain šattai váddásat váldit muinna oktavuođa , ja sii 	varra 	heahpanadde mu geažil . ¶ERR
Liv Eli vel mojohallá ja dadjá ahte Márjá Sofie gal 	varra 	lei spábbačiekči go son váccii suinna , go lávii nu čiekčat čoavjje siste juo . ¶ERR
Ovllá muitala ahte sin ruovttus eai atnán juoigama suddun , ja danne leage sus 	varra 	nu buorre dovdu go juoigá . ¶ERR
– Lean 	varra 	miljovnna geardde rohttehan luođi . ¶ERR 
Son lei duodjeberošteaddji , lei mielde lágideamen duodjekurssaid , ja dat beroštupmi lea 	varra 	čuvvon su go leamaš mielde Duodjeinstituhta ovdánahttimis . ¶ERR
Čájáhus ja 	varra 	gumposat ¶
Nubbi rockár Intrigue joavkkus , gitarista Tore Skoglund , gii 	varra 	lea ain stuorát Deep Purple « fan:a » , lei váldán video kamera ja govvii olles konseartta . ¶ERR
– Dá badjin lea Odina gávcci juolggat heasta , Sleipner , mii lea čuoggasan guovtti ruossalas sámeniibái , dego miehkkái ja galbii , 	varra 	golgá čorvošiid ala ja báidná fiskes ivnni . ¶
Leat mearkkašahttin dahkan dan ahte sus lea ádellaš 	varra 	sogas , ja ahte muhtimat lihkostuvve gávpeolmmožin . ¶
Iešbiografiijas muitaluvvo ahte visot áhči bealde fuolkkit leat Jämtlánddas eret ja dain lea vikiŋgavarra ja vaikko sámi 	varra 	. ¶
Olof Lagerkrantz maiddái čujuha dasa ahte Strindberg dikšu ipmárdusa “ ahte sus lea sámi 	varra 	suonain ” . ¶
Moai goittotge vulggiime ja 	varra 	danin Jovsset mieđai go oinnii mu nuorra movtta go vealládin joga ala . ¶ERR
– Go mun doaivvun dan ahte eai eará gávpogiin ge gal 	varra 	dieđe nu ollu sámiid birra ja dalle lea dát meassu dehálaš , čilge Mikkel Gaup . ¶ 
Guovdageainnu stuimmiid filbmanásti Nils Peder Gaup mielas gal lea nu ollu 	varra 	ja jápmán olbmot dálá TV-ođđasiin , ahte roahkka suovvá su 13-jahkásaš bártni geahččat ” Død Snø ” filmma . ¶ERR
	Varra 	cirgu ja bivdit varahuhttet olles jieŋa go goddet njurjuid mat gišvvardit ja biidnahuvvet . ¶
Johan Oskar Eriksen lohká ge ahte dát lea 	varra 	njealját biila mii dán dálvvi lea mannan badjel geainnu juste dákko . ¶ERR
– Iežan irgái Pier Ándii , ja dat gal jo 	varra 	čilge manne ? ¶ERR 
Earet eará stobus ja oađđenlanjas gos lei ollu 	varra 	, dieđiha Romssa politiijaossodaga hoavda Einar Pedersen . ¶
	Varra 	boahtá dálá presideanta Egil Olli oidnot dán láhkkái . ¶ERR
Borramuš : Luosa 	varra 	ja čuomat . ¶
Aksel Hennies sámi 	varra 	gangster filmmas ! ¶
Ammahal sálti lea hálbbit go sáttu ja 	varra 	eai dárbbaš čorget muohttaga eret ge luotta nalde ja nie sestet ruđa . ¶ERR
Nuppis golggai 	varra 	čeabehis ja nuppis golggai varra gilggas . ¶
Nuppis golggai varra čeabehis ja nuppis golggai 	varra 	gilggas . ¶
– Go bohccoguolgga čađa varso dahje 	varra 	spulžu duolljái , de oažžu leat sihkar ahte albbas lea gaskkestan dakko dahje gaccestan , čilge Eira . ¶
Stockholm 	varra 	hirpmástuhttá muhtimiid , muhto dása lea lunddolaš čilgehus . ¶ERR
Sámi gávttiid , danne 	varra 	ledje ge čeahpimusat ? ¶ERR
Sihke láhttis ja skábeuvssain lei 	varra 	maŋŋá dan surgadis dáhpáhusa . ¶
Hansen muitala dál gávdno fálaldat veahkaválddálaš olbmuid mii lea kursa gos ohppet geahpedit dahje láivudit iežaset suhttu go 	varra 	dulde . ¶
Son muitala ahte son suorganii ja rumaš galmmistii , dego 	varra 	heittii johtimis su rupmašis . ¶
Død Snø lea issoras muitalus , gos 	varra 	golgá , oaivvit firret ja čoalit ihtet . ¶
– Mun dovddan ahte in lean riekta gearggus vuolgit ná guhkás , ja ná oanehis dieđuin , ja boađán gal 	varra 	áiggi golahit ovdal go duođaid ádden ahte mun galggan dáppe orrut , gitta 2010 rádjai , finakeahttá ruovttus , dadjá Kirsti , ja čilgesta ahte sii geat bohtet eará riikkain , eai oaččo lobi fitnat ruovttus , go dat sáhttá dagahit ahte eai šat boađe ruovttoluotta skuvlii . ¶ERR
Dasa biddjui johtui nammačoaggin ja álbmot oaivvildii sis ii leat sámi 	varra 	suonain . ¶
	Varra 	dan dihte go lei nu láhka Ruošša . ¶ERR
	Varra 	golgá , oaivi luoddana , čoalit oidnojit . ¶
Badjelmeare 	varra 	. ¶
Vurrolaga čohkkedeaba stivrrana duohkai , nu mo 	varra 	leaba oaidnán ollesolbmuid dahkamin . ¶ERR
Dat olbmot deaivvadit 	varra 	odne verddečiekčamin ¶ERR 
Guovdageainnu stuimmiid filbmanásti Nils Peder Gaup mielas lea nu ollu 	varra 	ja jápmán olbmot dálá TV-ođđasiin , ahte roahkka suovvá su 13-jahkásaš bártni geahččat ¶
Givssideapmi lea hui oidnosis , go givssideaddjit dovdet ahte ii leat dárbu čiegadit dán , 	varra 	danne go oahpaheaddjit eai leat nu čeahpi ráŋggáštit ohppiid . ¶ERR
Vaikko movt 	varra 	dulde ja suhtihat , de it ábut časkit ovdal ja jearrat maŋŋel . ¶
Vaikko viggá 	varra 	duldet ja badjelmeare suhtat , de ii leat dán vahkku heivvolaš čeargugoahtit duššiid dihte . ¶
Dien suorggis han láhttejit dego homofiillat ja das dárbbašage veaháš 	varra 	… ¶ERR (DUŠŠ???????)
Árbevirolaš ealáhusain eallisámiide , geat leat juoga eallindilis šaddan smiehttat kultuvrraset vuođđoáššiid , nuppástus ii 	varra 	leat oalle stuoris . ¶ERR
Muhto jus čájehuvvo ahte ii jođit barta ja biilla oktiige , de gal šaddá 	varra 	bággu almmuhit stuorát aviissain dahje neahttasiidduin . ¶ERR
Lea nu álki vuolgit siidduide gos lea stuoraolbmuid sisdoallu , 	varra 	, suorggahahtti filmmat , romes govat ja fasttes giellageavaheapmi . ¶
“ Don 	varra 	ipmirdat veahá eanet mu eallima birra ? ¶ERR
Rukses ivnnis lea olu symbola mearkkašupmi nugo revolušuvdna , fápmu , 	varra 	, jápmin ja nu ain . ¶
Son ii áiggo olbmuid baldit ivnniin go son jáhkká olbmot áddejit ahte ii leat albma 	varra 	. ¶
Sáhttán 	varra 	lohkat luossa , dat lea nu njálggat . ¶ERR
Danne mun 	varra 	lean ge Kárášjohkii bisánan . ¶ERR
Álásvuohta , 	varra 	ja njuovvan leat dušše muhtin dain gaskaomiin maid Rognli geavaha morihahttit gehččiid . ¶
Almmái fuomáša mii leat dáhpáhuvvan go sihkasta gatnjala mas leat 	varra 	. ¶
Ja dasalassin mii 	varra 	ieža diehtit buoremusat iežamet áššiid , dadjala Olga . ¶ERR
– Lea han dat álo buorre ášši , go 	varra 	duoldagoahtá , čaibmá álo movttegis Ursula Länsman rumbogieđaid maŋŋá konseartta lávddi duogábealde . ¶
– Dál hálidat hástalit iežamet musihkalaččat , 	varra 	dan bokte čeahpput . ¶ERR 
– Dát lea 	varra 	stuorámus hástalus mis . ¶ERR
Go sii bosso politiija alkomihttárii , de ii lean sin 	varra 	njiedjan vuolábeale gárrenvuoddjinrájá , nu mo sii navde . ¶
Dasgo dan ii leat oažži iige 	varra 	almmustahttán dutnje , muhto mu Áhčči almmis . ¶ 
Dasgo dán ii leat oažži ii ge 	varra 	almmustahttán dutnje , muhto Áhččán almmis . ¶
Nu boahtá din badjelii buot vigihis 	varra 	mii lea golggahuvvon eatnama alde , vanhurskkis Abela vara rájes gitta Sakarja , Barakja bártni , vara rádjái , gean dii gottiidet tempela ja áltára gaskii . ¶
Dasgo dát lea mu 	varra 	, lihtu varra , mii golggahuvvo eatnagiid ovddas suttuid ándagassii addojupmin . ¶
Dasgo dát lea mu varra , lihtu 	varra 	, mii golggahuvvo eatnagiid ovddas suttuid ándagassii addojupmin . ¶
» Oppa joavku vástidii sutnje : « Bohtos su 	varra 	min ja min mánáid badjelii ! ¶
Son celkkii : « Dát lea mu 	varra 	, lihtu varra , mii golggahuvvo eatnagiid ovddas . ¶
Son celkkii : « Dát lea mu varra , lihtu 	varra 	, mii golggahuvvo eatnagiid ovddas . ¶
Dan áiggi bohte su lusa muhtumat ja muitaledje galilealaččaid birra geaid Pilatus lei goddán , nu ahte sin 	varra 	seahkanii dainna varain mii golggai sin oaffarspiriin . ¶
Ja jápminbalus son rohkadalai vel áŋgireabbot , ja su bivastat šattai dego 	varra 	mii goaikkui vuolás eatnamii . ¶
Dasgo mu rumaš lea duohta borramuš , ja mu 	varra 	lea duohta juhkamuš . ¶
Muhto muhtun soalddát čuggii sáittiin su erttegii , ja dallánaga golggihii 	varra 	ja čáhci . ¶
De son savdnjilii biktasiiddis ja dajai sidjiide : « Bohtos din 	varra 	iežadet oivviid ala . ¶
Ja dan mun cealkkán , oskuguoimmit : Oažži ja 	varra 	ii sáhte árbet Ipmila riikka , ii ge nohkavašvuohta ge sáhte árbet nohkameahttunvuođa . ¶
Vaikko vel mu 	varra 	ge golggahuvvošii go mun buvttán ovdan din oskku oaffarin Ipmilii , de mun dattege illudan ja ávvudan dinguin buohkaiguin . ¶
Dalle sus ferte álo leat mielde 	varra 	man son oaffaruššá iežas ja álbmoga meaddádusaid ovddas maid sii leat dahkan diehtemeahttunvuođas . ¶
Jos juo bohkáid ja vuovssáid 	varra 	ja guigguid gunat mat riškkuhuvvojit buhtismeahttumiid ala , buhtistit olbmuid olgguldasat , de dađe buorebut buhtista ge Kristusa varra ! ¶
Jos juo bohkáid ja vuovssáid varra ja guigguid gunat mat riškkuhuvvojit buhtismeahttumiid ala , buhtistit olbmuid olgguldasat , de dađe buorebut buhtista ge Kristusa 	varra 	! ¶
Go Movsses lei lohkan oppa álbmogii buot lága báhkkomiid , de válddii burrogálbbiid ja bohkáid vara ja čázi , skárllatrukses ulluid ja issopa ja riškkuhii daid lága girjji ja oppa álbmoga ala ja celkkii : « Dát lea dan lihtu 	varra 	man Ipmil lea dahkan dinguin . ¶
Lága mielde goasii buot buhtistuvvo varain , dasgo ándagassii addojupmi ii leat , jos ii golggahuvvo 	varra 	. ¶
Ii son mannan albmái oaffaruššat iežas eatnat gerddiid , nugo bajimušbáhppa dahká juohke jagi go doalvu buot basimussii vara mii ii leat iežas 	varra 	. ¶
Muhto oaffarat baicca muittuhit suttuid jahkásaččat , dasgo lea veadjemeahttun ahte vuovssáid ja bohkáid 	varra 	válddášii eret suttuid . ¶
Doppe lea Ipmil , buohkaid duopmár , ja sin vuoiŋŋat guđet leat vanhurskásat ja dahkkojuvvon ollisin , ja doppe lea Jesus , ođđa lihtu gaskaolmmái , ja riškkuhanvarra mii sárdnu beaktileabbot go Abela 	varra 	. ¶
Muhto jos mii vádjolit čuovgasis , nugo son ieš ge lea čuovgasis , de mis lea searvevuohta guhtet guimmiideametguin , ja su Bártni Jesusa 	varra 	buhtista min buot suttus . ¶
Leat golbma duođašteaddji : Vuoigŋa , čáhci ja 	varra 	, ja dát golmmas duođaštit ovtta jitnii . ¶
Dalle bohte čuorbmasat ja dolla , ja daid seahká 	varra 	, ja dat gahčče eatnamii . ¶
Viidneduolmmahat dulbmojuvvui gávpoga olggobealde , ja das golggai 	varra 	, nu ahte duhátguhttačuođi stadia duohken dat olii heasttaid bákki rádjái . ¶
Gávpogis lei profehtaid ja bassi olbmuid 	varra 	, buohkaid varra geat leat sorbmejuvvon eatnama alde . ¶
Gávpogis lei profehtaid ja bassi olbmuid varra , buohkaid 	varra 	geat leat sorbmejuvvon eatnama alde . ¶
Vieljat 	varra 	čuorvu munnje eatnamis ! ¶
Muhto bierggu mas lea ain 	varra 	dahjege dan siellu , dii ehpet galgga borrat . ¶
Dál mis gáibiduvvo su 	varra 	. ¶
Vieljat 	varra 	čuorvu munnje eatnamis ! ¶
Muhto bierggu mas lea ain 	varra 	dahjege dan siellu , dii ehpet galgga borrat . ¶
Dál mis gáibiduvvo su 	varra 	. ¶
» Divtte min oaidnit go álbmogat fuomášit ahte du bálvaleddjiid 	varra 	mávssahuvvo . ¶
b // v : Kristusa 	varra 	, du ovddas golggahuvvon . ¶
Indiána geas lei uhccit go bealli indiána 	varra 	. ¶
ahte soai han gal 	varra 	livččiiba gulahallan ja varra dálostallange ¶ERR
ahte soai han gal varra livččiiba gulahallan ja 	varra 	dálostallange ¶ERR 
	varra 	geahččat maid dán jávohisvuođa . ¶ERR
Go gárrudedje vieris gillii , de ii lean 	varra 	nu garra sánit sin mielas go jus ¶ERR
Sámi 	varra 	, moŋgolvarra ¶
jalaččat , sáme bártnit ja sáme nieiddat , moŋgolsohka , sáme 	varra 	ja moŋgolvara . ¶
Die lea 	varra 	dakkár borramuš maid borret eanas čavččabeallái . ¶ERR
Ja loahpas eai leat 	varra 	min árbevirolaš máhtut eanet go museagálvvut ja dalle vel sáhttit gáibidit ráđđehusas ahte sii galget midjiide hukset dán musea gosa vurket buot min vássán máhtu .  ¶ERR
Jos livčče leamaš luonddus de livčče 	varra 	lund dolaččat gollan dahje leamaš buorrin sámi servodahkii . ¶ERR
maiddái danne go 	varra 	čoahkkana ¶
Varranaga = veaháš naga , goikan 	varra 	Varran ¶
visot varran , njuoska 	varra 	 ¶
Ii sáhte leat eará go 	varra 	. ¶ 
Bohtos din 	varra 	iežadet oivviid ala ! ¶
Su varrasuonain golggai sihke dáža , sápmelaš ja kveana 	varra 	, go su birra daddjo ahte : ` Fader Nordm . ¶
Dávda sáhttá fallehit buot orgánaid , ja daid maid dávjjimusat falleha leat liiki , lađđasat , manimuččat , vuoigŋašat , 	varra 	ja nearvvat . ¶
Váibmouvssohat doibmet ovttaguvllot ventiilan , ja dat dahket nu ahte 	varra 	johtá rivttes guvlui váimmus . ¶
Jos uvssohat leat vahágahtton , de 	varra 	ii jođe nu mo galgá . ¶
Dáin uvssohiin šaddá sivva juogo jos baskot , nu ahte 	varra 	ii jođe albmaláhkái meattá , dahje jos uvssot suođđá , nu ahte varra golgá fas ruovttoluotta go váibmu ravká . ¶
Dáin uvssohiin šaddá sivva juogo jos baskot , nu ahte varra ii jođe albmaláhkái meattá , dahje jos uvssot suođđá , nu ahte 	varra 	golgá fas ruovttoluotta go váibmu ravká . ¶
Jos dam skuvlast læk ællembæivik ja samenuorak dasa vissalit očček , de bottek 	varra 	si , gæk čielgga samedujid mattek oapatek , sin elevaidi . ¶ERR
Sii ledje 	varra 	ádden ahte girji lei čállon amas gillii , sin oainnu mielde , – sámegillii . ¶ERR
Ii leat 	varra 	ártet ahte mun juste dien muitalussii liikojin . ¶ERR
[ 2 ] Das lea 	varra 	sáhka guovtti girjjis : Kjell Kristoffersen : Eventyret om Jåmpa , Tapas , Bergen 1945 ja Margarethe Wiiga Áppesgirji . ¶ERR
Eanas mánáin dál lea eambbo dáru go sámi 	varra 	suonain . ¶
Eat lean mii ge álo nu mielas duddjot daid smávva dujiid , nu ahte oahpaheaddjit 	varra 	jáhkke ahte oahppit eai gille obanassiige stuorát dujiin álgit . ¶ERR 
Dat gal 	varra 	čihkkui muhtun skuffii . ¶ERR 
Son rissii mánáid nu ahte 	varra 	golggai , lei nu bávččas ahte in sáhttán čohkkát dábálaččat . ¶
Muittán oktii go muhtin inspektevra bođii mu lusa ja logai ahte 	varra 	dan oahppis ii lean vuoigatvuohta sámegieloahpahussii , de vástidin dušše : ( In gille digaštallat dan birra duinna . ¶ERR
Skuvladirektevra Killengreen čálii 1886:s ná : « Ii leat váldon Finnmárkku skuvllaid bálvalussii oktage oahpaheaddji gii gullá čielga vieris álbmogii , eai ge seaguhussogalaččat , dušše moaddása geat bohte Romssa ámttas geaid varrasuonain lea sámi 	varra 	, muhto geat leat ollásit dáruiduvvan . ¶
Ja 	varra 	dan dihtii ledje ge sis nu ollu mánát . ¶ERR 
Son lei lohpádaddan muhtun smávvadállodoalu odelbártniin , ja lei smávvažiid jurddahallan ahte su bargu boahttevuođas 	varra 	šaddá skuvlahoavdda ja dállodoalli lotnolasbargu . ¶ERR
	Varra 	ii golgga šat . ¶
Su mielas finadii ártegis dovdu , go áddii ahte sus golggai goaikkanas vieris 	varra 	, mii lei datge earuheamen su siidda eará olbmuin . ¶
Soai bođiiga guhkkin eará máilmmis , sudno ii čatnan Máhtebáikái go 	varra 	, áidna , maid leigga árben áhčisteaskka . ¶
Guhkkin boahtán gávpotguossit eai lean mat beare olbmuid , muhto sudno suonain golggai Máhtteádjá 	varra 	, mii earuhii sudno dábálaš guossis . ¶
Mis golgá seamma 	varra 	. ¶
Aiddo dál oinnii hui čielgasit ahte sudnos golggai seamma 	varra 	, dasgo nu ollu soai sulastahtiiga , go čohkkáiga das oktii čalmmiid beavdeguoras ja hálešteigga . ¶
gillun 	varra 	gávdná johtolaga ¶
Vai sámi 	varra 	go ii veaje ? ¶
Mus 	varra 	gen ruohtastii . ¶
Dál gal 	varra 	ruohtastii . ¶
« Ja duođas , dat lea vieris olmmoš , allon vajáldahte dan , gielaš ja duogáš áibbaš eará go mon , na juo – muhto dan olbmo rumaš lea liekkus olbmo hápmi , das lea sihkkarit liegga 	varra 	ja liegga salla . ¶
	Min Aigi – ¶
Jos buohkat ožžut sámegielfalaldaga mánáidgárddis , de 	varra 	jávká dát givssideapmi . ¶ERR
Jos buohkat ožžut sámegielfálaldaga mánáidgárddis , de 	varra 	jávká dát givssideapmi . ¶ERR
Ođđa , goalmmát ja 	varra 	vel maŋimuš essayčoakkáldat « cafe Boddu » ráiddus lea dál ilbman . ¶ERR
Gelddolaš , ja 	varra 	vel issoras vuordámuš . ¶ERR
Ii 	varra 	šat dán gease ¶ERR
Ja dat lea 	varra 	dat buot heittomus dáinna lágiideamen . ¶ERR
Mis lea maid nubbi kursa mii 	varra 	ii šatta unnán ohcciid geažil , ja dat lea máŋggabealet eanadoallu . ¶ERR
Gal 	varra 	lei veahá erenoamaš deaivvadeapmi mu ja Hedningarna joavkku gaskkas , mojohallá Wimme hilbesláhkai go mun joatkán ságastallama Hedningarna joavkku ovttasbarggus . ¶ERR
	VARRA 	: Varraiskkosat váldojuvvojit jeavddálaččat . ¶
	Varra 	galgá čajehit man gárremin lei . ¶
Leat dušše čoarvvit , duoljjit ja 	varra 	mii ávkkástallo . ¶
Dolin lei maiddái olles pyramiida málejuvon ruoksadin olggobeal ja lea 	varra 	leamaš oalle oainnahus mii oidnui máŋgga miilla duohken . ¶ERR
Gii dan diehta , jos dát divrras diedut eai livčče lean boldot de livččejit 	varra 	Newtona diedut leamaš joavdelasat otne . ¶ERR
